,r2
30,"[0.1856931978798242, 0.17830399619532133, 0.101733913072096, 0.19420451773542835, 0.12960327295798835, 0.16311658559299014, 0.23449366131918026, 0.2235931931624342, 0.1709122095599841, 0.13109287968440564]"
31,"[0.1471055573407115, 0.21497430208312762, 0.2202372544972001, 0.16896907751107293, 0.16557123020542563, 0.13034503174881384, 0.15383585992812354, 0.13285667347627805, 0.21714675014575435, 0.1512684261631042]"
32,"[0.1516746611246046, 0.16814047530311993, 0.19455674264922262, 0.242793690012318, 0.08623290131384487, 0.1568066547537369, 0.16966137695123806, 0.18717538126272593, 0.1732671313574493, 0.18200313351741648]"
33,"[0.14494833079680824, 0.15857078484114784, 0.1779051645229901, 0.22710634165474486, 0.18626936184215492, 0.14691909345120902, 0.1875112401959529, 0.10232725773470908, 0.1685239213853461, 0.2000395455185755]"
34,"[0.21109280946800923, 0.18625375063521998, 0.18108346805556874, 0.1490672430191371, 0.1733503622856526, 0.12542445828355164, 0.1782602293233262, 0.18739743975874967, 0.1746036168409466, 0.1426967366862747]"
35,"[0.2337072786341171, 0.13529089359200597, 0.16131149366887965, 0.19687475283357692, 0.1935477448052665, 0.19193835829348005, 0.14931037073841402, 0.12784825198740146, 0.14826253368421716, 0.16520974102365837]"
36,"[0.1676811783629375, 0.20920730576680158, 0.19432697846573055, 0.1397720534928658, 0.18101605949373922, 0.15328246684294733, 0.13459732858687423, 0.17171720841353344, 0.1862235805380127, 0.14871448101291063]"
37,"[0.18689169203232703, 0.18980283127119424, 0.18712214465923405, 0.1621064762187565, 0.17966209027986957, 0.14310086355443086, 0.12764543743937817, 0.19493128692366768, 0.10611271617646645, 0.22018030469240735]"
38,"[0.13471901405118092, 0.19116717348020384, 0.21016933607771082, 0.16991258516899566, 0.18939767512100492, 0.18881434297174104, 0.14484162181885696, 0.13337779924850623, 0.18881672663125015, 0.16215485650872363]"
39,"[0.13279060201172788, 0.11334374809569125, 0.21318082886141765, 0.20565589605780754, 0.16826102178817293, 0.16426961863821832, 0.1903568216998638, 0.11299426785822708, 0.2082040142205991, 0.2071340911526669]"
40,"[0.16487055780609228, 0.22095716329557336, 0.17790488011682315, 0.20492633875969057, 0.12034990632971632, 0.16744434044986833, 0.14914422311050557, 0.14337508742057958, 0.23630094533509283, 0.11209933820047213]"
41,"[0.15888032472060587, 0.22226874576063027, 0.1759730966927644, 0.19631041633234958, 0.14886371860751257, 0.18062731704984747, 0.13703244492742306, 0.1938419309860726, 0.20904154989208357, 0.09278247422563946]"
42,"[0.2045858122077896, 0.19087768175603792, 0.20251970047713175, 0.12886711016885988, 0.19621507735378263, 0.17908218041847546, 0.08492209698858022, 0.18409412749945997, 0.1640592020631758, 0.1830430710399742]"
43,"[0.17839080189950185, 0.1415516784909302, 0.1351619345005446, 0.1681062219617011, 0.18184221183759852, 0.1590551609200903, 0.18433617823447856, 0.22064219129944074, 0.19426753750832604, 0.14312671041783487]"
44,"[0.17191768778329342, 0.2091383791399951, 0.15951668272104758, 0.16807680512964018, 0.1657054770619012, 0.18013209593288748, 0.1033021703813749, 0.23335454626541086, 0.1694991302465838, 0.15017215464019784]"
45,"[0.19634520404891476, 0.23508547901767018, 0.1847321723934665, 0.13559415389605545, 0.16321936673893067, 0.14266937511364797, 0.2257038626763227, 0.1279926201483812, 0.16136230703992727, 0.12797575157111007]"
46,"[0.14866730240423498, 0.12541231659733965, 0.15549116750812975, 0.15384431039194812, 0.23725582937587664, 0.1778028782326614, 0.18889313647169903, 0.21515915255385087, 0.16102017839543126, 0.14356533582692788]"
47,"[0.19855228874490816, 0.2388844906465375, 0.14038114773963273, 0.16849736162119056, 0.17605955248144922, 0.13392818939115092, 0.18640286625439795, 0.12885009294027527, 0.1519388453351479, 0.17298510510939347]"
48,"[0.18990742099544045, 0.17750504871106765, 0.14978215586027788, 0.14710790021451214, 0.1522233977054488, 0.18624314074940285, 0.1408394552445149, 0.2041841643051966, 0.22712046049933232, 0.13971644293512786]"
49,"[0.1972834480724427, 0.2281238499184266, 0.1698445835695055, 0.1660559375816535, 0.16272606854618177, 0.08183252876391889, 0.12217700663214803, 0.235355877430953, 0.15536783119401032, 0.18325163560701174]"
50,"[0.1256371411158963, 0.21529392063360175, 0.1521226968080137, 0.17975260329574072, 0.22353499527580434, 0.15122167888873106, 0.17495347777698766, 0.22985108610519356, 0.1010169309624237, 0.12516773020171879]"
51,"[0.14702642655638265, 0.17447727003802327, 0.16200795989553185, 0.1479853507991734, 0.11363487238457426, 0.2083278263671675, 0.21887637171260443, 0.21929097890627147, 0.1326639041741967, 0.1819145379803211]"
52,"[0.19320774688444398, 0.18781212911782186, 0.18707160616518803, 0.13036058548574836, 0.1564108590382426, 0.19267695322184175, 0.13697960860263936, 0.21212844472568038, 0.16332362432652536, 0.14906282432762918]"
53,"[0.15489190141691977, 0.13195083145836362, 0.15528944466553873, 0.18715526047720588, 0.1635536679225027, 0.16836536804640168, 0.17227320793112544, 0.12433510544587068, 0.19502259862778748, 0.23423089505820616]"
54,"[0.12341783586635613, 0.15851595923031037, 0.22440926783713, 0.12430386598605925, 0.14131238546785563, 0.1710456304910507, 0.20139169983502037, 0.16760724162752938, 0.18483886790518644, 0.2105767554650929]"
55,"[0.16073479872579766, 0.15416271214263721, 0.14579490277561546, 0.24243057968280923, 0.222434335497101, 0.09984419831476199, 0.14343397427000215, 0.13962351991481992, 0.20546527708914086, 0.1648003975526201]"
56,"[0.1720334065158804, 0.13720557090482488, 0.1731980724077824, 0.2378833136779075, 0.1567518720977954, 0.12261865545781903, 0.14503954715979894, 0.19961909021019686, 0.10766378384507536, 0.23319084310914373]"
57,"[0.1618401317209287, 0.1902937653918204, 0.1328166881056928, 0.1707450009778385, 0.1761512518277607, 0.1876396119194298, 0.23755557239858327, 0.10077619200100751, 0.15070684806951318, 0.1900453781785878]"
58,"[0.23824834953526364, 0.19733920046602127, 0.19377466577557179, 0.19913207421424894, 0.1941867689347374, 0.1174603218462148, 0.2189348614731652, 0.14446788864144522, 0.11650199258528282, 0.09483929871885244]"
59,"[0.13460909742308003, 0.17508388582193857, 0.2349440960097975, 0.14270431210454937, 0.21804985102333552, 0.19461919718710985, 0.24117036156534843, 0.11038747341841515, 0.07039110562841022, 0.18417870208249787]"
60,"[0.1657755870933567, 0.2087394497165278, 0.14309397137692426, 0.18360461605053624, 0.1325640509646806, 0.11527949694320827, 0.1318474059268352, 0.18368232406465768, 0.20999258101563012, 0.21436627049413115]"
61,"[0.14855503073711385, 0.1657021890133632, 0.13315558275642791, 0.22154375248224745, 0.13749465554338247, 0.19896964942521278, 0.12588058445514516, 0.19588659732070934, 0.19931739422930483, 0.1703743423255637]"
62,"[0.15267312811762834, 0.17969457204344275, 0.19458912153641994, 0.1900130843765967, 0.17125158058225887, 0.19586399101031637, 0.13882342382754287, 0.21636177397156897, 0.12377121497561583, 0.14113863544601823]"
63,"[0.14305569289718167, 0.1310951260812636, 0.16414939057961775, 0.1534658677851013, 0.17829450654768142, 0.17475032372828614, 0.21411635860221734, 0.16584812469131038, 0.15335560272879545, 0.23330519639755332]"
64,"[0.14672836770074227, 0.1774255299245323, 0.2635474097639319, 0.15029640675284406, 0.1466082661462137, 0.18856924402980824, 0.12447454015444148, 0.21582085551257812, 0.14391627442352806, 0.1373764776360269]"
65,"[0.1673604961863302, 0.14213584944420232, 0.1813651902328538, 0.1626789627651687, 0.15580410996723637, 0.18307812381160316, 0.20149102599406798, 0.16624162459563607, 0.14753053705313424, 0.21269096117975994]"
66,"[0.18843116344389432, 0.18221231377288183, 0.14092526449491327, 0.15271127932074857, 0.16817425821019027, 0.16413954844063905, 0.21540071217988166, 0.10762709527299696, 0.166943113586156, 0.23777288068488833]"
67,"[0.19746720528760275, 0.22196447837926947, 0.1823392776780629, 0.14531431856258425, 0.13774230515122454, 0.08624513020610425, 0.24101909373753572, 0.19771057943566872, 0.1585638448296086, 0.12788300513089113]"
68,"[0.15999372301914805, 0.14262136932648917, 0.13286577896073082, 0.13960141318636587, 0.17625397419620437, 0.24563623900781528, 0.19926223574844015, 0.26774689416806485, 0.10696825126184006, 0.1515735884877144]"
69,"[0.127821304807206, 0.23983357990213094, 0.14755571502834008, 0.10984833056811882, 0.21120877092197154, 0.17275383046566994, 0.15718370686208927, 0.186196437275028, 0.14272304630439858, 0.21809420696319481]"
70,"[0.20102018891053364, 0.19869060359995083, 0.10865056754158264, 0.21393288375477248, 0.194597534855111, 0.17957385694735462, 0.11571483439763941, 0.20506011396944057, 0.1192454817290377, 0.1278206766011839]"
71,"[0.17900074818989054, 0.1747573593937367, 0.13777594971452878, 0.20756444751570224, 0.18914082802460241, 0.19041196347788303, 0.14458636143283432, 0.15234136380638486, 0.18344261584635524, 0.1402535194878487]"
