,imv
0,"[0.1472158676516194, 0.08699876258707576, 0.11314712395165963, 0.11789887801697282, 0.1440097734912362]"
1,"[0.14684887803448882, 0.1657637276982499, 0.14081222227769677, 0.09105960482664323, 0.07458471966211967]"
2,"[0.09759803637093865, 0.127255589666653, 0.10240324241499632, 0.14240706512171125, 0.1376117594922268]"
3,"[0.11003735223835971, 0.1186745407611989, 0.1221871424045, 0.12717652535178023, 0.12443030864751335]"
4,"[0.1170772339695231, 0.14930746442807888, 0.10963379376998389, 0.11242655795186557, 0.11263503448596718]"
5,"[0.10727178529911369, 0.11750564940221438, 0.10159086600411472, 0.1237668406743514, 0.15171908144736154]"
6,"[0.09979784965459225, 0.10998397900207696, 0.13730396438856798, 0.14066395778417565, 0.12036057415613824]"
7,"[0.11146102602425842, 0.09335663648056662, 0.1347494618362105, 0.14796532481927838, 0.11241031892754906]"
8,"[0.1412653911200552, 0.10616133865881415, 0.09938445107035218, 0.12867853063068738, 0.12340451481655668]"
9,"[0.1465690864061842, 0.09456114470420209, 0.10969718033141616, 0.12224211429630841, 0.12539445937186894]"
10,"[0.10855229699883927, 0.11186911325689212, 0.12424506019130203, 0.13061954206270002, 0.1288883320753405]"
11,"[0.10836916936481959, 0.13543827842898398, 0.11957796894813603, 0.10097983053685122, 0.13673308477401994]"
12,"[0.14251600276717624, 0.13746485384111026, 0.08783277029156751, 0.1291952998500377, 0.10909030387237785]"
13,"[0.1223654927281128, 0.11663118444615635, 0.13453233939934203, 0.10890454190915726, 0.1138600444985051]"
14,"[0.14043462549465785, 0.10149362034358643, 0.1357026446154826, 0.14418979812119, 0.08581222012302313]"
15,"[0.11474459933805349, 0.117776988170288, 0.09734915706844156, 0.14956199084859723, 0.1340431991164755]"
16,"[0.08840536240490884, 0.15132531020639212, 0.11371088057157101, 0.12419483296919033, 0.12326922249694014]"
17,"[0.1223545167857283, 0.11743474443163847, 0.1325268492243061, 0.12188036030308697, 0.11367456367571657]"
18,"[0.13537311653561818, 0.13843145550294764, 0.11004940040477983, 0.12808922698158162, 0.0948007430361813]"
19,"[0.17047707818197375, 0.07583251717790918, 0.1028581608130643, 0.1045152702077779, 0.1591010737896475]"
20,"[0.10065507216251333, 0.10990279276301645, 0.10766038952147647, 0.11999251340705741, 0.1935206363391278]"
21,"[0.10966217392628731, 0.11614930060434914, 0.13473013507800202, 0.11638732792056222, 0.12648051378950523]"
22,"[0.10732075379253489, 0.12521620056171676, 0.11873907214171388, 0.09234358247334153, 0.15284269952146382]"
23,"[0.13673523187761352, 0.11014981501068263, 0.11225118163528841, 0.101157660238648, 0.13477083556601552]"
24,"[0.14770979399639597, 0.13081256640648165, 0.09453735377150042, 0.11511125015300065, 0.11823941725649686]"
25,"[0.09158294941187639, 0.10648135135418829, 0.14576054965489024, 0.13160642901789782, 0.12814858096134701]"
26,"[0.13329467632252318, 0.13057054528333104, 0.13709043998645323, 0.10574649313902942, 0.0959253393189468]"
27,"[0.10108404801130433, 0.18007243996564065, 0.10719867905112593, 0.1082166705187682, 0.12259092618056674]"
28,"[0.11544575916786332, 0.13937154747179192, 0.10845842452945471, 0.12663293606055293, 0.11029357643649933]"
29,"[0.1383127809773429, 0.10960376560118741, 0.10753616841482307, 0.11207216144093737, 0.13659617611965247]"
30,"[0.11767683644449137, 0.10286223863942302, 0.1150784301410335, 0.14214253628222814, 0.11628720252426411]"
31,"[0.13066782612537772, 0.14476538467983657, 0.10650765650121116, 0.09639216799642927, 0.12668064037636534]"
32,"[0.10711244873744903, 0.13115358985032607, 0.08139692137430155, 0.14061092989531662, 0.14793896377621232]"
33,"[0.10011731692016068, 0.1547900580208073, 0.1302773347213374, 0.10853274180484562, 0.11143379678911366]"
34,"[0.13141347016427185, 0.13135149653478226, 0.1075663709498689, 0.1257820220625961, 0.10623035245962391]"
35,"[0.11290405351662405, 0.12278983554707039, 0.13819076235339622, 0.10484562441107405, 0.11998888454153014]"
36,"[0.1415201972507374, 0.12525128678873365, 0.12797669699099024, 0.0972944739019884, 0.11042829678513788]"
37,"[0.14637178826004682, 0.11948349404750638, 0.09988463501008962, 0.11935661597470221, 0.11616538644205268]"
38,"[0.11026378591640182, 0.13616322517560997, 0.12669764821798793, 0.103703369191779, 0.11831473952990264]"
39,"[0.09388554051438798, 0.15033661663256798, 0.12414276777640111, 0.09808094269707715, 0.12951261856950674]"
40,"[0.1336082723790547, 0.13607904791148148, 0.11089235143234673, 0.10405211621280609, 0.10845050779041539]"
41,"[0.14224786190119934, 0.1217963563761937, 0.11633349558474619, 0.1222462418396211, 0.10339326436339462]"
42,"[0.12844960929744115, 0.1260027464451, 0.11671706502252147, 0.10172090269483247, 0.1256127528227658]"
43,"[0.10214951011332091, 0.12237563780561088, 0.12694458368153116, 0.13983417819076016, 0.11131299804653275]"
44,"[0.12959470478334473, 0.10939407314916053, 0.11907862722901078, 0.12167257186144273, 0.11769299678305803]"
45,"[0.14221466216542777, 0.12417220163061606, 0.1005990638954972, 0.1510465137925358, 0.0907119052331695]"
46,"[0.1031292762111808, 0.0983249012688064, 0.14460068649926935, 0.1511288967916288, 0.09922785585649276]"
47,"[0.14106362403639147, 0.10081702728624856, 0.10518322468392917, 0.12412769543551078, 0.13155678884770658]"
48,"[0.12292540824727745, 0.11454267356315198, 0.11113930871165612, 0.12050755946138143, 0.1316611494601542]"
