,imv
30,"[0.12488107684162567, 0.14171662513512148, 0.12355256307817532, 0.1294653701232587, 0.135518922208193, 0.10306245080044979, 0.12135793350612702, 0.12046188212345986, 0.1009440140882952, 0.09384525938946293]"
31,"[0.0892884392425303, 0.10950747290214374, 0.12182749389486154, 0.13823622109675668, 0.11923259166310572, 0.11201082860729152, 0.1107729568910419, 0.12799878825280234, 0.133140856579325, 0.1403497716351472]"
32,"[0.1178790992897885, 0.15136095699294758, 0.11852362783224385, 0.10656394284812178, 0.1355063517256524, 0.1153165713571371, 0.09584042093050679, 0.1384550053171928, 0.10622366104639913, 0.1097207588376032]"
33,"[0.09578401053110863, 0.09522243265838728, 0.10411109344426149, 0.12266684198828086, 0.1424135695184933, 0.1406022660851763, 0.11788928413188515, 0.15756655911799142, 0.0802613361981204, 0.1382025855154835]"
34,"[0.12483305309844521, 0.11075065410912474, 0.13888119495829723, 0.09508033072955732, 0.13218513692004483, 0.12237723911430716, 0.0919758542817294, 0.1331509947049664, 0.13850174280504482, 0.11472326703237413]"
35,"[0.09088840813643283, 0.12928962109519274, 0.12869740455453918, 0.12594734683696998, 0.11661102227845599, 0.15476122537960396, 0.050414128062116016, 0.14161423056213526, 0.12932286397041703, 0.11311400175028306]"
36,"[0.10476292627240394, 0.1499489239336248, 0.08067584028661046, 0.16057879923424467, 0.12498762600498158, 0.09178972164865559, 0.12720239833637526, 0.0810045182008303, 0.11563356789842862, 0.1426233068838286]"
37,"[0.09800842779577792, 0.14114691820166078, 0.14821969820457817, 0.10178659418639042, 0.09664223753831065, 0.08868960300821706, 0.14538289925428904, 0.13404890016884272, 0.1158505623618877, 0.12547716050622695]"
38,"[0.09972650934157201, 0.0981510773686698, 0.10886607214154036, 0.14821559962795258, 0.1463558071428464, 0.16378057328556883, 0.06969800331506296, 0.1341231732039008, 0.09768319392341603, 0.1155203570499219]"
39,"[0.12770865471797227, 0.10528046611317718, 0.10883680906626679, 0.07491075093945733, 0.11394585896136246, 0.16496675897720672, 0.12714227645332565, 0.13508723627987212, 0.11234323363919015, 0.11930728623288435]"
40,"[0.07855905459420369, 0.12275442068917827, 0.15586693952316608, 0.1459562224542859, 0.11617415551698705, 0.08183703711944468, 0.10805778965241973, 0.1364069195876677, 0.1432066443497208, 0.1004173874900662]"
41,"[0.12911384563134778, 0.10479863715727583, 0.10435669296108477, 0.10832122290394254, 0.12351092722328572, 0.12891147737281017, 0.12153492380166318, 0.12415171593543255, 0.15137851111637848, 0.10009173897908587]"
42,"[0.1257124043417581, 0.10423725882648933, 0.1256062801114582, 0.1439156936736793, 0.12859518259021757, 0.10539978945179564, 0.11411542207458338, 0.11760805714995766, 0.09252445644636935, 0.1384284039788776]"
43,"[0.0892726885461288, 0.13716631242491423, 0.09210560567801103, 0.12934225315655315, 0.11786427388597426, 0.12792979792472445, 0.10380252072847436, 0.13437311708340854, 0.1084639044185201, 0.1540320626853649]"
44,"[0.12891003524016934, 0.10855359231790368, 0.11478706142336913, 0.08391110538564472, 0.12414997585349045, 0.11678345817056619, 0.13308770227306613, 0.11947113482059211, 0.12643358697872756, 0.1405393771453025]"
45,"[0.11136281720978669, 0.11301583144096333, 0.14908030277991705, 0.12775764817322552, 0.10568471004345138, 0.14394758911443248, 0.12947103452636577, 0.11041639132126688, 0.137788506808754, 0.06309094930387203]"
46,"[0.12041471050069794, 0.09074411213496002, 0.13714916346582057, 0.14797907647985262, 0.09414864551862417, 0.1453305848305688, 0.1032596133756497, 0.11444137664167373, 0.11142001898764699, 0.12637160367070394]"
47,"[0.12971615838874115, 0.09120180554365065, 0.14450720663260092, 0.07465103647017225, 0.11776327297962834, 0.07968496373800484, 0.14263029217293527, 0.14084995974589784, 0.1426790794618557, 0.12854368969093274]"
48,"[0.1355952670456718, 0.11281008135871465, 0.12889479760405434, 0.11501293920886206, 0.11538394869023233, 0.1457249534527507, 0.11630284620532262, 0.11361547048089472, 0.09775856678912472, 0.12131526970964279]"
49,"[0.0949441427585661, 0.11441097267573883, 0.11200878361542559, 0.11035680252111238, 0.10640350862324306, 0.15033927886996196, 0.1386803968235886, 0.12577656329436834, 0.12477350610560187, 0.116216607808642]"
50,"[0.10723888197817752, 0.07379060062228752, 0.16023477853792426, 0.12719708860579623, 0.08049394344704641, 0.13204341047692147, 0.12717820959993373, 0.06661474809984767, 0.16188591222776105, 0.14259306458541665]"
51,"[0.10763042085737787, 0.11744366542249818, 0.13981413956689948, 0.11574446534850644, 0.13782575926473015, 0.10795908827998409, 0.14813612057730413, 0.14593153716135238, 0.11491735270201839, 0.0541514878038238]"
52,"[0.11887535080874041, 0.13652305135688553, 0.11053548799147417, 0.13436547279988598, 0.1031780462239718, 0.10886514238134844, 0.05055865494987221, 0.13577382354695933, 0.1321641156317189, 0.14883940989242772]"
53,"[0.10957991305852724, 0.14843408142582398, 0.13053014064513457, 0.08815456802844154, 0.0967294123617414, 0.11171596071560635, 0.08458700013339464, 0.16827464442132256, 0.1192621188589475, 0.13335522127571312]"
54,"[0.14013729409509326, 0.13533811550514377, 0.13879358512940626, 0.09756776796037747, 0.12082538507542266, 0.07162962807382292, 0.1310320657636017, 0.167668698542834, 0.09430587629611989, 0.0827500128680613]"
55,"[0.07487127681138721, 0.12851219323949017, 0.13296215439502443, 0.12798087050879092, 0.12358485508248329, 0.12694464490360416, 0.15295685448002247, 0.11148766764466485, 0.10682563124362052, 0.11324791485974946]"
56,"[0.14596985578149035, 0.085401173939629, 0.12752624799159262, 0.11509155851066226, 0.11256987594846173, 0.14910738318772768, 0.13561199220864392, 0.08620829045103953, 0.09720395901716224, 0.12852091137337762]"
57,"[0.043897965174047475, 0.12129910615220241, 0.14769810894740182, 0.11914780898712758, 0.13418520051406452, 0.14736382896277064, 0.08174887189833008, 0.1229277412490806, 0.06877508104548356, 0.18091791915382624]"
58,"[0.14401413357003512, 0.12377189134177875, 0.10572703234471183, 0.10756591733458302, 0.14476383339619442, 0.11998370542612605, 0.1003939242291024, 0.12685537837678512, 0.10745462264071924, 0.11989186767240645]"
59,"[0.11905634726185722, 0.11447305678149133, 0.11557711872596267, 0.13125738829074982, 0.13897890747076805, 0.12345370956792279, 0.1081954964076738, 0.11505868197951968, 0.12584788192061241, 0.11311133941682823]"
60,"[0.1178782649073362, 0.097338662737083, 0.1356365290618926, 0.1347170424224116, 0.03772979098114484, 0.1204773161421309, 0.10002794511003012, 0.14043667957700845, 0.11402627560313452, 0.17999565666681772]"
61,"[0.09236804550809245, 0.16527303560563017, 0.1280104108852866, 0.10053263071848946, 0.07276044130949323, 0.1373907246635627, 0.12702242546521575, 0.11271827023259351, 0.13224728760080576, 0.11243815825399764]"
