,roc_auc
58,"[0.7437730974640577, 0.7424524148796904, 0.7182274049719706, 0.7303053719126528, 0.6789138226310494]"
59,"[0.7115041146681136, 0.7297812007114333, 0.7499138842366581, 0.7176241861586689, 0.7111479251927286]"
60,"[0.7257672123171027, 0.7338752913752913, 0.7151300517826321, 0.7059739599647757, 0.7393450483739035]"
61,"[0.7266462019983148, 0.7252020812591855, 0.7243094405594406, 0.7166821260927002, 0.7327242954408343]"
62,"[0.7250858811405015, 0.7372224221389021, 0.728285487797973, 0.7265780923648179, 0.7015769995751152]"
63,"[0.7056412756039622, 0.7382433117788766, 0.7158617721636773, 0.7314922255743791, 0.7332495456784252]"
64,"[0.7239894966660767, 0.7466916926081915, 0.7232961586121436, 0.7247718889536012, 0.7026788014080879]"
65,"[0.7116838283435509, 0.7145527051961192, 0.7297832625308665, 0.7333720120677651, 0.7305068090072083]"
66,"[0.727071967466305, 0.7211433604563374, 0.7091048563167522, 0.7207101611652159, 0.7444275537273839]"
67,"[0.7466901473085219, 0.7164591415342259, 0.7060969210235115, 0.7490199825131296, 0.6968579234972678]"
68,"[0.7061860677753015, 0.7022960681630256, 0.752089836975373, 0.7574065660095997, 0.6956254351357624]"
69,"[0.7354203593646822, 0.6914796901705518, 0.7313441605753638, 0.7249093515473481, 0.7381978100879554]"
70,"[0.7325626982176503, 0.7232367121004701, 0.7498625901751976, 0.7328881283612606, 0.6816558362538941]"
71,"[0.7291267030642861, 0.7394735629801104, 0.7370489269030264, 0.6955195099818511, 0.7227859998096506]"
72,"[0.7254491509522469, 0.7092694256756759, 0.7280851467311431, 0.7178111775864585, 0.7312400447538264]"
73,"[0.7302806308317861, 0.7253471626950111, 0.7054102189781022, 0.7409712757403469, 0.7164186700996976]"
74,"[0.7412140871177016, 0.721952296819788, 0.7211802405378369, 0.7236722799774176, 0.7198162616982914]"
75,"[0.6996301207341754, 0.7300378087517185, 0.7353590550311861, 0.7393454350353215, 0.7138541165856467]"
76,"[0.7266707005512975, 0.7102496103473144, 0.7384258446558767, 0.7178389345239133, 0.7251483769379845]"
77,"[0.7310648008322427, 0.7130817085462064, 0.7550354975380739, 0.71791705384653, 0.6952224932780142]"
78,"[0.7426835664335665, 0.7339745791824115, 0.7243984120166691, 0.7078658134996163, 0.7125955181591825]"
79,"[0.7147304239955997, 0.6923464510704949, 0.7533453495933105, 0.7272207418939554, 0.7320642727172314]"
80,"[0.7232788321167883, 0.724149184149184, 0.7216226947328498, 0.7477770126642915, 0.7008352949687531]"
81,"[0.7261829836829837, 0.7470744525547447, 0.7290142133408385, 0.7038648699232641, 0.7156234795798633]"
82,"[0.6998601273733707, 0.7547987266745061, 0.7385320050383601, 0.6880251924891541, 0.7419101551346722]"
83,"[0.7351001465559356, 0.7202762493618469, 0.7497191307095461, 0.7109583305110316, 0.7072130980485403]"
84,"[0.724052998131476, 0.7341956191161618, 0.7207025752884886, 0.7137248770997273, 0.7207919247203418]"
85,"[0.7279317010309277, 0.7220879709541099, 0.7348079445598802, 0.7075849514563107, 0.7282715148061754]"
86,"[0.7067357664233578, 0.7363191343181038, 0.7325413604483372, 0.7028337954180651, 0.7425771604938272]"
87,"[0.729211365261767, 0.6965894887209095, 0.7475781108699584, 0.7104439226210444, 0.7266375594863967]"
88,"[0.7290709325225444, 0.7189589909177763, 0.725742662848962, 0.7269063545150503, 0.7144177610352466]"
89,"[0.7157094127962143, 0.7118216325475356, 0.7364156616016808, 0.7352030868257847, 0.720311444380545]"
90,"[0.7072320307731288, 0.7033595571095572, 0.722978041462084, 0.7354344331049908, 0.7498703882324573]"
91,"[0.7023818162028808, 0.707615894039735, 0.7614630389553663, 0.7376386544489993, 0.7114965227097105]"
92,"[0.7519236452082197, 0.7060403451625807, 0.7327378887732686, 0.6616557441189416, 0.7551878626239941]"
93,"[0.709064904876893, 0.759595379869431, 0.6942030230161457, 0.7051571038251367, 0.7620430799399455]"
94,"[0.7369163429901766, 0.695097307163514, 0.7299721484475992, 0.7400089945751468, 0.7116399522428004]"
95,"[0.7529950915393026, 0.7112183061309544, 0.6977592862438327, 0.7475433063668356, 0.7058340577610356]"
96,"[0.7139679878608401, 0.7225242058773569, 0.710771284180746, 0.7473340682292875, 0.728407326007326]"
97,"[0.7241691668589892, 0.7136391898031901, 0.7275094399890485, 0.7093038479052823, 0.7306547708152451]"
98,"[0.7294854005791506, 0.7525703900300024, 0.7302127039627039, 0.7029446957536846, 0.7020414748891795]"
99,"[0.7077686586893801, 0.7523944149549965, 0.7352642335766424, 0.7231698649609097, 0.7056101169672399]"
100,"[0.7334345308371282, 0.7189886115536674, 0.7117764187171098, 0.7333512834320588, 0.717585644755969]"
101,"[0.7231999659797822, 0.733463710687527, 0.7161316582426127, 0.7229062485663165, 0.724667641472966]"
102,"[0.7102744525547445, 0.7405138686131387, 0.7270800211976681, 0.7067591088419587, 0.731121255218608]"
103,"[0.7482350366812931, 0.7632155597078307, 0.6819028629248259, 0.7181772797536345, 0.7075124249475712]"
104,"[0.7075086414401259, 0.7327004344979466, 0.7196532628969289, 0.7176456711488558, 0.7375891842631953]"
105,"[0.7311305361305361, 0.716031040849296, 0.7025285767967321, 0.740767551216182, 0.7274716101671176]"
106,"[0.727888892586553, 0.699672508408568, 0.7199504891434025, 0.7414553540714531, 0.7284320085747327]"
107,"[0.7527567020738493, 0.7328659105918791, 0.7057740753463871, 0.694596605706763, 0.7342237463871176]"
108,"[0.7344172237235101, 0.7065579710144927, 0.7194075647607246, 0.7337483382603787, 0.7294911202185794]"
109,"[0.7403312723353566, 0.7366741741741741, 0.7170325101854161, 0.7039486375693272, 0.7192333378644333]"
