,r2
0,"[0.19353210574588808, 0.13554527171490927, 0.17166747830009166, 0.16256046274676494, 0.1916178109130513]"
1,"[0.16991259578169982, 0.1831022843351341, 0.22547806301782458, 0.1377375313720729, 0.11686076656374977]"
2,"[0.14525519130259035, 0.19665118143592575, 0.16631543574017094, 0.1805147949212449, 0.15888830857832492]"
3,"[0.17342226040998399, 0.16781941969621084, 0.1575738383337949, 0.1864979324498276, 0.1786243417240433]"
4,"[0.16548574207158506, 0.21579243717671148, 0.14680344737421136, 0.16442393108371878, 0.17178166674004725]"
5,"[0.16085106865085053, 0.17279792862458532, 0.1398796381194154, 0.19104522697908044, 0.1950617520667679]"
6,"[0.15911337041051454, 0.14939365177044006, 0.1951534380554788, 0.18953428113900805, 0.17145518030596352]"
7,"[0.16871246764207548, 0.1405090414844803, 0.21399463547952102, 0.19378575069400095, 0.13545161361303026]"
8,"[0.18782567127617922, 0.1544520936560968, 0.15685962437406153, 0.1823647135642058, 0.16718577003499813]"
9,"[0.21920678253449544, 0.1331721795918357, 0.1437997092752218, 0.18026085591313312, 0.18992774144692548]"
10,"[0.16686500539709903, 0.17060708078732478, 0.1681527149684966, 0.19332969341142303, 0.16198074976048948]"
11,"[0.150635681510789, 0.17539014498397543, 0.1788452798264354, 0.148055137700971, 0.20424403447849027]"
12,"[0.19610791805537375, 0.18042576704806446, 0.13365877651919156, 0.17022741594544777, 0.16994380858681202]"
13,"[0.16976744028398116, 0.17129142935423758, 0.1908021236367652, 0.13474270038999248, 0.18532029649190807]"
14,"[0.1981501796758578, 0.13726918625008144, 0.18881584980497412, 0.1963495543522249, 0.1335528660031391]"
15,"[0.171483253676729, 0.15228040910082075, 0.15929053920940217, 0.18541071185356628, 0.18810155851584387]"
16,"[0.13357055209387303, 0.21284242984774226, 0.16582149103253385, 0.19022725797398177, 0.1513349177935227]"
17,"[0.159194377262877, 0.14838295601962936, 0.17671355371306374, 0.20088276183173293, 0.18053714596092263]"
18,"[0.1770656931777509, 0.19414561847392964, 0.16612119266420056, 0.16850987051222222, 0.15328868675835539]"
