,roc_auc
58,"[0.6742126233414026, 0.672719643145513, 0.678064201592113, 0.6704228599298381, 0.6745372710792575]"
59,"[0.6742340194280267, 0.6689696498679227, 0.6813674734635403, 0.671352018070166, 0.6740876598972114]"
60,"[0.6771124878018834, 0.6732896388243275, 0.6766265988079472, 0.67058915784053, 0.6726340919464936]"
61,"[0.6768516198002733, 0.6750932727312291, 0.6687898242907233, 0.6763476283598117, 0.6729869019535717]"
62,"[0.6721381858973233, 0.6763031510903408, 0.6697105071357965, 0.6779382564506149, 0.6737245508260669]"
63,"[0.6721881279615003, 0.6801166240994144, 0.672787732194636, 0.675423820364444, 0.6695914135293558]"
64,"[0.6734310172375754, 0.6699419805794243, 0.6749998201545867, 0.6787666781269097, 0.6729641490080308]"
65,"[0.6741800099495749, 0.6722329123388484, 0.6768125268744932, 0.6757388719215385, 0.6708546674229304]"
66,"[0.6699805470585964, 0.6723998521329844, 0.6745681733143898, 0.6815018630692525, 0.6715043249413454]"
67,"[0.6708628897727624, 0.6764564780451193, 0.6695829573257421, 0.6760935649955645, 0.6770728852229712]"
68,"[0.6739102481274762, 0.6724310800346894, 0.6756459853925453, 0.6704468984942855, 0.6776470374126787]"
69,"[0.6729544562734128, 0.6738619656793728, 0.6764695860225883, 0.6695678519759743, 0.677149027853848]"
70,"[0.6729952052428383, 0.6783757604674918, 0.6769836546656083, 0.6683756790303056, 0.6732624273311958]"
71,"[0.6793862790242203, 0.6741130634892251, 0.6705478025865217, 0.6789809311757085, 0.667035123359865]"
72,"[0.6759267764111053, 0.6757456961833243, 0.6731496196276658, 0.676239730859474, 0.6692198831626269]"
73,"[0.6786929057834549, 0.6769285763837304, 0.6743680308462668, 0.6654686439658908, 0.674500706048277]"
74,"[0.6745690051938187, 0.6667152631352883, 0.6755410305979339, 0.6755435453612404, 0.6775789312443126]"
75,"[0.6702446129075782, 0.6720294334229743, 0.6717469000321341, 0.6775362568378006, 0.678620713189761]"
76,"[0.6753188234319669, 0.6728126500998753, 0.6739794600160607, 0.6760642760431499, 0.6717590173088759]"
77,"[0.6797309289192104, 0.6754527873165682, 0.6709274873512336, 0.6681337409778938, 0.6757794932745003]"
