,roc_auc
58,"[0.6988247326831233, 0.7039094415078566, 0.6929259228533082, 0.7008679681244907, 0.6940066880521965]"
59,"[0.7007900799079194, 0.7018692133521054, 0.690254886667109, 0.6975248808046641, 0.7003353300365527]"
60,"[0.7041089280214943, 0.698030544464825, 0.7019923537077865, 0.6976376204786358, 0.6892542095070844]"
61,"[0.6951433889983702, 0.6969909210766949, 0.6988310248740567, 0.69884998176704, 0.7012245529201502]"
62,"[0.697552310714962, 0.7019700688648972, 0.6973270868250983, 0.6992420551086274, 0.6942155838295464]"
63,"[0.6909520793548241, 0.7044634471284084, 0.6938764942614221, 0.7043815157971536, 0.69748130196456]"
64,"[0.7026174324850184, 0.6955518854336761, 0.6987740796381451, 0.6978591369786812, 0.6957241393355029]"
65,"[0.6972075862703413, 0.6966211197997016, 0.7020069776039224, 0.7020595775302187, 0.692226892578284]"
66,"[0.7007963232957847, 0.6935643521070822, 0.7008681920559718, 0.697659069350315, 0.6982970560773741]"
67,"[0.700925709309241, 0.6944151598291859, 0.6986822175093641, 0.6992973749214639, 0.6973752404441786]"
68,"[0.6961135781049479, 0.6990569093077738, 0.6984234806660584, 0.6942325658417359, 0.7030869597534938]"
69,"[0.7018991750311191, 0.6996885072669539, 0.6962838826537079, 0.7023384174026939, 0.6904260739181584]"
70,"[0.7007235431666725, 0.701146506874314, 0.6949845690600096, 0.6977026720288051, 0.6959652044473075]"
71,"[0.7008035336653734, 0.7039281909656886, 0.6968631035711516, 0.6927327828618624, 0.6959795108844482]"
72,"[0.6916933366733093, 0.6970916301802822, 0.7030325763521958, 0.6990843131023534, 0.7000843583725838]"
73,"[0.701053716352282, 0.6991651556480114, 0.6928876022301704, 0.70061093810497, 0.6971525694851495]"
74,"[0.6993425400465266, 0.7008790388216195, 0.6956974490967656, 0.6998282898346356, 0.6951139810863067]"
75,"[0.6973969115311962, 0.6978336184098357, 0.6962523955950741, 0.6969742379242568, 0.7024078711081622]"
76,"[0.6987183942023663, 0.7003956501058077, 0.6955665059249467, 0.697011575647849, 0.6982724060509906]"
77,"[0.6938782579816078, 0.6999346358943361, 0.6990164663186464, 0.6987512783618334, 0.6994957545650623]"
78,"[0.6991756959757889, 0.6995561737751688, 0.6980775690584299, 0.6907247439223807, 0.7027853576277818]"
79,"[0.6932094062570601, 0.7045046198936487, 0.6994464656127952, 0.6965582569517388, 0.696882298944895]"
80,"[0.7008913894027411, 0.6987935702216407, 0.6936077505192239, 0.697775717384445, 0.6996781148132049]"
81,"[0.6968310320106542, 0.7005831866774651, 0.6986250112337853, 0.7002503439198017, 0.6944354134799854]"
82,"[0.6981351827828804, 0.6958694447285868, 0.7040234624995135, 0.6997889156317743, 0.692919105957903]"
83,"[0.6936495032465072, 0.6965959181222707, 0.7006501898852477, 0.7027896984843736, 0.6971380053664067]"
84,"[0.7002721023012548, 0.6930901894410717, 0.696441934227483, 0.7010899148506471, 0.6998802620569675]"
85,"[0.6991977368033372, 0.7005476705283165, 0.7022978960983677, 0.6915563278587231, 0.696982908285828]"
86,"[0.6990807274749687, 0.7001199343345865, 0.7008425341266009, 0.6983970115654314, 0.6924616711671268]"
87,"[0.6964958468634355, 0.7020914954384158, 0.7002472308957507, 0.696118227588296, 0.6958167480599982]"
88,"[0.7012909151531375, 0.6971384266479171, 0.6984288399239207, 0.6978641986626619, 0.6955848981871611]"
89,"[0.6964373410642963, 0.6946788155677847, 0.6937422370207855, 0.7033295777658782, 0.7023863972629356]"
90,"[0.7029534132357443, 0.6980613074221214, 0.6992772642403676, 0.6970600640603274, 0.6937391441692464]"
91,"[0.7010997875836242, 0.6972404432197502, 0.6932053306333872, 0.6975831361444739, 0.7016456932005158]"
92,"[0.6977533010440733, 0.6963547719476658, 0.6998570515003932, 0.6971424279546079, 0.6994848536116495]"
93,"[0.6991406871515586, 0.6989336951800129, 0.6939259249597849, 0.6987702662039386, 0.7000292179152237]"
94,"[0.6975677619933472, 0.6913858444299101, 0.7003275516663783, 0.6995448605052565, 0.7022005600159067]"
95,"[0.7007887588202126, 0.6985612267585943, 0.6977877310412156, 0.6981154859014562, 0.695272445055131]"
96,"[0.6948069088674111, 0.6974567985706612, 0.7015707349219085, 0.7001859053567034, 0.6969621405108942]"
97,"[0.695113221892488, 0.7035045848734749, 0.6949920518188164, 0.6996470726938643, 0.6976754326996273]"
98,"[0.6978218659500384, 0.7001799904823575, 0.6947676155877743, 0.7035801759617982, 0.6939419225626602]"
99,"[0.69198829333791, 0.6971842334347269, 0.7033967300927382, 0.6953588478531126, 0.703083025284627]"
100,"[0.6963319707002176, 0.6994448880252415, 0.7039629569095328, 0.6928263383108337, 0.6984499679725606]"
101,"[0.6937859611650334, 0.6955702796505697, 0.6932364249975653, 0.7052761954008443, 0.7027557673796705]"
102,"[0.6986916728200905, 0.6984679822545325, 0.6944553485883765, 0.7014867887891294, 0.6974485775362579]"
103,"[0.7005484286783064, 0.695473079828073, 0.6992653880704672, 0.6952161807881407, 0.7000641604485939]"
104,"[0.6950998078584616, 0.7011946528035324, 0.6981708555558294, 0.698141784181964, 0.6978612052424652]"
105,"[0.6996102589242925, 0.6916099333646993, 0.6996187722223068, 0.6931759600274309, 0.7063185833205855]"
106,"[0.6954264740328908, 0.6973697917796893, 0.6931339918972198, 0.7024136365921133, 0.7021137973718111]"
107,"[0.6968577590677054, 0.6987058654332979, 0.6979585565343549, 0.6944307434266332, 0.7026086391310151]"
108,"[0.6963682415944908, 0.6966147549716435, 0.6958299028937887, 0.7064960657808685, 0.6952916803623871]"
109,"[0.6983850476823682, 0.7005287826059654, 0.6979556249453973, 0.7032472501967575, 0.6903968525974511]"
110,"[0.6972581916472064, 0.6981417257988853, 0.6990581815924124, 0.6985304259311148, 0.69786391373719]"
111,"[0.6987019067099979, 0.6979159401062598, 0.6982355411853496, 0.6988777217023261, 0.6969975461900516]"
112,"[0.7021839341243746, 0.6928202085978422, 0.6950612852133204, 0.7018455769327607, 0.6986982776834155]"
