,roc_auc
30,"[0.7471084169453734, 0.7684062616127832, 0.747712281679673, 0.7660655202945152, 0.764213150659397, 0.7195582273172095, 0.7502330024698262, 0.7400274942914395, 0.7134768628547463, 0.7089682650636097]"
31,"[0.6969992567818655, 0.7295847268673356, 0.741638795986622, 0.7548348012488932, 0.7378372710750734, 0.7488000372803952, 0.7288200754928003, 0.7597744536092083, 0.7643995526352579, 0.7698168600587167]"
32,"[0.7508709587513935, 0.7783584169453734, 0.7399084912671869, 0.7207931404072883, 0.7568153222424159, 0.746004007642481, 0.7298103359895615, 0.7664499743697283, 0.7240901253553287, 0.7165874458269257]"
33,"[0.7205615942028986, 0.7209215904868078, 0.7196441843180973, 0.7564308681672025, 0.7586909921245165, 0.7645859546111189, 0.7447923947993849, 0.7821543408360129, 0.6997763176289669, 0.7646209049815929]"
34,"[0.7445071534745448, 0.7433691007060571, 0.7625650315867707, 0.7379421221864951, 0.7413323081224661, 0.7575492800223683, 0.7042499650496294, 0.7605899622535999, 0.753320285195023, 0.7376625192227038]"
35,"[0.7149642326272762, 0.7484090486807877, 0.7469806763285024, 0.7416585115802228, 0.7410876555291488, 0.7859755813411623, 0.6770702269444058, 0.7616268232443265, 0.7561279649564285, 0.7423575189897014]"
36,"[0.7337072649572649, 0.7653753251579338, 0.68804580081754, 0.7940607670441306, 0.745211799245072, 0.7178456591639871, 0.7536814390232537, 0.7039587119623467, 0.7453399506034764, 0.7712614753716389]"
37,"[0.7243241360089187, 0.7683017465626163, 0.7832009476031215, 0.7183000139801482, 0.7144321729810337, 0.695628873666061, 0.7812689314506734, 0.7595298010158908, 0.7352975441539681, 0.7542173447038539]"
38,"[0.7332079152731327, 0.7028753251579337, 0.7329292084726867, 0.7651451605387017, 0.7697120089472949, 0.7912880376531991, 0.7030267020830421, 0.7542056945803626, 0.7215620485577148, 0.7521319725989096]"
39,"[0.7463187476774433, 0.7334750092902266, 0.7344156447417318, 0.6826506360967428, 0.7465515634465726, 0.7948646255650309, 0.7472156204855772, 0.7672188825201547, 0.7431963278810756, 0.729146278950557]"
40,"[0.6951063730955035, 0.7406052582683018, 0.798100148643627, 0.7650985600447365, 0.7378722214455473, 0.7098420243254578, 0.7383964770026562, 0.7612190689221305, 0.7630947388042313, 0.726396849806608]"
