,r2
0,"[0.02751585646216792, 0.033358023940732284, 0.03625265908853159, 0.033134279155798696, 0.03345784752732306, 0.031918121470975835, 0.03197910308683383, 0.029025571967768893, 0.02708133177923122, 0.03904619961738831]"
1,"[0.03806549932684711, 0.02984456435279692, 0.03401848188104095, 0.02964003405583504, 0.028895641389411475, 0.0362433466566644, 0.0320805795057183, 0.02799999214801463, 0.03397491459733115, 0.03231526498718551]"
2,"[0.02782463954757619, 0.03146272238055281, 0.029815512612964223, 0.0342153419078125, 0.0331299639854421, 0.03427615832815589, 0.03402303547737828, 0.02830169775502578, 0.03413111868629548, 0.03609658474163424]"
3,"[0.031922794801130694, 0.034149191065425244, 0.037269559826355825, 0.031698226721720624, 0.029578518845068125, 0.03380118691853429, 0.030620696257612767, 0.03146778385433113, 0.030240232969739322, 0.03237946100439704]"
4,"[0.03181232644849674, 0.03254357815251696, 0.028662088922361995, 0.036978482727702655, 0.02732891548618588, 0.033997628345806, 0.03328891130807443, 0.03672430789817105, 0.0310848203224543, 0.03055767233850093]"
5,"[0.03583349415026238, 0.03180674983095533, 0.02811843709310613, 0.0313380515080538, 0.030243527241043733, 0.03359533229808964, 0.03383769796689051, 0.03778038269021855, 0.0274352832725564, 0.03214314095199633]"
6,"[0.033956108464793355, 0.026242881553890984, 0.033639758881273685, 0.031589594480201044, 0.03385761386788977, 0.035703324902164324, 0.03302376698969767, 0.02848698334046662, 0.034299627701651625, 0.03226750226335706]"
7,"[0.028157863077231227, 0.028893567125247044, 0.03278937082355782, 0.03789251505670488, 0.03237801831114129, 0.030030575776892054, 0.03525073222067021, 0.027511227257722592, 0.0299266989324507, 0.04029304413998447]"
8,"[0.03324807871362567, 0.03860182825503855, 0.03364052938664497, 0.03096110211252323, 0.03435128956594591, 0.03128713580912179, 0.02963448699583693, 0.031541214212173485, 0.029296922340721898, 0.03040554789145833]"
9,"[0.03377038543296884, 0.030741354861128056, 0.0395634443968772, 0.029671548967600048, 0.029400652415688455, 0.030854259384828664, 0.027805436988463272, 0.03066499892619645, 0.03426172077988876, 0.03572499869757195]"
10,"[0.027877314237479855, 0.03258900713591728, 0.034006981988328744, 0.034982951866267875, 0.033134302765263524, 0.033651432470660825, 0.033115118148041356, 0.03506041832771867, 0.032198795212064035, 0.02681978503547522]"
11,"[0.03584303740490624, 0.030483539864500808, 0.033055205732109405, 0.037988457698705846, 0.02784926466707538, 0.0358650770990766, 0.03507514212707741, 0.03021949777487054, 0.028000061454339975, 0.02860920973643022]"
12,"[0.033275438258792756, 0.03560933174529657, 0.03393464494028364, 0.032238683108440136, 0.03069413459136927, 0.033049140365997265, 0.03436814159857271, 0.03106481635842373, 0.03062476419452853, 0.028307397994626782]"
13,"[0.034194821734758074, 0.03136957186530753, 0.031092707169599332, 0.03960145350205935, 0.031098848810102386, 0.030751194864663822, 0.029489113408908918, 0.03223763742173602, 0.03185814399850573, 0.031164777698939994]"
14,"[0.03501272779404685, 0.036786027983764846, 0.028466960307419686, 0.025895869690857776, 0.032538871510327305, 0.035383696752373406, 0.02827946214221644, 0.034335135252405946, 0.041361330846730326, 0.023853981133954538]"
15,"[0.026648623921767478, 0.03318641868065164, 0.03663757083027741, 0.029568118466047233, 0.030244054175271207, 0.03706271258667715, 0.03331211017347657, 0.029906076266697057, 0.030639730722575753, 0.03577673723804309]"
16,"[0.03390090369660681, 0.034392524431282157, 0.03137969482045744, 0.026366557893225284, 0.036852773004289574, 0.03223630776684361, 0.03334762012018655, 0.03304208445869816, 0.03064131219407662, 0.030696901034836355]"
17,"[0.030342610418112814, 0.03439234049092621, 0.03141213567691126, 0.029975088642186787, 0.03394788153746764, 0.03164347077511176, 0.029406265938573428, 0.03200521160458869, 0.035699822210411125, 0.034445326460446624]"
18,"[0.030583710392350194, 0.03273717737147097, 0.03344102231241153, 0.032862634256033196, 0.03355955059978366, 0.03513534623264125, 0.03240522007069979, 0.030332646710728883, 0.03276490814487809, 0.029606494526143168]"
19,"[0.03695903943810597, 0.03321207252521141, 0.028082097092678504, 0.03047662642083815, 0.031048516329986287, 0.02861997432638741, 0.031795791962852205, 0.03537317467848844, 0.03298591837026721, 0.03437339567103159]"
20,"[0.03411998515887982, 0.03671735947925647, 0.028504930964693753, 0.03209225855664921, 0.03236199200104828, 0.030290272946482566, 0.03361656546152236, 0.026798947625648273, 0.035720885816214465, 0.032241500736351014]"
