,roc_auc
0,"[0.7640437788018434, 0.7045666666666666, 0.7469748187340779, 0.7062646028037384, 0.7520591085271319, 0.6921631272317235, 0.6980394909227026, 0.7044195161508312, 0.7297435441575181, 0.748989851531667]"
1,"[0.7251655629139072, 0.7021196482757093, 0.7532943878347343, 0.7198411656602781, 0.7415465631929047, 0.7628961526289616, 0.6778996865203761, 0.7346427180685358, 0.6946843853820599, 0.7007518625165685]"
2,"[0.7242874001452433, 0.6961190609687721, 0.7042427884615383, 0.7395498392282959, 0.7403259878054635, 0.68572695035461, 0.7220456848116421, 0.7584892661896084, 0.7157724016759022, 0.7329992444108627]"
3,"[0.7070226190747363, 0.7137079554874526, 0.7071986201888162, 0.7318763326226012, 0.7185086155674392, 0.7373071687840291, 0.708576166785122, 0.7561035042933395, 0.7124078846240789, 0.7376014210955879]"
4,"[0.728878330923363, 0.7411691225797498, 0.7672162496210442, 0.7126814882032667, 0.6899954627949184, 0.7113681905028193, 0.7161986539800418, 0.7208939459407556, 0.7513919291900637, 0.7110935856992638]"
5,"[0.7197765707644505, 0.7119797473058344, 0.7418882218410521, 0.6988233397807866, 0.716688874083944, 0.6894167923579688, 0.7554438280166434, 0.750452389103536, 0.711753892733564, 0.7487151422860948]"
6,"[0.7078050665314304, 0.7264966553164771, 0.7372187671483446, 0.693255193711398, 0.7678867566927269, 0.7037888002883271, 0.744540892445409, 0.6883001750023027, 0.7437779575521081, 0.7199729320548699]"
7,"[0.6821492131884601, 0.7282968071037219, 0.7211736605470215, 0.6856296296296297, 0.7520504217344703, 0.7923485183547102, 0.7414586513423722, 0.7164389799635701, 0.6876439163673208, 0.7380936558568136]"
8,"[0.7478775821786301, 0.7144083480122189, 0.7556378600823044, 0.6934904153354633, 0.731559912439326, 0.6946558153598065, 0.7504641448131816, 0.690165331122778, 0.702329988851728, 0.7450987273067565]"
9,"[0.7664457153796453, 0.7722490086517665, 0.6826025150355385, 0.7012859689330279, 0.7184773271847733, 0.6990190596020319, 0.7343520492774225, 0.7172234699606962, 0.7270327711504182, 0.7206899034999282]"
10,"[0.7360414344109997, 0.7177273172643541, 0.688724279835391, 0.7494936098384375, 0.768912184609859, 0.6756953580154106, 0.7319506831368146, 0.7451844975632398, 0.6969103872501049, 0.7290341812400636]"
11,"[0.6989770723104056, 0.7369215291750503, 0.7082333333333334, 0.7378993555464144, 0.7127982162764772, 0.7325427702129781, 0.751314854299929, 0.7033683800623053, 0.7386760799664477, 0.7139247613700169]"
12,"[0.6998811048106823, 0.7396072982392199, 0.7077255235367818, 0.7353534890122493, 0.7128767783940199, 0.6974444444444445, 0.7805569136406063, 0.6780445404999059, 0.7243624772313297, 0.7469824293353705]"
13,"[0.7230533525594809, 0.7172278943424503, 0.7672008291477317, 0.695382785467128, 0.7390160022459293, 0.7046711458476166, 0.7296392921960071, 0.6961469902646373, 0.7592717627200385, 0.7149224806201551]"
14,"[0.7433051924473493, 0.7397464664924011, 0.6614180765273159, 0.7424944071588367, 0.7292356810216526, 0.7292220450115187, 0.7547814207650274, 0.7176130606981671, 0.6861056800521382, 0.7232723626937939]"
15,"[0.7551628418961928, 0.6816238339125662, 0.7016623411490961, 0.7483987003945232, 0.7439817741255795, 0.689207355129867, 0.7156147227102763, 0.7319744994163598, 0.7379680998613039, 0.7413650179607627]"
16,"[0.6957129428062537, 0.731166162856603, 0.7207590074178737, 0.769823630628047, 0.6984791485066753, 0.7233830845771145, 0.7301904991560163, 0.7154792295196104, 0.7528668140370268, 0.7026515151515151]"
