,roc_auc
0,"[0.7627044222671971, 0.7531608393235165, 0.725521669341894, 0.7413585209003215, 0.7364683815648445]"
1,"[0.7504797962174611, 0.7768656803219578, 0.7239368878963408, 0.7347383382263852, 0.7225959970175684]"
2,"[0.7323318677739782, 0.7473625747318957, 0.7392438411612813, 0.7509844354350157, 0.7443380399832238]"
3,"[0.7099530090492474, 0.7659292344197083, 0.7286039965570986, 0.7453719884430774, 0.7657538794911227]"
4,"[0.7445215995533534, 0.7253064880080023, 0.7346959545909229, 0.7552279929167249, 0.7522368237103313]"
5,"[0.7499418428827319, 0.7558593295647522, 0.7166178146881615, 0.7274861363530454, 0.769487744070087]"
6,"[0.7585229255356271, 0.7443994696070904, 0.7307383627608346, 0.7254211519642109, 0.7574153036022182]"
7,"[0.7722072952287901, 0.7116657361527904, 0.7575517016772513, 0.7215969989281887, 0.7600540565729996]"
8,"[0.7171790308697978, 0.7339777141926629, 0.7698490241235723, 0.7429312875716483, 0.7561425276107927]"
9,"[0.7568363691348546, 0.7800352432130644, 0.7376735989950451, 0.7254531898038119, 0.7209737173214036]"
10,"[0.7435329285597971, 0.7358678205038732, 0.745434666294461, 0.7226979355981172, 0.761160818304674]"
11,"[0.7645741735873636, 0.7114941726568498, 0.7340155163188871, 0.723361992637122, 0.7743283703807261]"
12,"[0.766978970386396, 0.7315380231232698, 0.7363010910275198, 0.729009389999534, 0.7419468521366327]"
13,"[0.7443529439132761, 0.7361993160723008, 0.752285574708633, 0.7420720909641643, 0.7464991378908616]"
14,"[0.7661822178798241, 0.7465483750901435, 0.7379760160048388, 0.7438603849200801, 0.706332424623701]"
15,"[0.7779939283969572, 0.7375950868867331, 0.7461267359899504, 0.6996918542336548, 0.7489951768488746]"
16,"[0.7774472514946379, 0.738298788005676, 0.7602850861888477, 0.7068683303043013, 0.734368446805536]"
17,"[0.749063670411985, 0.7459813431967804, 0.7367227301277129, 0.7361480031688334, 0.7473787222144554]"
18,"[0.743567822830158, 0.7505873868844068, 0.7492788517458767, 0.7242794398620624, 0.7450545225779394]"
19,"[0.7386477307092841, 0.7457109126014841, 0.7421458813129551, 0.7519776084626497, 0.7388129689174704]"
20,"[0.7627073301230605, 0.7903232372577756, 0.7194151720287528, 0.7079867421594668, 0.7407323267626638]"
21,"[0.7328814525321609, 0.7384441807988461, 0.7619105776164887, 0.7300258632741506, 0.7576133557015704]"
