,r2
0,"[0.03761694596257903, 0.03828798810866052, 0.039247441308124964, 0.03240341299221983, 0.039394243463978684, 0.04250134871735789, 0.03837785160387275, 0.04071104586460139, 0.038962549609301345, 0.03789880330510065]"
1,"[0.04041290879567094, 0.037772552012854566, 0.03847696626282349, 0.03437374142043248, 0.03701010644167524, 0.042965521486619807, 0.03894647958659603, 0.03405545092940143, 0.04059125096404026, 0.04058809664754759]"
2,"[0.03774407687304504, 0.0388832150816687, 0.04346246500796058, 0.04026091319321812, 0.037338671552597624, 0.04297217429881828, 0.03693287708508641, 0.02957179302671009, 0.03670081890845156, 0.04111428304874676]"
3,"[0.0386659792957581, 0.03390290879209479, 0.039245086156726505, 0.036112070830841336, 0.034506836528054974, 0.04278551099042005, 0.03839697468923864, 0.03827802702968286, 0.04335223477094707, 0.03976888971726422]"
4,"[0.035788923889540136, 0.03816023916772726, 0.039014767971719544, 0.0373123670507316, 0.04216049053267046, 0.0366104391808324, 0.040015965624315086, 0.03839023004125164, 0.041321601795372254, 0.03647772612151734]"
5,"[0.03848118075003726, 0.041618504147961644, 0.03906942492879251, 0.03613870041694678, 0.04048566041534751, 0.03610077969968828, 0.03559598190840052, 0.03737182947191153, 0.039262707696279264, 0.04087393665875261]"
6,"[0.03645672902766539, 0.0412924767796502, 0.039016783424072, 0.04223947779604709, 0.03823901866044155, 0.034396572741488884, 0.04136697700520808, 0.03800637995476974, 0.03304318456347144, 0.04094825276087266]"
7,"[0.035349128736333224, 0.038188945224595816, 0.044842310552288156, 0.035629689656083596, 0.04203250640601752, 0.03757319555059313, 0.043012002539703276, 0.03815632137222513, 0.03541197334762525, 0.03486846691494849]"
8,"[0.03865512716405828, 0.03716305085386307, 0.03638614425341058, 0.038333140893215156, 0.03709325616686776, 0.03879794361581268, 0.03857985986560042, 0.039321165275625236, 0.04350267445628009, 0.03722073450120189]"
9,"[0.038824563825496705, 0.038179517124207085, 0.04123076314734997, 0.03353308336259342, 0.03503287358116869, 0.046257558652466724, 0.03660754010057077, 0.0351013768470263, 0.03470974691897155, 0.045447945690174296]"
10,"[0.034108115242724835, 0.03783387935536009, 0.040197959897350644, 0.03652869473981668, 0.037428602185931914, 0.04023215293620275, 0.0399661701763151, 0.037610937916312204, 0.04123616544456299, 0.03968197912485294]"
11,"[0.038217115669041846, 0.03446824971679374, 0.038790643408623926, 0.036125446510860804, 0.03647654848453652, 0.03407958783248566, 0.03978926826685292, 0.042083641037347075, 0.043008554720918246, 0.04200744747177043]"
12,"[0.0393042139579417, 0.03824255950794453, 0.03928897532930542, 0.04006772086718602, 0.03870281758208771, 0.04095364737851903, 0.03764403457868515, 0.040373700451348804, 0.03646864060329258, 0.034262415202266916]"
13,"[0.03998886216699282, 0.03636952066308807, 0.035621784938870804, 0.04587948139829445, 0.03920758963163473, 0.03331378382039496, 0.03845557460917859, 0.04119788900930088, 0.04008492533007024, 0.034754421712422934]"
14,"[0.04275308452084481, 0.03817465304132839, 0.03798545609718951, 0.03878650092156999, 0.036688184593607454, 0.03921329630720283, 0.03986061672469843, 0.038802309356667286, 0.040254049372623335, 0.032723475133891844]"
15,"[0.04238735777203517, 0.04030969103955795, 0.041678171365049366, 0.03928346482063183, 0.03400115637967083, 0.03636146329513579, 0.03274986276629532, 0.03940366762120795, 0.039219535906172553, 0.03977569992233343]"
16,"[0.03700137979196949, 0.037005107506412616, 0.03435465655580827, 0.03967874119490389, 0.04507767763913095, 0.03558495504683434, 0.03807714795131556, 0.04142806335174121, 0.03625680885761695, 0.040411607923706794]"
17,"[0.04144442978440277, 0.038918037115335924, 0.038737528285157086, 0.03853281428560096, 0.03637557828160243, 0.039946879256895995, 0.03669188793678124, 0.03899672528892284, 0.03495763609861313, 0.04075084135485518]"
18,"[0.04115778059536823, 0.03465489422959789, 0.04193927441399137, 0.04253006220660838, 0.03234230243100611, 0.04369403478542577, 0.03468039024432479, 0.037698149084209764, 0.03546163558767301, 0.04079975543595726]"
19,"[0.036737213193994256, 0.03640354853645733, 0.037840663728626045, 0.03440502527120426, 0.04462907459569421, 0.03605906366246958, 0.04072435063063218, 0.0421273719568378, 0.03982162644053833, 0.036535809263357866]"
20,"[0.0362918619357957, 0.036809399993805836, 0.04231744101770951, 0.040620216654110086, 0.04033584723046313, 0.032615539150488204, 0.04238822860173452, 0.03672912985098209, 0.0397392754318584, 0.037333111013746256]"
21,"[0.042908545505339624, 0.04280400685301622, 0.03802675825799684, 0.03505806560869473, 0.036559692585291015, 0.036223234051122155, 0.03446207901299614, 0.038351439857261305, 0.039678403580211796, 0.04126457030253883]"
22,"[0.0452718745615216, 0.03929985200103847, 0.038785836270538776, 0.035675327176879934, 0.04149486648731526, 0.03604222691141934, 0.03511167902881418, 0.03553400147040575, 0.039816159209036805, 0.03778948845959962]"
23,"[0.0363847470292884, 0.034701337452567205, 0.037729698163762704, 0.03863150984571173, 0.033738418307724616, 0.039332294953995484, 0.04142614707024683, 0.03674035985607094, 0.04493385153644858, 0.041158788708465344]"
24,"[0.03988320948655233, 0.036171659407252754, 0.038864252906742336, 0.04011521445004018, 0.03693565088188666, 0.039833770768473165, 0.03855594555698627, 0.03753410696925785, 0.037035917435858434, 0.04008631674421581]"
25,"[0.040201494070681965, 0.0351429036367249, 0.038216349691928886, 0.03420625888139117, 0.03870423461123318, 0.03950349872343084, 0.04220482594498942, 0.04122051293834472, 0.03556466388884216, 0.039891678002366926]"
26,"[0.03934359800783538, 0.04057980175795195, 0.0404115142286261, 0.0387001414004392, 0.036114067819107754, 0.036233233284111876, 0.03894669183553512, 0.03411475961250576, 0.04079402364878115, 0.039677434620705276]"
27,"[0.03894903436941777, 0.03799339713073957, 0.03647496891322011, 0.03550830588178777, 0.03991624908337521, 0.0355742280223289, 0.036237321324664507, 0.0447991377451189, 0.0415920820817548, 0.0382355447578836]"
28,"[0.03822893126414906, 0.0432660364271239, 0.037527417041939404, 0.03908003658146619, 0.037502795618921225, 0.03981418965403216, 0.03823112412372853, 0.03886960569836739, 0.036713897267827145, 0.03593323654837377]"
29,"[0.04455071168654068, 0.03855792249565526, 0.040814982710882575, 0.03464072529324469, 0.03746106264492166, 0.03927023176798472, 0.038775754874866175, 0.03228919218394233, 0.03788825747553948, 0.04087967738473053]"
