,roc_auc
58,"[0.7574295717309885, 0.7158385093167702, 0.7276327726987228, 0.7233153921431567, 0.6987190689221305]"
59,"[0.7146084862865517, 0.7314769581501384, 0.7288773350082584, 0.7138554918682137, 0.729294818025071]"
60,"[0.7215320910973084, 0.7385430478982018, 0.6896183729964874, 0.7178835220653339, 0.7510543361759633]"
61,"[0.7291826598739154, 0.7184643031614208, 0.720482355130621, 0.7190106715131179, 0.7273172095624214]"
62,"[0.750697885407216, 0.7195634726777863, 0.7339108335078046, 0.7293093806794352, 0.68874656321357]"
63,"[0.7246958382766885, 0.721418684718636, 0.7127794449484728, 0.7260065706696491, 0.7364771191574631]"
64,"[0.7503111405773837, 0.6753786028334147, 0.7134744224998255, 0.7319714338971993, 0.7518407195116269]"
65,"[0.7192552399562658, 0.7220031637471793, 0.7302701979668271, 0.7346305745840906, 0.7117351693927956]"
66,"[0.7291332263242376, 0.7378189917882151, 0.6853845348593761, 0.7452409245538003, 0.7219989281886388]"
67,"[0.7227214041454394, 0.7476126503361481, 0.7130789541024031, 0.7052722633859919, 0.7287326995666153]"
68,"[0.7006013445925513, 0.7355886663409867, 0.7469990927489705, 0.7221707675101355, 0.7140389813132019]"
69,"[0.7568974341079862, 0.7161002163444764, 0.7036691325284388, 0.7133283237802321, 0.7249988349876508]"
70,"[0.7201653988415103, 0.7016423569916487, 0.7580431293181659, 0.7204727620112773, 0.7169107367538096]"
71,"[0.7385750343126991, 0.7296130225416987, 0.7266848116872543, 0.7093614567314415, 0.7110973251316464]"
72,"[0.7123287272896457, 0.739176960476423, 0.7286766929536836, 0.7221299920779161, 0.7148341022414837]"
73,"[0.7242073184916371, 0.7116977225672877, 0.7349547537627654, 0.7380615359522812, 0.7080420802460505]"
74,"[0.7174988950147719, 0.720287528787773, 0.7582524949403306, 0.7180903117573048, 0.7072556969103873]"
75,"[0.7268912694535556, 0.7513172587061205, 0.7280485960871892, 0.7086944871615639, 0.7064518383894869]"
76,"[0.7037447367808872, 0.725710679973015, 0.7474817968222951, 0.7206533389253925, 0.7212707954704319]"
77,"[0.7272925535627051, 0.7316950473398934, 0.7226341684695372, 0.7256192040635631, 0.7117060440840672]"
78,"[0.697274757484821, 0.7554289668969688, 0.7017005141089169, 0.747521436227224, 0.7181543874365068]"
79,"[0.7050474562076907, 0.7425064554400169, 0.7196245376509176, 0.7144875110676174, 0.7290210401230254]"
80,"[0.7284556959080654, 0.7328698211087072, 0.7197495754530441, 0.7225115336222564, 0.7153612703294655]"
81,"[0.719342475632168, 0.7090544815874567, 0.7272169493102566, 0.7120264224800782, 0.7487709119716669]"
82,"[0.725789192081327, 0.7225614720729524, 0.7249430060250774, 0.7215853488046974, 0.7281589309846684]"
83,"[0.7271209900667643, 0.7227155884337124, 0.7248325075022681, 0.7215503984342234, 0.7239998368982711]"
84,"[0.706044850768837, 0.7393921418103148, 0.7375078512108311, 0.7304277925346009, 0.7064198005498857]"
85,"[0.7488194105194593, 0.699292809454021, 0.7308255984367367, 0.7268803299314972, 0.707937229134629]"
86,"[0.7075133179798542, 0.7313955381859633, 0.7418958057087026, 0.7044188918402535, 0.731822894822685]"
87,"[0.7255827343150256, 0.7354083792774561, 0.7234251052643823, 0.7155709725523091, 0.7142166456964443]"
88,"[0.7325586805313233, 0.6922906925349523, 0.7242218577709542, 0.7188796076238408, 0.7556240971154293]"
89,"[0.7149545211342963, 0.7484879149510317, 0.7365279037848652, 0.7145603243394381, 0.7065596020317815]"
90,"[0.7463273780445252, 0.7275048270407333, 0.7622798753111406, 0.6997471923202387, 0.6849427978936578]"
91,"[0.7243498034289436, 0.710944587898667, 0.7453416149068325, 0.7414546344191248, 0.6985676173167437]"
92,"[0.7078041035661945, 0.7379847395724289, 0.7100111661665155, 0.72759389999534, 0.739412950277273]"
93,"[0.7013864656756694, 0.73601030544118, 0.7278450461767512, 0.7116681811827206, 0.7416468614567315]"
94,"[0.7348907809337707, 0.7194413427315234, 0.722762114127527, 0.7198174425648912, 0.7262861736334405]"
95,"[0.748098262265336, 0.7158821271547211, 0.7197641147323609, 0.7006326017055781, 0.7354082203271355]"
96,"[0.7216920231697955, 0.7097523669946729, 0.7088044059832042, 0.7288725010485112, 0.7462806980753995]"
97,"[0.7335037336869286, 0.7208807313839067, 0.7277665340684393, 0.685327251968871, 0.7452846125168927]"
98,"[0.7298282038755902, 0.7164346197687673, 0.7392554725847349, 0.6922328626683443, 0.7379712474952235]"
99,"[0.7104560681136158, 0.7265277874706306, 0.716295042687324, 0.7638694720164034, 0.6989957593550491]"
100,"[0.7212500290785586, 0.7146084862865517, 0.7079291413683207, 0.7686343725243486, 0.7082430448762758]"
101,"[0.7236170237513667, 0.7505844790285436, 0.7142391885918997, 0.7084964350622117, 0.728266694626963]"
102,"[0.7282666852769443, 0.7183683439179287, 0.7316805080605765, 0.7314180530313621, 0.7098769746959318]"
103,"[0.7540012096680391, 0.6834449949984879, 0.7096564077511806, 0.7408896034297964, 0.7198232676266371]"
104,"[0.7042274408542117, 0.7139484030055598, 0.7520791169423315, 0.7225668717088402, 0.7234930565263993]"
105,"[0.7348268081047757, 0.7417882150417567, 0.7228028241096145, 0.6945279369961321, 0.7292161796915048]"
106,"[0.746725754297811, 0.6951142205783144, 0.7603548747295694, 0.7108701477235658, 0.7060499091290368]"
107,"[0.7088276688301114, 0.7721491381115221, 0.7123810686951869, 0.7276958385758889, 0.6949939419357845]"
108,"[0.7259374927303602, 0.7325325098285529, 0.7279788075464676, 0.7151224427978937, 0.7095274709911925]"
109,"[0.7339660827692093, 0.7184032381882894, 0.7170132830855842, 0.7262453982012209, 0.7254473647420662]"
110,"[0.7262166468932468, 0.7293658547933096, 0.725187265917603, 0.7124079640244186, 0.7272356586979822]"
111,"[0.7371705399306768, 0.7320294507641845, 0.724867401772629, 0.7326704413066778, 0.686570902651568]"
112,"[0.7111888477911927, 0.7838329029706655, 0.6985367669295368, 0.721559136026842, 0.707209096416422]"
113,"[0.7084118454416451, 0.7268040337776536, 0.7542861795426525, 0.7456399412833776, 0.6871534088261336]"
114,"[0.7400987507851211, 0.7229714797496917, 0.7160885849210228, 0.7495951582086771, 0.6928211939046555]"
