,r2
30,"[0.17425369157167847, 0.17870594639117843, 0.0801430265346863, 0.16504569311790962, 0.10361195230118059, 0.15794471833158286, 0.19627829723668155, 0.18616441490078783, 0.17445158024606255, 0.12583939835385038]"
31,"[0.1275267404119037, 0.20078836123359045, 0.20086102731816513, 0.14533279894271678, 0.13182351384534563, 0.133004813474198, 0.14529400698423123, 0.11286063194321772, 0.19109675772434975, 0.1297637169599294]"
32,"[0.12504420186796417, 0.14614865427420742, 0.16330563090529115, 0.22714010993358413, 0.07468996073318201, 0.14718461944253325, 0.17573404278143245, 0.15524393787821444, 0.15064552587523106, 0.16630330415537786]"
33,"[0.1258088292289612, 0.1410051995259498, 0.1844129900356195, 0.19881061975284453, 0.16107910648899848, 0.13064277795308854, 0.16126909510037568, 0.09599545201073845, 0.14632160676466055, 0.18082710124365053]"
34,"[0.20651558474889686, 0.160487968582381, 0.14852057780761352, 0.1499499047764642, 0.16467996182780564, 0.09492683154812986, 0.1681199473161923, 0.15048563975324447, 0.16641325350189462, 0.11697471379251467]"
35,"[0.1968269957610762, 0.1224196809389747, 0.14944433124374157, 0.20547018512098747, 0.18169199684032367, 0.16680865562757807, 0.12124008105955109, 0.13699713598856322, 0.11357332162925071, 0.1370549154954288]"
36,"[0.15767567347808253, 0.17831581399110308, 0.16684727530189758, 0.11060318654280143, 0.16541591826054858, 0.1465579638215252, 0.11242651653602032, 0.1530230604511258, 0.16897821860507334, 0.15758412275160805]"
37,"[0.18343786785590077, 0.1684537392520189, 0.14878788903473783, 0.15404516234955934, 0.16883549646992535, 0.14741656718820217, 0.11771495917370689, 0.16636403858235793, 0.08968020639161334, 0.19123937022532134]"
38,"[0.12212149208707235, 0.1786664450305716, 0.20377573367273172, 0.16011341070382767, 0.16439008672891875, 0.1772554998208109, 0.1252791487481002, 0.10184567349958007, 0.1740117817037259, 0.13353810106554864]"
39,"[0.10242496960405434, 0.11179268017553956, 0.20261862920116958, 0.18720355755219154, 0.1246095361411993, 0.1500485055516858, 0.1648838485081241, 0.12223447370597085, 0.18270065294162185, 0.19592297746783882]"
40,"[0.1384586801458747, 0.19938849744641796, 0.16532070752095163, 0.18267595423204142, 0.11082269935219846, 0.1600121305232961, 0.14485719821952592, 0.1010409539993482, 0.22836356554069626, 0.10259447179885473]"
41,"[0.13177322011966386, 0.20521355717529743, 0.15443479650371983, 0.17751136889440622, 0.13260269335446595, 0.1496728771128799, 0.12698942183051531, 0.1843683587070326, 0.1968625863402469, 0.08087912240302231]"
42,"[0.19030276920572897, 0.18418552120774656, 0.1837053272265734, 0.09771836824131108, 0.19700265370409586, 0.14984704643096702, 0.10268560974814023, 0.15246541696560711, 0.12691131725384563, 0.1622277925281177]"
43,"[0.1498143778559684, 0.11387805084374991, 0.12495859841085477, 0.13854553164166483, 0.1699287746659779, 0.16932676784174427, 0.1764778136925308, 0.19067304741915925, 0.1912757910622226, 0.10793672896436945]"
44,"[0.162798909856121, 0.18460272224231156, 0.1414453753461602, 0.15798557508682032, 0.13738314891147574, 0.1720784000932899, 0.1012134276490898, 0.20751003320544237, 0.15588968957643512, 0.11616778645280879]"
45,"[0.1752325020046709, 0.20868251401160287, 0.15983879931145895, 0.1001627943628689, 0.14461415968429225, 0.12714863757876638, 0.20460128100094244, 0.10576284917536904, 0.16604837843522036, 0.13414095294951112]"
46,"[0.1341596506653554, 0.10537177919283502, 0.14677255717180682, 0.14690421667833253, 0.2252225861757996, 0.15909757771641675, 0.16679124918678045, 0.18259835250925405, 0.13941316925068992, 0.13104261959817898]"
47,"[0.19880799636634672, 0.21831136369159299, 0.11730515941197417, 0.13470622367578267, 0.15295605506730958, 0.1184452800460406, 0.15598865082339852, 0.1019434543978649, 0.16424270403278385, 0.15852159303952373]"
48,"[0.19713855966349914, 0.14327343140360382, 0.12489305469404799, 0.12769747861060565, 0.13107154781420105, 0.17213543543498322, 0.14188279826211747, 0.17197601127444695, 0.21625131515906448, 0.11698921684961461]"
49,"[0.17786427025873097, 0.21968444715434365, 0.16061764146877022, 0.14343888226902946, 0.1497531442392004, 0.06306359212387458, 0.12432588560563806, 0.22824410982162058, 0.10683225061857915, 0.15411771396827778]"
50,"[0.08619902604218421, 0.1933391310075918, 0.13743507809953381, 0.1746250325093437, 0.20689517532160207, 0.12333204099327466, 0.16999277837087823, 0.20093087479114835, 0.09663689502262707, 0.11119627930853082]"
51,"[0.15892135956465403, 0.14010439548822906, 0.12939736555436943, 0.10720768556480409, 0.09483905316618257, 0.19749348422201474, 0.22108923822658433, 0.19423721225557244, 0.11789493454011368, 0.17021294232808615]"
52,"[0.16747153655051972, 0.19382033618168737, 0.15488773159924452, 0.11007680488958738, 0.1288233168380004, 0.1770588533147539, 0.12681057111460003, 0.19959045250071827, 0.1430378251705302, 0.12888640790179684]"
