,r2
58,"[0.03442636297193413, 0.03177644991644468, 0.03322948621262356, 0.031098301153354657, 0.030950456285640082]"
59,"[0.03202616028255889, 0.02756167978576818, 0.0380886935148983, 0.03312272416200368, 0.03076181171994663]"
60,"[0.03366999241994029, 0.03159456247658554, 0.0325413868829032, 0.03083841887060812, 0.0330276713224652]"
61,"[0.03247289705113876, 0.033625200039765324, 0.0316558193204064, 0.03253263336379619, 0.03124947400254785]"
62,"[0.031519649203052946, 0.033581656258286574, 0.030139394935273955, 0.03352359847246156, 0.032777446882388483]"
63,"[0.03356492577524728, 0.034732649461535314, 0.03029558694955614, 0.0315824729719264, 0.031444442166305264]"
64,"[0.033023039341675164, 0.02878799616498562, 0.03226055086784818, 0.03441351533919479, 0.0331039171770412]"
65,"[0.03131474510915855, 0.031107227919870528, 0.03421952380277582, 0.034372740167488924, 0.030324920420575108]"
66,"[0.03125980271695128, 0.031665217802869794, 0.03320106248460819, 0.03718968816021129, 0.027839637685621144]"
67,"[0.028420365994792807, 0.03401959229646545, 0.03311299931442946, 0.034887951746906176, 0.031251593302090264]"
68,"[0.03015355490828897, 0.03299635761244091, 0.03443498513809795, 0.03050539821069076, 0.03329217441392851]"
69,"[0.03119849193747537, 0.03237596860674996, 0.03466382976172577, 0.03214234615237854, 0.03137180771359627]"
70,"[0.0315535481018836, 0.03169158926493287, 0.033247759940837174, 0.032122992813548246, 0.03312574832835469]"
71,"[0.03369535401518842, 0.0344187033350678, 0.03047473491820285, 0.03352476881802002, 0.029339918915610497]"
72,"[0.03482947757548305, 0.03267053449997326, 0.030932775273902702, 0.03315537165857663, 0.030006974267153597]"
73,"[0.033352761623695715, 0.03233729779841954, 0.031479650040801554, 0.029959599110011892, 0.03426148509901039]"
74,"[0.032006459518433505, 0.02963645594809461, 0.030874712493739853, 0.03351135872591626, 0.03540324355345914]"
75,"[0.031202800538712272, 0.029864467046820997, 0.03084560961236882, 0.03368056882278392, 0.035978770106698144]"
76,"[0.034472571372812566, 0.03283164242364378, 0.031382073913677866, 0.028822015565506787, 0.033847563135854464]"
77,"[0.03636365607004344, 0.03019972451850972, 0.02977287070096135, 0.028842495910622268, 0.03599711949418938]"
78,"[0.0316603520067541, 0.0360255293707572, 0.03102308715328883, 0.03164885214130997, 0.031156508948228634]"
79,"[0.03285773796753144, 0.030939523993288365, 0.030893994659346724, 0.03197114205842633, 0.03482841743696552]"
80,"[0.03220891160014194, 0.03605461885819339, 0.03192109785974662, 0.0311944047310877, 0.030255344777307513]"
81,"[0.03328826061418877, 0.03178439502564823, 0.030381965982098302, 0.03459808266092723, 0.03148894126672419]"
82,"[0.0319168680717733, 0.033777801765473514, 0.030520879470357754, 0.03290879216818743, 0.03239825935414509]"
83,"[0.03363446931072833, 0.03383309209475749, 0.030525927898628846, 0.03263859064673813, 0.031037073265501203]"
84,"[0.03282315266574587, 0.02766770325115897, 0.033932294755659176, 0.031538493036537885, 0.03549519794860834]"
85,"[0.033767305603786824, 0.03216275716917505, 0.03288333984208003, 0.02846673306712566, 0.03418211738799892]"
86,"[0.02789423443926997, 0.033165254180206105, 0.03149687544782509, 0.033729363639185106, 0.03504479738462474]"
87,"[0.034338488171863024, 0.03174243472063287, 0.03246290035615085, 0.028118653288894846, 0.03472437431957198]"
88,"[0.029397274087731184, 0.03402209318095728, 0.03269681492638421, 0.03324029258372985, 0.03221510183275422]"
89,"[0.03108805158228256, 0.03176083919531525, 0.03418429556445435, 0.030893511762425385, 0.033661846480725566]"
90,"[0.0339610108544488, 0.034521280610640304, 0.030610007906920034, 0.03431595103731222, 0.028298546957060022]"
91,"[0.03350501889819446, 0.030478306219353213, 0.032792009749786244, 0.030598494977934876, 0.034250746709817315]"
92,"[0.03202541804351444, 0.03189548826223465, 0.034177199884913745, 0.03107130170471717, 0.03242311426342004]"
93,"[0.033940768728397686, 0.0344437330716012, 0.03376365782275148, 0.028802187663223622, 0.030334518545229505]"
94,"[0.034362912109725974, 0.028484793895824145, 0.03384591788408786, 0.03300770724451407, 0.031866780930949856]"
95,"[0.03028629819731421, 0.036781351709448074, 0.031143964267319246, 0.03058211144182843, 0.03278221263629688]"
96,"[0.03309053500027892, 0.033886584113431484, 0.0278805240128982, 0.033089113679180326, 0.03357646336676445]"
97,"[0.03159429728866581, 0.031623807830838624, 0.02820816970632456, 0.03391626921493751, 0.03608659463393271]"
98,"[0.03305215920627125, 0.03522819211088635, 0.027631090998732843, 0.03300371182716333, 0.03272375680625561]"
99,"[0.03637682613772597, 0.02899426389061943, 0.03087308528603705, 0.030021361591179185, 0.03536353891481692]"
100,"[0.03606273820852579, 0.03339378249339753, 0.02985347020184892, 0.032307160222385334, 0.029663154408756]"
101,"[0.03231732318243952, 0.034021863851669054, 0.03046478402699626, 0.03270299782195307, 0.03206155167767655]"
102,"[0.033613492479949714, 0.03580163805908043, 0.0288515039603624, 0.03267047890250818, 0.030611014241902046]"
103,"[0.03703929965207298, 0.03179014813336711, 0.028340378105561226, 0.03226279648955155, 0.03196636400978925]"
104,"[0.03220129270143113, 0.03215582375931192, 0.03321493341576642, 0.03338563064930811, 0.030647926546271576]"
105,"[0.029740035031144973, 0.03479780661793963, 0.03443477755016422, 0.030611533096884358, 0.031906432132944196]"
106,"[0.03196724759908387, 0.03380500397447983, 0.030093790608326065, 0.03271329797230027, 0.03292499001928828]"
107,"[0.033036227336037505, 0.03367658512388394, 0.02885235876919745, 0.034711294313287344, 0.03121468647339043]"
108,"[0.03281984004798133, 0.033303659532331054, 0.03268839177748306, 0.03158837805355019, 0.03118059166519971]"
109,"[0.033195576597105925, 0.02947828337732572, 0.029778038982855692, 0.03479580124454762, 0.03414226957309063]"
110,"[0.03141586322772483, 0.031357607070962024, 0.031290592202547374, 0.033333652024724714, 0.03428174651062188]"
111,"[0.029032425653686467, 0.03403195933175407, 0.030213990855361694, 0.032608044538323555, 0.03555925305331287]"
112,"[0.030468516979648252, 0.031164692678439798, 0.033337305287536534, 0.03368103541487266, 0.032996273801100484]"
113,"[0.032705081793778956, 0.03301534222141389, 0.032790267586775945, 0.030577172160889732, 0.03262244236441425]"
114,"[0.03330847318264085, 0.03337291119228636, 0.030180805506252018, 0.03404498549635304, 0.0306090250217097]"
115,"[0.028575899690874818, 0.031924902781842346, 0.03276903101575401, 0.034730164950859566, 0.033430040928778326]"
116,"[0.032449431996520395, 0.03163458474833558, 0.03300848189606975, 0.03375153767050132, 0.0305892638918136]"
117,"[0.03199744014961081, 0.03446480307606181, 0.03081811056453021, 0.03198354968145789, 0.03236158566155023]"
118,"[0.03419963002833337, 0.031111226192424124, 0.03144018168579321, 0.0325981261955417, 0.032364050284691026]"
119,"[0.0328657814839628, 0.03350199255460451, 0.032180053609066506, 0.03122646937576601, 0.031880904440290014]"
120,"[0.032674735457657755, 0.03376500395972215, 0.03010720736950323, 0.031189491963807048, 0.03385443352076245]"
121,"[0.03220859276417809, 0.03675541715016262, 0.03254720596256555, 0.031046803003559886, 0.028968694973092735]"
122,"[0.029400462812097183, 0.030919257494555707, 0.03576432639683835, 0.03142414276920924, 0.03423380184430036]"
123,"[0.031630078926887406, 0.03554087039353926, 0.030277058038996385, 0.03149654495244847, 0.03269646664715842]"
124,"[0.03388383059866029, 0.034753754021109806, 0.028287038232407524, 0.03552510162956479, 0.02902811585181031]"
125,"[0.03135164032409987, 0.032869327631785406, 0.03358344114705247, 0.03155516940513159, 0.03238695610144249]"
126,"[0.029729904662256224, 0.03344079022002233, 0.033911567021103206, 0.03402834628522389, 0.03058317070259642]"
127,"[0.03633905857582009, 0.029129588882088164, 0.03336228939069741, 0.03255943387113969, 0.03026082411987363]"
128,"[0.03321933978758573, 0.032351114346808485, 0.0317559723871913, 0.033162314247298985, 0.031249996568213034]"
129,"[0.030839150775004875, 0.03535410914977399, 0.031132788824095203, 0.029704213578735983, 0.034493995600284544]"
130,"[0.03717990538548532, 0.027401776855123572, 0.03242501969214273, 0.030054243852311924, 0.034199815776668196]"
131,"[0.030525780700775162, 0.034051797921751836, 0.03324365772129423, 0.03270334685608556, 0.03078999854999287]"
132,"[0.03578591544156895, 0.03134324733549754, 0.032240056821369545, 0.030856388421587666, 0.03128081284521622]"
133,"[0.030486774289720575, 0.03141537987173215, 0.033282433748447304, 0.03481076045423159, 0.0317108693670165]"
134,"[0.0339645116931615, 0.03037998593032043, 0.032170212956091127, 0.029979494035426324, 0.035085054648611]"
135,"[0.03151809970458341, 0.030843393845924494, 0.029414356272846165, 0.033911340031737014, 0.03591634684065581]"
136,"[0.029858390467234375, 0.03630127858172505, 0.03157402938751708, 0.03195991525386488, 0.031913246095848224]"
137,"[0.027558625446485574, 0.03421704573930329, 0.03133728464886987, 0.033275653716809406, 0.03503946302234329]"
138,"[0.03356045532778995, 0.031082621117179632, 0.028637502290940753, 0.032103755054529226, 0.03616257692068259]"
