,r2
30,"[0.18170588157539858, 0.21284167670192866, 0.18022620809793355, 0.18597364774786462, 0.19844240307031857, 0.14622689945300915, 0.1723239336372061, 0.17339680013454106, 0.14324664813950683, 0.13118523353934808]"
31,"[0.13222881559495958, 0.15816603865215595, 0.17430531942176464, 0.20719511114656197, 0.17071576311954983, 0.15240810769920632, 0.15903324413400644, 0.18478049477139413, 0.19256234708702546, 0.2079152132544536]"
32,"[0.16267243067632597, 0.23155767466225252, 0.1739516000188992, 0.15382907774989696, 0.19970198959495122, 0.1615041125426221, 0.1301737310600457, 0.20124001224490495, 0.15156409474309906, 0.16107786822109826]"
33,"[0.13538859804226855, 0.13063955127581284, 0.15056488310076643, 0.17096891806615244, 0.21560192079723794, 0.21092462583036664, 0.16921731841856968, 0.2416061008174608, 0.10827441970422869, 0.20255735960131172]"
34,"[0.18372926574456805, 0.15206293520785108, 0.2078826482883247, 0.12335522163617041, 0.20289779587001755, 0.17071517105659173, 0.1303343331193959, 0.1960685616643959, 0.21006703157574969, 0.1612146016883249]"
35,"[0.12941134680742794, 0.18997479549046759, 0.1907362202898173, 0.18654387566455666, 0.16509996517808778, 0.23480273422543962, 0.0669536980646297, 0.21363064392992426, 0.1845105951346444, 0.15699086139008622]"
36,"[0.14742931128863612, 0.2323378696239463, 0.1145134219252889, 0.24651395002801924, 0.18246563312282282, 0.12474424946710594, 0.1853492064755412, 0.10861067613739339, 0.1612841794776586, 0.21174068076803365]"
37,"[0.13315446538460352, 0.2089325581443615, 0.2225291974550545, 0.14433854019268721, 0.1390564848746476, 0.12720567130850013, 0.21694707919808387, 0.1965773913241009, 0.16650056905728228, 0.1783147551423776]"
38,"[0.137593461219215, 0.14341807660780892, 0.1525401459773067, 0.22611521197452056, 0.22195782668917352, 0.2535689081102035, 0.09205017173774444, 0.2001871767486494, 0.1342702076117479, 0.15832068036272262]"
39,"[0.19338068001541975, 0.14412303022225126, 0.15195732341574453, 0.10986287352414048, 0.1545897813726056, 0.25441725496616907, 0.18617380529706073, 0.19483748936169998, 0.15733816750994356, 0.17806090439085398]"
40,"[0.10827656055097157, 0.17970067980673543, 0.2347728448656895, 0.22212692498021036, 0.16682043261405832, 0.10895156562850505, 0.14595711491697705, 0.20303535974899545, 0.21740993084844928, 0.1384269561539011]"
41,"[0.185119830053183, 0.14611289349288892, 0.15031280328095054, 0.15239790960000776, 0.17740899403987098, 0.18784887534016914, 0.1818955156782196, 0.17893205472436757, 0.22504480828853568, 0.14223325479219495]"
42,"[0.18172901531301855, 0.14605369495648102, 0.18479243562472758, 0.21554151139940092, 0.19304948278311884, 0.1439320653730246, 0.16020890551752665, 0.17064260683688137, 0.12788637255098334, 0.20473991509437584]"
43,"[0.1256245217956249, 0.2006139887375129, 0.12820881317602706, 0.1938718836170803, 0.16628911635234633, 0.18140775954416455, 0.14641587149339608, 0.2007158298971803, 0.1582736373016922, 0.2308719574774467]"
44,"[0.1869123326805049, 0.15429362383481393, 0.16377565955591133, 0.11960293172006653, 0.18250469523283586, 0.16204412023743353, 0.1948672885058389, 0.16744875715332308, 0.1889392095197846, 0.20744525464835617]"
45,"[0.1620890110370633, 0.1591245071453189, 0.2270425396784056, 0.19365911532091218, 0.14390059123504073, 0.21631656231294827, 0.18301824946652223, 0.15875663085403102, 0.19988905076957864, 0.08455660222262296]"
46,"[0.18209624597493446, 0.13530419747835065, 0.20297712333453755, 0.22338142288726026, 0.12699277107115592, 0.2097707150934789, 0.14332718363603203, 0.1595049720931636, 0.15836482201142366, 0.18377181532018616]"
47,"[0.18923182314876774, 0.1215458440547944, 0.21687839540550702, 0.10740541454085095, 0.1633001110088007, 0.10710638635617986, 0.21531537505239207, 0.213855277434448, 0.20957772761778026, 0.1886439272695669]"
48,"[0.20214844091468231, 0.1531906454798898, 0.19029942705457226, 0.15692396536803876, 0.16645831657144783, 0.2211019558555154, 0.16288284194544034, 0.16625535254087798, 0.14197786281519587, 0.17416839639150794]"
49,"[0.1293478754558025, 0.1679311952124336, 0.16029560241919283, 0.15050052842364137, 0.152595424217998, 0.22502770132501382, 0.2057594558798449, 0.17837672694030393, 0.1882333489796707, 0.16599658567695819]"
50,"[0.14993375399991293, 0.10058958767846538, 0.2496303813371934, 0.18483833563720575, 0.11344909313808715, 0.1919912812644854, 0.18659947952802924, 0.09019269837695221, 0.24457620381556167, 0.21009927507600956]"
