,imv
30,"[0.1204506479340628, 0.11277356970107928, 0.05524037710669042, 0.11539630622803355, 0.07872265391278044, 0.13781752028713093, 0.12569449310699693, 0.116563230699662, 0.13034314586377108, 0.09908428691702302]"
31,"[0.12344435357945746, 0.12158088891281851, 0.16147747317444897, 0.10476679510917397, 0.08071205384082444, 0.11995804534891148, 0.08417004366840401, 0.09484934339074139, 0.11744494159662917, 0.1032471786446649]"
32,"[0.09006235555396183, 0.09911759100667833, 0.10534303861582743, 0.13130062473705562, 0.05397318923995428, 0.09000585474051452, 0.1425231143590734, 0.11767989127061779, 0.1670989536713172, 0.11284269997421435]"
33,"[0.07993952428243671, 0.1010406069354428, 0.1368207340661649, 0.159912616032131, 0.12488191075056171, 0.10792072098248136, 0.1381235051181662, 0.06662764859348592, 0.09855795487232975, 0.10088419313140141]"
34,"[0.12039901244922549, 0.1277780739017192, 0.12194825107385256, 0.11662120947474598, 0.14581653775604222, 0.06259679335221925, 0.1359997088435756, 0.09668956629450048, 0.10627924489798153, 0.083055449308202]"
35,"[0.11629975111563695, 0.07809281903662242, 0.13780945028178235, 0.11307979349480797, 0.15545439092109573, 0.10195004269958084, 0.11541126803417327, 0.09059665149805933, 0.08300518614311866, 0.12422671463014973]"
36,"[0.1362186874403987, 0.11938470474850388, 0.09574825925377063, 0.13700621366946478, 0.12410777753173988, 0.11633464501444625, 0.06995898362192915, 0.1085315585770611, 0.10288697545304883, 0.120290201324834]"
37,"[0.11695461009013439, 0.17104715712285204, 0.11274174310936132, 0.09684003245906467, 0.10386801511470675, 0.09170880542026694, 0.09674631690297227, 0.11863099595195908, 0.07122516811334849, 0.12774513057077277]"
38,"[0.08106047414895165, 0.12614274646632923, 0.15312985129030823, 0.11210962132654372, 0.1107221595174857, 0.12133999400090295, 0.0974105733858028, 0.07834708657362242, 0.11324402904085902, 0.09533601807781854]"
39,"[0.07786921187005082, 0.08729195885156547, 0.13617186683836258, 0.1496707468974509, 0.08707638154366378, 0.1287651410207301, 0.10404117225826214, 0.08133296662981379, 0.1269751248465214, 0.11377666522281436]"
40,"[0.09578756968216945, 0.1476011708873335, 0.10091109291085652, 0.16687964449386353, 0.10074689016450271, 0.1111902835663338, 0.09909935777633502, 0.0766850303742246, 0.12600000193609484, 0.06921762822118555]"
41,"[0.10125526829067609, 0.15476538571651757, 0.09651477765742889, 0.12065785276779506, 0.0977912506319165, 0.10201788706029198, 0.08663504710182614, 0.14847659329855126, 0.12335396484466699, 0.06166831180767964]"
42,"[0.1313313604300316, 0.11120446721816546, 0.14204517354994028, 0.07727988405705727, 0.12119425258089583, 0.09411312586827861, 0.08326951458520973, 0.11209839266164703, 0.08857019773650159, 0.12695385488873556]"
43,"[0.09800725049353287, 0.07363820290475488, 0.11142750041439814, 0.10129469477082503, 0.15343122572686335, 0.10868592708630771, 0.1114935054078725, 0.15353082675706375, 0.11261246876082702, 0.08269657929026918]"
44,"[0.10194672632244281, 0.14222609621472948, 0.09651748790670285, 0.10219901323645368, 0.09101481462938725, 0.12652042791918797, 0.08258917795951615, 0.14061527777748709, 0.14859545740681754, 0.07419608554482089]"
45,"[0.10571522133099125, 0.15930908105464228, 0.1424995839807939, 0.07341367521080855, 0.08681584170700923, 0.09379647553684552, 0.153865713839042, 0.10551324026277115, 0.10574029140857998, 0.08379443260072122]"
46,"[0.1040981794403983, 0.07759473667725676, 0.09066343694966314, 0.1048035754097814, 0.14573709464389675, 0.12122316725737552, 0.13616705903538678, 0.12947196978060327, 0.10074004834965447, 0.08326963863469379]"
47,"[0.14013137394837144, 0.1333399994004638, 0.0808227625518706, 0.0848694792654435, 0.10402135297294836, 0.08343107871670731, 0.17088007066856628, 0.06822936822524461, 0.10358551319547638, 0.17761348664208496]"
48,"[0.1285305975080835, 0.09567493921620661, 0.10992520454248282, 0.09421147754644416, 0.09343252415158954, 0.10556249527446214, 0.09739336320696468, 0.12207306039920998, 0.139536275746284, 0.09432584580282406]"
49,"[0.14207308617734368, 0.15320914532289462, 0.10479487905127888, 0.11051051118766593, 0.10446815379620898, 0.04717049254680802, 0.07887234563278722, 0.15949637892914767, 0.07079933551312981, 0.1271153102728362]"
50,"[0.0608035554372538, 0.12955318499415971, 0.1030453831339998, 0.13200383677706784, 0.17881250017219735, 0.0929060517803975, 0.14591599206598635, 0.11748800582628202, 0.06679501485358627, 0.09739708949025759]"
51,"[0.09381950044532747, 0.11692000003676283, 0.09135966735339957, 0.07592785416040918, 0.07756625527879826, 0.13779387522881428, 0.1435869325469267, 0.1567001700261444, 0.07586959192922818, 0.12177353670074709]"
52,"[0.1132674241763662, 0.15443094729110682, 0.12805194007255447, 0.06980913722936484, 0.08667605762661419, 0.11494114670059151, 0.08865268531390713, 0.14654530659051404, 0.12282909833618823, 0.08641699411080726]"
53,"[0.10135874396582446, 0.1223312778805239, 0.12927464504428965, 0.10984605514931567, 0.09933840285717056, 0.08703301259530478, 0.14319576018073266, 0.07404326362943252, 0.12410549302879365, 0.12396852326587143]"
54,"[0.06018776443850405, 0.09591296067248138, 0.12848165775115009, 0.07686577219418118, 0.0873176453115333, 0.13515508307761784, 0.14196150920446474, 0.11403178566480103, 0.13036966430787034, 0.14328755350370032]"
55,"[0.11254900751488972, 0.09508183252197949, 0.11256109836750244, 0.14046531601011036, 0.14804351509442065, 0.05550135416292065, 0.09183884091547563, 0.08819703641989622, 0.16509843050024955, 0.1117881387057025]"
56,"[0.10929984886611765, 0.11211371799988365, 0.09945157185396267, 0.16034812713295674, 0.0989358949140368, 0.0764101669683979, 0.08826439163709984, 0.12203022552353696, 0.07555876719735674, 0.17695013025652928]"
