,roc_auc
0,"[0.7732258064516129, 0.7349888888888889, 0.7325225357632765, 0.7194558021806854, 0.783624031007752, 0.7202006201841759, 0.7082280553995883, 0.7383880704599721, 0.7502444553091248, 0.7796466829543319]"
1,"[0.7277348335511307, 0.7460630357261512, 0.7704073669424067, 0.7402205303229195, 0.7722737351340456, 0.7752045752520457, 0.71684350132626, 0.7451932437694704, 0.6958471760797341, 0.7108528726175785]"
2,"[0.7203385984023238, 0.7226176836254602, 0.73921875, 0.7841348618295354, 0.7515603245475059, 0.7284067882472136, 0.7071014092290688, 0.788201697853238, 0.7270351849349012, 0.7433552602337882]"
3,"[0.7281838682490148, 0.7470295661785022, 0.7022399237472767, 0.7721156124141197, 0.7402417843594316, 0.7331669691470053, 0.7380478559583038, 0.7891738222325365, 0.7289208372892084, 0.7659513178741177]"
4,"[0.7340310771420047, 0.734495361909829, 0.790035213731023, 0.747402450090744, 0.7146324863883848, 0.7321869611817886, 0.7433395219308425, 0.7432786019492055, 0.7572332730560577, 0.7410978873912629]"
5,"[0.7288370769194279, 0.7390723708658491, 0.7652348961311226, 0.7166344294003869, 0.7220662415532504, 0.730072215366333, 0.7702034211742949, 0.751662835623808, 0.7520220588235295, 0.7576020748072714]"
6,"[0.7139993721171726, 0.7586877248907243, 0.7537040424364368, 0.7102985214299082, 0.7715944089078418, 0.7343785196197685, 0.7547131425471314, 0.7429653679653679, 0.7593271152564955, 0.7359384318942973]"
7,"[0.7190544211315099, 0.7497874551294164, 0.751732858748595, 0.7149506172839505, 0.7623491309007876, 0.8069806870116468, 0.7705396426326658, 0.7230646630236794, 0.6877590494611772, 0.7555710614921141]"
8,"[0.7574197876425548, 0.7606189658632299, 0.7660552616108172, 0.7093121593685398, 0.761754068716094, 0.7142461197339245, 0.7760849385008123, 0.7195357833655706, 0.7071460423634336, 0.7525500655062698]"
9,"[0.7695565818756132, 0.7769353821196827, 0.7028758884636414, 0.7395339954163483, 0.7325037298250372, 0.713500163101729, 0.7623312011371712, 0.7538835860003744, 0.7582270670505966, 0.7181693792308801]"
10,"[0.7520786882199925, 0.7429330785812267, 0.7134979423868313, 0.7846756691584276, 0.7790473197449941, 0.6927621687652696, 0.7326057458356728, 0.7545254119285217, 0.7226688102893891, 0.7549792439498322]"
11,"[0.7199059376837155, 0.7489253704042436, 0.7228888888888889, 0.738802047625577, 0.7422965440356745, 0.7429672302857998, 0.774650556740109, 0.7187013239875389, 0.7528076797614055, 0.7688213550439829]"
12,"[0.7394823486372781, 0.7725792123186259, 0.7362515661356721, 0.7451140065146579, 0.7360019291053773, 0.7307777777777779, 0.7758233699275523, 0.6988935350498027, 0.7372267759562842, 0.7434428316781256]"
13,"[0.7326514059120403, 0.7548941551142749, 0.7623109835499216, 0.7376081314878893, 0.7797702601534717, 0.723159193747429, 0.7367627041742286, 0.720976735682618, 0.7651917048468774, 0.7279796511627907]"
14,"[0.7401053013798111, 0.7687779037220384, 0.6839239991385293, 0.7622706935123043, 0.7574055403523933, 0.7346158958001063, 0.7654143897996357, 0.7588191949894079, 0.7172131147540983, 0.7419914901941607]"
15,"[0.7582617435210223, 0.7095413389427474, 0.7193708609271523, 0.7477372940357392, 0.7661056679308892, 0.7281794613279562, 0.7470829391359193, 0.7570261291191525, 0.7555362921867776, 0.7536842590034081]"
16,"[0.7334627943795765, 0.7315322123559418, 0.7480020310844224, 0.7883567536564381, 0.71704821764463, 0.7489575929874438, 0.755618519411623, 0.7496518913901138, 0.7584392557796813, 0.7178584086478824]"
17,"[0.7307373271889401, 0.7452796300038167, 0.7167665746166453, 0.7331345125462773, 0.7455031876138433, 0.7520910462086932, 0.7755334987593052, 0.7469187208527648, 0.7710732054015637, 0.7253086419753086]"
18,"[0.7474718095579022, 0.759628952786324, 0.7769846153846154, 0.7385699328156357, 0.7467521652231844, 0.7272823779193206, 0.7412361405991978, 0.7419551980088004, 0.7209902866619284, 0.7326425258117611]"
19,"[0.7633110936682365, 0.7673059839183618, 0.7436052839897092, 0.6923310942367602, 0.7246624022743426, 0.70662100456621, 0.735821075476248, 0.730507945652696, 0.7737573099415205, 0.7768394098853599]"
20,"[0.7603244269910936, 0.7356125499258961, 0.737741989518773, 0.7150628463305853, 0.7552227086704102, 0.727468180254558, 0.7361188164586223, 0.7280405405405406, 0.7501560758082496, 0.7853916634404439]"
21,"[0.752306634093119, 0.7168710419582078, 0.7565000901225667, 0.7306723527357973, 0.755899905058999, 0.7235819735819737, 0.7655450300799139, 0.7182774016995536, 0.7523925104022191, 0.7469001497286168]"
22,"[0.7477935796597769, 0.7234610253478178, 0.7306643151087595, 0.7475443353037913, 0.7168896321070235, 0.7637839147286821, 0.7349138947865063, 0.7317696643224101, 0.7546853178357436, 0.7775089268934412]"
23,"[0.7606937095825985, 0.7595542846768337, 0.7210453182516271, 0.7664890073284478, 0.7284814884420222, 0.7411107160318235, 0.7472890199637024, 0.7101897588888345, 0.7511336086917482, 0.7570954750059228]"
24,"[0.7411802232854864, 0.7417598687956994, 0.7647235023041474, 0.7941695222737353, 0.737557668111282, 0.7302351230761519, 0.7270864197530864, 0.7660832544938505, 0.721457197446293, 0.7129501703969788]"
25,"[0.7060750835421888, 0.739211111111111, 0.7141181294275758, 0.7635868260598204, 0.7642880936518511, 0.7753771213073538, 0.7162904897058161, 0.7572347266881029, 0.7675562775585982, 0.7318337076548755]"
26,"[0.7268405047204066, 0.7708252659392724, 0.7594463527985452, 0.7376473826673395, 0.7698489453808603, 0.7509939898289414, 0.7472994194346625, 0.7187988628287136, 0.724038605416729, 0.7137979442276576]"
27,"[0.7406243815555116, 0.7487744210195851, 0.7850702523715769, 0.7363013698630136, 0.7247273149222557, 0.7470040103798066, 0.7298024322980243, 0.7313209876543209, 0.7557440194620894, 0.7226308174584037]"
