,r2
0,"[0.2031428702859519, 0.19267735208502934, 0.1252782738015643, 0.16427807575730835, 0.17936623015971986]"
1,"[0.17394843939071114, 0.2120208782314773, 0.15958476223832319, 0.16819969509668953, 0.14906207508190572]"
2,"[0.14765635268091004, 0.17920621885314536, 0.19080226084893304, 0.19261869208232618, 0.1580952564228364]"
3,"[0.12436448391173283, 0.19104607631087633, 0.14595896618032744, 0.180105234155163, 0.22316197531592763]"
4,"[0.18297428581875552, 0.13264896152285077, 0.16941849339487347, 0.18146653905417254, 0.18931608264120348]"
5,"[0.20357197341148459, 0.18132630216350776, 0.1365345761631216, 0.14571537182213778, 0.20671632116898497]"
6,"[0.1869038454459001, 0.17589018382694543, 0.15752593855242603, 0.140988267498256, 0.2033004754230111]"
7,"[0.19633592617457885, 0.11799552609010089, 0.1801935601933764, 0.1573157697962071, 0.21461426770247038]"
8,"[0.12435056926123855, 0.1521877775798357, 0.21254291430915884, 0.15977652452404922, 0.21169742447948758]"
9,"[0.20292081285292962, 0.21028651571511447, 0.16401492484780245, 0.14330886750515404, 0.1494533527207862]"
10,"[0.17196821484303926, 0.1517947559511551, 0.18288383977655343, 0.14256035440963544, 0.197426000753383]"
11,"[0.192197897439769, 0.1351114257905638, 0.15748218247041446, 0.16006706772718082, 0.21409127190881405]"
12,"[0.19995135268029207, 0.16087876030798076, 0.17077518678472048, 0.14819800047662068, 0.17290075637608737]"
13,"[0.16430017584077983, 0.1677028426999131, 0.19281319058256485, 0.1555099541921181, 0.1898708256652395]"
14,"[0.1988322367747707, 0.174427446723468, 0.16907794346841198, 0.18711188573452575, 0.12277803077158389]"
15,"[0.22763409324911077, 0.1482419295265357, 0.18558645263402507, 0.1075559274995439, 0.18171641960318985]"
16,"[0.20675103613811685, 0.17159375643329267, 0.19917164952198907, 0.13788842069929275, 0.15035566106768616]"
17,"[0.19039036560513223, 0.17108145873648706, 0.15153733226479826, 0.17071286180867706, 0.1802926851898693]"
18,"[0.15174292418777147, 0.19084572145286116, 0.19308247125288958, 0.14398114899784786, 0.18040760458750416]"
19,"[0.18110911631721494, 0.17046139696401796, 0.1728286690229207, 0.18911086382997888, 0.15823389427262613]"
20,"[0.1995816040184658, 0.23675477297155223, 0.1289105242371391, 0.12842895414411049, 0.1681172772797318]"
21,"[0.14804503633485078, 0.18217982841882252, 0.19300177303769783, 0.1531835234726947, 0.19326159962486966]"
22,"[0.1654651746930128, 0.1728618835218021, 0.1658623958573977, 0.1907435645457769, 0.1620649918124959]"
23,"[0.1609107743485455, 0.14891147687352468, 0.1933398780262684, 0.16310415718348803, 0.1916820662868266]"
