,imv
0,"[0.13250318068603986, 0.08169660986815055, 0.10023515225980707, 0.1058600213025645, 0.13202667831221568]"
1,"[0.13497540878039596, 0.15127576403865078, 0.12513519827091749, 0.0799249535912312, 0.07495935469762488]"
2,"[0.09945042362993352, 0.10440182458795048, 0.08734819644422234, 0.13604265111981348, 0.12804921113587756]"
3,"[0.09455528949591689, 0.10505357812992006, 0.12241278190916365, 0.11363481220916649, 0.11106412266828337]"
4,"[0.11784506178664547, 0.1327505210529857, 0.0967874110134803, 0.09734178387060304, 0.10136683808334515]"
5,"[0.10365581272102094, 0.10498234254328112, 0.08189688557792915, 0.11786926559134282, 0.13940730263992615]"
6,"[0.09264971615204055, 0.10175548086591713, 0.12564231604025097, 0.11962673306133768, 0.10919337994630872]"
7,"[0.09973602916687208, 0.08312891179112183, 0.12067646969357868, 0.13894926551213435, 0.10391885256808056]"
8,"[0.12809197102704453, 0.09986315227205918, 0.08785153193109899, 0.11521267281358454, 0.11886932168442631]"
9,"[0.13466518062483163, 0.0748409720249566, 0.10526262453551188, 0.10672696006717831, 0.11601476059439308]"
10,"[0.10248642045431708, 0.10204639968597023, 0.1130459526237269, 0.12168277195338352, 0.11026978598951763]"
11,"[0.09389116597501782, 0.13489452542075112, 0.10920597937041558, 0.08721618388132495, 0.12040934152519925]"
12,"[0.1196169157551627, 0.12795093758969892, 0.0745416419347848, 0.1234315119752758, 0.10507908454847248]"
13,"[0.1075078434022517, 0.10600731758484294, 0.11519368084817357, 0.09723755596216811, 0.11342706140852893]"
14,"[0.13389111541590867, 0.08525584813267124, 0.1275849100230492, 0.13135018707206572, 0.07167910133122211]"
15,"[0.10297864716062789, 0.10756563867916423, 0.08556916582088561, 0.13430490468592798, 0.1273792754332778]"
16,"[0.08035268258440054, 0.1381274546943691, 0.10920413637497839, 0.10893202628780974, 0.1155489082639753]"
17,"[0.1085869240703876, 0.11168761927020389, 0.12161923130079523, 0.10484830647862874, 0.1032358002019982]"
18,"[0.12509263216080913, 0.12661363635814862, 0.09364112002691383, 0.11265785071724885, 0.09339883860162868]"
19,"[0.16191678204140414, 0.06472358150944775, 0.09192396596721095, 0.0954654046726269, 0.14152044315754062]"
20,"[0.09157766708268641, 0.09780578272527385, 0.09615073583700091, 0.10548035081856444, 0.18014585372044448]"
21,"[0.09566375847675679, 0.10687469454195613, 0.12951376472629805, 0.09877863338143962, 0.11657705864800644]"
22,"[0.08448178262442385, 0.11642658362075173, 0.11068917059008238, 0.09257731924415168, 0.13902209985018116]"
23,"[0.12982017997736148, 0.0998943891141192, 0.09187460121820118, 0.08979908229943942, 0.12816306528341073]"
24,"[0.13087047735995747, 0.11677335289640442, 0.09046008526962707, 0.09929957387364281, 0.11425883100997672]"
25,"[0.07290633781387225, 0.08572078888460624, 0.13655760244247156, 0.12868861637815254, 0.12288023435395404]"
26,"[0.1149757592572837, 0.11427686431240415, 0.13284140676555292, 0.10367894849632495, 0.08530903102707309]"
27,"[0.08613150556734187, 0.17054623621285922, 0.08337374848955743, 0.10589066070621232, 0.11374318689948446]"
28,"[0.10731957427924872, 0.1305332874297341, 0.09419786235676962, 0.11681885930679514, 0.09666418240121182]"
29,"[0.1243292041262314, 0.09270472510458502, 0.10492550213732223, 0.09915044408382151, 0.12761450531554477]"
30,"[0.11482224585266272, 0.08550038261391657, 0.1055104798900045, 0.12083649463856351, 0.11562180687284683]"
31,"[0.122347199427944, 0.13048114597576652, 0.09498749703741946, 0.08793310305986891, 0.110352665957358]"
32,"[0.09397686212847625, 0.11897432559752723, 0.0755602366387021, 0.129410869929272, 0.13431162460708115]"
33,"[0.0886921325604255, 0.14753183958758492, 0.11825608291288864, 0.09856622757456857, 0.09937906191753551]"
34,"[0.1227531208764664, 0.11921356620341998, 0.09652815247052929, 0.11268506034651218, 0.09444013454680034]"
35,"[0.09886211956645509, 0.11915847141615087, 0.12462867671554957, 0.10081090766644808, 0.09979564549427061]"
36,"[0.1281905626323598, 0.10714472309387252, 0.11964736489862039, 0.08648266807779167, 0.11053432996033627]"
37,"[0.13547631221221665, 0.10586310432351397, 0.09628879402434716, 0.10872948726071749, 0.10095729241472667]"
38,"[0.1028763846012064, 0.13105868022598416, 0.11459643760620207, 0.08547453954041474, 0.10429934214381102]"
39,"[0.08345284375189674, 0.14119538955615668, 0.10468061630991568, 0.09265146672787679, 0.11903060118287272]"
40,"[0.12073213947717433, 0.12734461629798052, 0.10571074669869888, 0.08699904275195941, 0.09936041667504678]"
41,"[0.12821780917635664, 0.10856133549416865, 0.1010626189533219, 0.11511463171062569, 0.09655848782729948]"
