,r2
30,"[0.15477595404532796, 0.18124668630405805, 0.18396827046392294, 0.20179535108621816, 0.18995034081934525, 0.1301852321503817, 0.1289809339089497, 0.14626906496229353, 0.1335979512411556, 0.09689414850814049]"
31,"[0.12741487991593392, 0.12047630658208996, 0.1587788687526076, 0.19043036599597962, 0.13778031658412837, 0.15176039477801617, 0.15763680254926193, 0.15579450201618583, 0.16062705475226413, 0.20259095524371018]"
32,"[0.13146871555215, 0.21447333501432997, 0.17303663731848884, 0.13714000084775813, 0.1789104036767346, 0.1262871916325211, 0.14364455300934564, 0.1932525764565718, 0.115020591243433, 0.14508901693323095]"
33,"[0.13456375076787674, 0.11442363112069476, 0.13409483757960294, 0.142519222204461, 0.18890736439477585, 0.1829787549873657, 0.1747599001882193, 0.2253345863982028, 0.08440208725922382, 0.17429863986846306]"
34,"[0.1577961992452197, 0.13673741070401457, 0.1948476966556275, 0.11504174311394666, 0.2068579051491577, 0.133009112484888, 0.10786219847729017, 0.19945976367061025, 0.17373972020869233, 0.13451470410323685]"
35,"[0.11385830590046342, 0.19361745838613253, 0.1770999284306165, 0.16823927539228234, 0.15438374918474163, 0.2223839902187873, 0.05426859700655651, 0.19110514692321123, 0.15542046946238297, 0.12148143718108317]"
36,"[0.16021157670575858, 0.2045514201351164, 0.10448574608552041, 0.22078501889137447, 0.1767073897206909, 0.10825788179428275, 0.18191912101359065, 0.06619778045069613, 0.13888902615110876, 0.19130978582461777]"
37,"[0.10271464197712177, 0.1641885520352967, 0.19799569618764867, 0.1207362738436939, 0.13580242115021512, 0.139073805768, 0.20070134959021158, 0.1690660967551577, 0.16152543099076289, 0.1653392460640295]"
38,"[0.13019953996180078, 0.1272590551277678, 0.1209658219889107, 0.2139500423593026, 0.22297674536869583, 0.24696889962287738, 0.05383334259185413, 0.19412872234630063, 0.11037392595534867, 0.13375276864569763]"
39,"[0.19161680731620312, 0.11734755542390496, 0.12037270362659369, 0.11524676413769219, 0.13543198678237123, 0.2321318784928298, 0.18216988120875355, 0.17096004211599913, 0.14246359062004588, 0.1419275116091674]"
40,"[0.0790171669967904, 0.18399677621437038, 0.20637637168548828, 0.19156716125969409, 0.19032305233568947, 0.08302906528190956, 0.11800421920334458, 0.18713659957249895, 0.18636634914673822, 0.12256786976834377]"
41,"[0.15127581799205025, 0.1317708380696575, 0.12132437327156753, 0.13318454549384307, 0.1894424877203702, 0.1702185161553733, 0.203464564563148, 0.14095378980641327, 0.21043558319083278, 0.10350458385065342]"
42,"[0.1757731325930475, 0.12821965528897739, 0.16097247295778805, 0.19112577065087266, 0.19379660989624614, 0.1183847115139417, 0.1504876485275013, 0.14886327923334342, 0.10181375894820577, 0.18979818953702488]"
43,"[0.11115700140032991, 0.16283045131678842, 0.12086446100906323, 0.16694918626612976, 0.16048880114807462, 0.17670147867469754, 0.13267508564243224, 0.18919594544398632, 0.1394306076771108, 0.20207502860866422]"
44,"[0.1566659485360149, 0.160363296990359, 0.14009646469173898, 0.10080461956950482, 0.15836781716531745, 0.14139327574648564, 0.16926422604819724, 0.16956214976160477, 0.15678695419627686, 0.19993646481176308]"
45,"[0.14581619163373205, 0.1469522433684981, 0.18076541472423335, 0.17372150865281555, 0.14081745749146357, 0.19009059519201654, 0.1453029977747311, 0.15159276464259852, 0.21576272868364454, 0.06653567635860735]"
46,"[0.15811851893830153, 0.12480990667363201, 0.1750339959228394, 0.17219027588213476, 0.08980682759250813, 0.19290893019995603, 0.1372051203361574, 0.1702358900751635, 0.17048079315628506, 0.1669518401804152]"
47,"[0.17114461717394502, 0.07638790184733724, 0.17429269091109678, 0.09492129990041043, 0.17298303113314484, 0.09415135653683004, 0.2057570408676842, 0.20309545634010184, 0.18944333006797076, 0.1710219384025159]"
48,"[0.18999785431172955, 0.12283972077474703, 0.20109495856652304, 0.11937608958759138, 0.1475080385162496, 0.19412912955411454, 0.15950425295087345, 0.1399926659270847, 0.11387272328476672, 0.16850165078060964]"
49,"[0.11791442485232162, 0.16020499487465634, 0.1647507590165681, 0.13642118016388538, 0.13495344333930748, 0.18927472521250333, 0.1718590504968327, 0.15352500102670785, 0.18603730210417324, 0.13894081401496328]"
50,"[0.13691646875872088, 0.10496320771979939, 0.2223963750297847, 0.1478018264992178, 0.09236927072376933, 0.18367074733832645, 0.1734127956393683, 0.07907170512563422, 0.22159724127278424, 0.19009894208142863]"
