,r2
58,"[0.03601088235412586, 0.03402037433214289, 0.027290239391124405, 0.0348921232174676, 0.029219247905617696]"
59,"[0.034267738727456365, 0.0347189185895701, 0.029441051832813425, 0.03187373752271139, 0.03134048936130451]"
60,"[0.03357330432439187, 0.03000755003003175, 0.03154752199664823, 0.033931329069563865, 0.032654839433659544]"
61,"[0.029406751194807512, 0.031160638652572237, 0.03515305149272652, 0.03195907806742149, 0.03393791157356507]"
62,"[0.030190519144907113, 0.036186901723885945, 0.03052548554238188, 0.033988399830058746, 0.030725781657596207]"
63,"[0.027338316232940807, 0.035011101085507645, 0.03366661293475859, 0.03402314532027051, 0.03154982924120309]"
64,"[0.03328851777388275, 0.030041255021481028, 0.03485276110878288, 0.03149795704352565, 0.03207218059553618]"
65,"[0.03263993721725145, 0.03248092601422037, 0.03483640290572354, 0.03151542682060282, 0.030150074471212318]"
66,"[0.034316803186095424, 0.030542446542260238, 0.03132734554339278, 0.0315415882395822, 0.03408286065359745]"
67,"[0.03453990852242783, 0.03183696827627891, 0.032694918838634734, 0.027984128334227476, 0.03460397874177401]"
68,"[0.032531763680868186, 0.031145644198172784, 0.03233008669424453, 0.030769434330571666, 0.03500420886873501]"
69,"[0.03301789947264133, 0.03133221457984303, 0.03216813190954515, 0.03551705660477866, 0.029616045521036582]"
70,"[0.03459753536421539, 0.032502067956793446, 0.03228167851885444, 0.032648379237574465, 0.029658850929022207]"
71,"[0.03464831254252487, 0.0331367692537482, 0.03275907362915986, 0.028169925974106613, 0.03293622765231197]"
72,"[0.03228731853768796, 0.03169634380191555, 0.0332151751852372, 0.03289576334810518, 0.03165197517377982]"
73,"[0.03145398382714992, 0.03432184068005151, 0.026490031557330096, 0.035724606228390576, 0.033615694733800994]"
74,"[0.03221682883019361, 0.032760210477518314, 0.031223452566982557, 0.03446736053703825, 0.031029332597534376]"
75,"[0.03399592878892288, 0.030816394343413656, 0.03210598268406906, 0.0313504870174367, 0.03339176569661839]"
76,"[0.030564024534997514, 0.03313522268475477, 0.03515452027045762, 0.03047865652800219, 0.03225633250998583]"
77,"[0.03377481385782344, 0.030363238420457628, 0.03248101269019332, 0.03165941587642718, 0.033386683910074266]"
78,"[0.029887838582695836, 0.033598418664188445, 0.034046459252420336, 0.029362395558865995, 0.034881548914956206]"
79,"[0.029138438044820414, 0.0352928129822202, 0.03446312079079883, 0.032674837029251225, 0.029856833027251506]"
80,"[0.032045866297939485, 0.033056137132575825, 0.0313724427920552, 0.0329120013851234, 0.03218897513255847]"
81,"[0.03266476110377792, 0.033318731264674994, 0.029846170486195978, 0.03491037985496581, 0.03095226883459834]"
82,"[0.03171678464296146, 0.032132678345620724, 0.0332221385993573, 0.03360265674900109, 0.031094823650698045]"
83,"[0.03003611752228208, 0.0359956537014422, 0.03151623825247385, 0.032311992355141705, 0.03188819958035782]"
84,"[0.03450728826706939, 0.029250535250160414, 0.029785445941376665, 0.033756997036697434, 0.03421489858646087]"
85,"[0.030582979823932765, 0.03417466657085333, 0.033337715980560345, 0.028657108735104853, 0.03493243139218161]"
86,"[0.0305519354353343, 0.03288870767570884, 0.03155625251277627, 0.03734256186816853, 0.02929813276722737]"
87,"[0.030773704266199853, 0.032614388833844044, 0.03438898930503964, 0.03216998238002777, 0.03167882986890269]"
88,"[0.03310897548346303, 0.029723923011174436, 0.034381903030136995, 0.0336971760967979, 0.03067466963171317]"
89,"[0.03136294801181594, 0.031810844767825364, 0.031235937667248193, 0.03110051282979842, 0.03609632412690145]"
90,"[0.03571871924624781, 0.033748845709221764, 0.03168262893609519, 0.03243978576025919, 0.028035786297532006]"
91,"[0.03420093835789784, 0.031419478237966425, 0.029539208542138207, 0.032075882265096944, 0.03431731105472213]"
92,"[0.030305740900240297, 0.028992078030496193, 0.03340079380394023, 0.033802229659698146, 0.03513383780418844]"
93,"[0.034022863759312294, 0.03070789089749759, 0.031055082894322017, 0.032878849242306774, 0.03311219285881439]"
94,"[0.031441147929063606, 0.03038921600564304, 0.03316434836442039, 0.032789934632327045, 0.03390196893602193]"
95,"[0.03324235608309978, 0.034197444629816776, 0.031038941593645508, 0.033146829000730516, 0.03008547624354152]"
96,"[0.03138740242557603, 0.03096612451889036, 0.0329842896108451, 0.03362052006872984, 0.032892168350679984]"
97,"[0.029923010980193898, 0.03569524857476736, 0.02838325909038375, 0.03245036334961626, 0.03514397446805251]"
98,"[0.032289947033783184, 0.03313375131612195, 0.03028145128068649, 0.03433057217566027, 0.03167299403620483]"
99,"[0.02954057515487374, 0.03174514372349413, 0.035736669181020586, 0.02997131725216884, 0.03463111179441991]"
100,"[0.030848178034180718, 0.032695200818125825, 0.035464259800069176, 0.030553322889383394, 0.03208596223060012]"
101,"[0.030867721983094842, 0.03326827885308725, 0.028556903700450498, 0.0352920693645602, 0.03364150405197963]"
102,"[0.030397311967636065, 0.03333874451282015, 0.02996192369710493, 0.03518233068544008, 0.032739314489592775]"
103,"[0.031662765034484286, 0.031858926797337817, 0.03374960888615686, 0.032030650324542664, 0.0324352254824809]"
104,"[0.03333926008699628, 0.03252694759078034, 0.03231015527491887, 0.02951845883981874, 0.033897239332924656]"
105,"[0.03433074036670403, 0.03296735822428121, 0.03331329516231318, 0.027278833716443684, 0.03358776332996849]"
106,"[0.03138824282085095, 0.031004980169279994, 0.03000403498251969, 0.033315743576232904, 0.03583817686470403]"
107,"[0.033764625507864854, 0.03170961197249045, 0.030972502589819983, 0.03024849672450658, 0.03507752498915617]"
108,"[0.03179856668399461, 0.03326837960305029, 0.03049744869022586, 0.034797751470501015, 0.03134365145726159]"
109,"[0.03391716500111086, 0.030918760985597205, 0.03312441751208739, 0.0335603117976957, 0.030183402723795716]"
110,"[0.031011962287516348, 0.03351352911542016, 0.032187289813408015, 0.03147337109161774, 0.03335930603011028]"
111,"[0.03211671497963642, 0.033866191304482984, 0.03166308725641409, 0.03272484354946581, 0.03115958781512762]"
112,"[0.03246500528798257, 0.03200950283915327, 0.031051272723100598, 0.03441809592224765, 0.031820783526463]"
113,"[0.03417299834583143, 0.030976421146433064, 0.03535785566673888, 0.0323164358833149, 0.028881618006995624]"
114,"[0.030547978697292977, 0.034507105900131174, 0.031302547660569835, 0.029951076688982226, 0.03543748871511865]"
115,"[0.032229973922605626, 0.030254236809077684, 0.03197323138476116, 0.03333816428572833, 0.033932128914647475]"
116,"[0.03304407338530457, 0.032291266225701554, 0.03409687675205164, 0.03114149911702324, 0.031130867431698905]"
117,"[0.03359717998904255, 0.0324012083842935, 0.03241841426857062, 0.0319443681123468, 0.031460697917132796]"
118,"[0.033171621875615065, 0.032095299427085666, 0.03092829991120205, 0.03490221537146343, 0.03053247040471696]"
119,"[0.0301313951526071, 0.03242648296271522, 0.03186246636996137, 0.036868571092374514, 0.03026547103001831]"
120,"[0.033181155288548814, 0.032338672074561314, 0.0345541288698914, 0.029786069545680305, 0.03185567113251142]"
121,"[0.032821547301892684, 0.02936688378064689, 0.03546348290260226, 0.0305073305285124, 0.033394449110346947]"
122,"[0.032090333643748026, 0.029893089581377152, 0.03174174141654995, 0.031280939393093066, 0.03658272607920776]"
123,"[0.03031932422367367, 0.035513376894356186, 0.03156548350053889, 0.032358190078949134, 0.03197710777992191]"
124,"[0.034824322445956124, 0.0347293101562155, 0.03269265879936223, 0.0314532751695219, 0.027740481776259762]"
125,"[0.03423851871203509, 0.030394927037695085, 0.029317599912459857, 0.033330440305410214, 0.03441884184216493]"
126,"[0.032177302842509414, 0.03378625365728383, 0.029790496515755716, 0.03243903959109873, 0.03355836635574183]"
127,"[0.031919755274425365, 0.030739641667200224, 0.03465707562803433, 0.03095428615974205, 0.033486928251151626]"
128,"[0.031949977968345866, 0.03522200738436432, 0.03481441868730528, 0.03181689996903403, 0.027882127722150263]"
129,"[0.034016448272412236, 0.03322865098598382, 0.03167186802493449, 0.03314863482449171, 0.029622894404384703]"
130,"[0.03197371400050664, 0.03211588365898843, 0.03201073177905067, 0.03574445864175024, 0.029849911193295386]"
131,"[0.03509248901323969, 0.03419656976258467, 0.03070997200802572, 0.02967711501899284, 0.03198977292104188]"
132,"[0.03219951540086685, 0.030917531915846674, 0.034404378726188956, 0.03033581785332007, 0.03395477786943202]"
133,"[0.0376032805875991, 0.03164096935621963, 0.030906511026945638, 0.029732155781170833, 0.03172548404367037]"
134,"[0.03159170135703182, 0.031888298967568174, 0.03196030984286247, 0.03187457469893051, 0.03434506826717376]"
135,"[0.034761276002790775, 0.03334978295789992, 0.034028773278494406, 0.026951098703285714, 0.03260682310905827]"
136,"[0.03276150642284348, 0.032503639229265024, 0.03314419026615867, 0.030891570250381473, 0.03242701104341361]"
137,"[0.030180548313440747, 0.03027809578984475, 0.03441012940101096, 0.030103925481262173, 0.03648729513463267]"
138,"[0.030204713933412508, 0.034049784976884934, 0.031314086437695954, 0.03353193064250759, 0.03262854096258949]"
139,"[0.03862499106830242, 0.028926269550679007, 0.029964008588110214, 0.03470354044252122, 0.029184704066012146]"
140,"[0.03522066128412071, 0.030149040941865435, 0.030400133737145674, 0.030836302387273418, 0.035043564827048845]"
141,"[0.032604984382141766, 0.03462298555294652, 0.034242883288002623, 0.03299298631337144, 0.02704292571876188]"
142,"[0.033065246801703085, 0.034681383429081225, 0.030417700199604103, 0.032389534820110866, 0.0311816909571615]"
143,"[0.030729205313971053, 0.032631407279871794, 0.033796303902627, 0.03374515746873685, 0.030758095294773358]"
144,"[0.0328940963522969, 0.034534424923817086, 0.029973284714472137, 0.030525712071357902, 0.03366297068306501]"
145,"[0.031245279758574496, 0.03298763585151798, 0.03519986235600181, 0.02828699359512421, 0.03390182920771434]"
146,"[0.032306535503557554, 0.03158339444977454, 0.03387595978947544, 0.03345402554229304, 0.030525637921283932]"
147,"[0.029504621887780247, 0.03051639478578816, 0.03410783842103593, 0.034542622527551026, 0.03299686241203359]"
148,"[0.02983537893640331, 0.03636565726276786, 0.035392339539656814, 0.031227680508039146, 0.028798216782621955]"
149,"[0.033474485363912954, 0.03199918704797555, 0.030853672331384585, 0.03398099475226224, 0.03125968537411816]"
150,"[0.031068181607759815, 0.033197600533637406, 0.03519112385824941, 0.03401093947736289, 0.02805973978168086]"
151,"[0.03206521542446028, 0.03042138557458718, 0.03032025836568719, 0.034897622330817724, 0.033755894999451086]"
152,"[0.03102351101373635, 0.03133673529959313, 0.03237229644477413, 0.03289016616831997, 0.03404505776056177]"
153,"[0.031397868651711236, 0.03138083465588615, 0.03399497112252936, 0.03428431439335167, 0.030603926242862012]"
154,"[0.03527876163550048, 0.03133935273201971, 0.027877351492082036, 0.03547411748950546, 0.03167598041337094]"
155,"[0.03224925718548377, 0.03002065684869215, 0.03376717324019329, 0.031578366841498395, 0.03402610164714415]"
156,"[0.0332321526271957, 0.03428425498357901, 0.03176176667261554, 0.030614178286771043, 0.03176350501933822]"
157,"[0.033305528783024174, 0.03191156944238904, 0.0330807934820313, 0.03388883474257409, 0.02952016543187319]"
158,"[0.03216742257913496, 0.03316248217678519, 0.033553565761866744, 0.03172115292076516, 0.0311053604041146]"
159,"[0.029989499719370705, 0.03761471845054132, 0.03115778918016432, 0.030319883872892528, 0.03242331109250174]"
160,"[0.03089058421052926, 0.032062782871616125, 0.03394530396373652, 0.027258638098735966, 0.03720890533742649]"
161,"[0.03500755886872475, 0.03246666564542966, 0.032656622708916005, 0.031247399513960605, 0.030348759798419556]"
162,"[0.03401180165633544, 0.030008707816236435, 0.03107514725556282, 0.029904351519045025, 0.036596221199432954]"
163,"[0.03313759661059412, 0.029994593952155646, 0.03326687635087411, 0.03343063925573919, 0.031881703782873916]"
164,"[0.031207937750019732, 0.031019520258762312, 0.03545540989347862, 0.03347211323638588, 0.030495285605591893]"
165,"[0.03377390271212999, 0.03383578150870736, 0.032874469278183605, 0.032429999384187, 0.028932515125373426]"
166,"[0.03209191064187922, 0.035507672038485816, 0.03054195268434967, 0.02915245897414076, 0.0343670159634375]"
167,"[0.03149359170556887, 0.031186745166039476, 0.03406073985475222, 0.031796739612978575, 0.03320640479416892]"
