,imv
30,"[0.10662003197226545, 0.12377161283026378, 0.12590310442659403, 0.13802361721613557, 0.12875139721001663, 0.09250767181406544, 0.09236439174064992, 0.10353787180275113, 0.09408630681159882, 0.07141662654700134]"
31,"[0.0901582076071646, 0.08530482249575935, 0.1111678928094464, 0.12964999267217245, 0.09819894069112844, 0.10971805001673626, 0.11072429825574699, 0.11091545563453345, 0.11209456012200414, 0.1332450037196464]"
32,"[0.09766442201029077, 0.1408799307765099, 0.11689939292079875, 0.098295985343304, 0.1213478358224643, 0.09413509778237786, 0.10358861335814848, 0.13190325330492036, 0.08122841891894116, 0.10002193707459836]"
33,"[0.09446241151364292, 0.08358399019294821, 0.092581238628661, 0.10288703837102746, 0.1276281227789195, 0.1225792645843942, 0.12239675007842285, 0.14812778824111084, 0.06514385469750286, 0.12142671090192582]"
34,"[0.1096898726803695, 0.0984036391109655, 0.13052649662074486, 0.0870984518725797, 0.13650925433501873, 0.0994379683850907, 0.079373277253583, 0.13202555845283906, 0.11846389147969841, 0.09527355663630212]"
35,"[0.08177771766431452, 0.13145465823580385, 0.1204494817636797, 0.11255091141016882, 0.10948999051870027, 0.1451919441491056, 0.04368894471578064, 0.12993389111699125, 0.1083849619507056, 0.09091726011456697]"
36,"[0.11235289729935274, 0.13526505586922502, 0.07337105432251045, 0.14571972883805892, 0.12198587859592545, 0.08159616604453061, 0.12601195710375102, 0.046151250095624936, 0.10097807678298404, 0.12864885742125928]"
37,"[0.07393569736244258, 0.11499878036098292, 0.1329134805042775, 0.08423545544386737, 0.09465799925778415, 0.09830044633316937, 0.13584277027234423, 0.11843980826266672, 0.11428029945737686, 0.11629525321797372]"
38,"[0.09309590586726221, 0.08997947431179712, 0.08712826307177605, 0.14205497841986747, 0.1470004076392455, 0.15727640636053955, 0.04208402031243995, 0.13022336834697676, 0.08187448379005213, 0.09797194823474485]"
39,"[0.12810256276643048, 0.08622181087521996, 0.08572606287579106, 0.0791181686867956, 0.09889259135527262, 0.150617547985302, 0.12451977831297092, 0.12142360324580051, 0.10303349667234979, 0.09897374445763645]"
40,"[0.057490548279994474, 0.12552519812228485, 0.13835806591294994, 0.128387351886767, 0.12947795654806513, 0.06522447891726511, 0.0875833389616888, 0.12732732927550408, 0.124387763593012, 0.088590403152059]"
41,"[0.10730592605519186, 0.09558236102008034, 0.08707614409147763, 0.09660493302113057, 0.1287105756302598, 0.11834896410854373, 0.1354137452742422, 0.09832484792899632, 0.14035280275375445, 0.07437682449623792]"
42,"[0.12137319249213158, 0.09099534486756398, 0.11149438007497257, 0.12854025758489962, 0.12950240097425192, 0.08707031359480193, 0.10712173886021928, 0.10506881824158149, 0.07564713916116582, 0.12973324799512184]"
43,"[0.0829995879487305, 0.11263770527304644, 0.08682185243099612, 0.11364559748178646, 0.11506493576098156, 0.12326609036254978, 0.09212162617288433, 0.12619980771202732, 0.09900632427753003, 0.13651321218667287]"
44,"[0.11071824958461372, 0.1103552845457785, 0.10108064949457683, 0.0729804988268909, 0.10984683330352535, 0.10171470291697218, 0.11488707198949116, 0.11922925457552042, 0.10771484661330083, 0.13557844549191606]"
45,"[0.09967203348855215, 0.10555908881142985, 0.12233090885597953, 0.11845825092856291, 0.1011180673001421, 0.129713382349819, 0.1039949663066087, 0.10643469111650193, 0.14501262146647795, 0.049076749229099874]"
46,"[0.10818964804931874, 0.08747744194682869, 0.1188574092302946, 0.11833598823867893, 0.07128636845292867, 0.13208105227879086, 0.09728403159161376, 0.11774198862645917, 0.1186152309282774, 0.11563386513896542]"
47,"[0.11882340599908224, 0.05872838340188156, 0.11886726643848494, 0.06751678246469948, 0.12092506780109824, 0.06864999651680452, 0.13685047080840773, 0.1362118568032202, 0.1284087614707599, 0.11956927125126254]"
48,"[0.1274215295606368, 0.09171317442938426, 0.13294299958446051, 0.08695752221562915, 0.1030043108468111, 0.12992848801682005, 0.11418905561013913, 0.09883459568961248, 0.08344952051766141, 0.11604871294305048]"
49,"[0.08495518775035345, 0.11210570278758585, 0.11397533451279075, 0.09901332880258462, 0.09400613247448558, 0.12749050108540178, 0.11936614551887068, 0.10961285660263179, 0.12498645527315287, 0.09975491242109615]"
50,"[0.09906703215564751, 0.07751900909726483, 0.14590552546066315, 0.10506999875086344, 0.06629482821865534, 0.12543445126527364, 0.11917498366984766, 0.059999156325187875, 0.14551598301874294, 0.1287899360806654]"
51,"[0.12667464297279005, 0.08832172610564898, 0.12307456152453378, 0.10659343026974155, 0.12624693327075792, 0.09437023503310674, 0.1321861870540392, 0.1254444183212393, 0.10199360765194367, 0.05830844669901542]"
52,"[0.09664465677729855, 0.12100838153505122, 0.0861637147512424, 0.13163035321327313, 0.11053526928991081, 0.09164771048799962, 0.06800175658134956, 0.12266645256230028, 0.12398941759373953, 0.12253168978850866]"
53,"[0.10326972813982803, 0.15115964643470026, 0.11660758886776712, 0.07626997759576203, 0.07060047191661907, 0.09124110761003407, 0.0885375809335829, 0.14643512078377907, 0.11225020076062253, 0.12427617651115751]"
54,"[0.11444741620693309, 0.12002521029463198, 0.1280597731391515, 0.09098386393111926, 0.12526900522454334, 0.046696986251465795, 0.11897971425635198, 0.14824690164462023, 0.08971748841150971, 0.09176272097482581]"
55,"[0.07842835984686941, 0.10572670789026853, 0.12824793390099695, 0.11427286745104777, 0.11745350855078737, 0.11609758660363753, 0.13741116780673074, 0.10007666783771361, 0.09456469144991043, 0.09153197905041804]"
56,"[0.137355871092933, 0.07976815268618588, 0.10395273745689061, 0.10923822551568373, 0.09844450030055017, 0.13626736431451966, 0.1324451336248381, 0.09115004061388682, 0.08581797810281766, 0.10754040479007984]"
57,"[0.05184642096796169, 0.10384768782258241, 0.1358968359023618, 0.10436274600987067, 0.1264639173821819, 0.13244165797408392, 0.07307881691890283, 0.1185318793343858, 0.05234720434740826, 0.16124379014861853]"
58,"[0.14363340001954927, 0.12762613993267727, 0.09284734921815793, 0.102030002052096, 0.12021511319570932, 0.10287839916710981, 0.08670310539669757, 0.12218189706508538, 0.08854188724587003, 0.10040659686636373]"
59,"[0.1121333930758142, 0.09496814533642942, 0.11070941524354036, 0.12321168750789788, 0.12339625712099508, 0.10431604819720422, 0.09760007026757729, 0.10737330157009577, 0.11436452774331196, 0.10349905544639183]"
60,"[0.11091695165679351, 0.09540834564051531, 0.11924715278264453, 0.12907462266981146, 0.03564284860964065, 0.1140815207223272, 0.0933143916112581, 0.12043932554435034, 0.09481776059820864, 0.15877998249062772]"
61,"[0.07441500526052877, 0.1573858489638515, 0.11656231442331547, 0.08491682775299152, 0.08177395161878306, 0.13077332716516613, 0.1058946283183184, 0.0919538357139185, 0.11930950944048525, 0.11107686259024727]"
62,"[0.145166834877647, 0.12109224119376764, 0.12298246870920272, 0.09783487503859373, 0.13356793922283922, 0.0817410976160429, 0.08861309750092178, 0.12032233788012421, 0.06162590410902896, 0.10241363750960158]"
63,"[0.11658458988176852, 0.09982447169803135, 0.08975953935729843, 0.12409469064707682, 0.12314525239512829, 0.08086833398689376, 0.10253680897282197, 0.11742012048087452, 0.1259936041657773, 0.10895193016709767]"
64,"[0.13022434099601407, 0.13465407173536365, 0.07698128693731782, 0.05174934669127887, 0.08601771405854637, 0.10701728076531986, 0.12121679137351228, 0.11378703006629574, 0.14681848029865388, 0.11241537987614707]"
65,"[0.11736155323689672, 0.10589723899050155, 0.09937161077204609, 0.09465677668372934, 0.12082867961858777, 0.11240916055711404, 0.1223970675215892, 0.10769303783144915, 0.09351664492357745, 0.11364289970034429]"
66,"[0.09693953764590761, 0.1102913646356314, 0.12430180688283068, 0.11773391116565415, 0.13224219586964758, 0.025710175997213754, 0.11162634665880969, 0.13988271837301197, 0.09346974725657375, 0.11549200475672527]"
67,"[0.08707910927971202, 0.12834282338090816, 0.1288565390928355, 0.1340765594643331, 0.11532291188443429, 0.08033995860232962, 0.07470532551181731, 0.10582277112573689, 0.11540450786745164, 0.11634454602521552]"
68,"[0.09800787059679025, 0.09372120936382632, 0.12120056941321487, 0.12255855484474323, 0.1179057655595315, 0.13077861641015368, 0.11034532460789383, 0.11207778575937767, 0.09764668817910081, 0.081134478434046]"
69,"[0.16537171651723886, 0.09081240068836344, 0.08823923549500712, 0.1323608708854099, 0.09283045852335843, 0.08902752343086627, 0.05861708815498718, 0.14051388504599768, 0.10063647061433899, 0.11331215130952657]"
70,"[0.11580608105884985, 0.09387339029088376, 0.08759865097895499, 0.08488579650706268, 0.14794458556390713, 0.12417579627234876, 0.1271675883071926, 0.08640498214088477, 0.06175819887925651, 0.1391398553295465]"
71,"[0.12269569028295413, 0.12646490420363785, 0.11157982800706683, 0.0986707855973456, 0.12721409173252451, 0.10788521501355353, 0.08366855869136272, 0.11278449785513156, 0.0922218570249415, 0.10152913668742147]"
72,"[0.11516015843945983, 0.07515484257656271, 0.09759740165946179, 0.14334866443587158, 0.1197861317394936, 0.10611522029704866, 0.10604237032086633, 0.11252897878482253, 0.13571461988273845, 0.06581851217650037]"
73,"[0.09039564975825033, 0.12657949773745727, 0.10764327076434946, 0.11114748883611839, 0.1345904980524926, 0.09182966639134703, 0.14870427162514818, 0.07483014884089619, 0.07992401636210361, 0.10864564194549063]"
74,"[0.08191112000058327, 0.13005247442961446, 0.08516641632672861, 0.10589647346051292, 0.11635926005806779, 0.16172816767982373, 0.10331582272185795, 0.08145856042447762, 0.1128144759616589, 0.09781107395058117]"
75,"[0.10695693819827479, 0.10818293108644643, 0.12679047967496296, 0.14216182738004243, 0.11806097058372521, 0.07298660105125689, 0.09712773703984162, 0.11459656741324363, 0.07765244718862234, 0.11583316484738032]"
