,roc_auc
30,"[0.6981156395466831, 0.6912141624112317, 0.7088784659120233, 0.7080566836056191, 0.6983560880620043, 0.6930594176588848, 0.6949330754462206, 0.705289386986507, 0.6933673902898044, 0.6883838756531145]"
31,"[0.6909163961999075, 0.7034098153946744, 0.70115701470981, 0.698976733555903, 0.6950314768122571, 0.70883026199335, 0.6979739436778756, 0.6950059613750269, 0.6902507246651418, 0.7004313981275406]"
32,"[0.6948396066839412, 0.690969531872628, 0.6968360240158081, 0.6963057877538928, 0.6943819344468051, 0.7088060563353684, 0.7017930602180492, 0.6985939620370897, 0.7010194889014185, 0.6988889890820977]"
33,"[0.6996541505434004, 0.6954965105753633, 0.6979214547431428, 0.7068672473912113, 0.6942882534920177, 0.7075003040378143, 0.7006129430367357, 0.6874642557393759, 0.6914446335450254, 0.7002490149190344]"
34,"[0.7012747779987575, 0.6936113451083292, 0.6990563916937429, 0.7023761360503716, 0.7095848314596906, 0.688166378059533, 0.6935050494722844, 0.695358999430233, 0.6981144925117879, 0.7009079743305238]"
35,"[0.6900340005958084, 0.699764626080142, 0.6945999271026982, 0.7020679599103694, 0.7014430167804085, 0.7036528417469706, 0.6978049058172469, 0.7082747098520839, 0.6865733765589073, 0.6974416461760764]"
36,"[0.705831679545863, 0.7054916558069257, 0.7020370817374402, 0.6955355981667225, 0.6968432330409479, 0.6994199608757778, 0.6951189882764494, 0.6860108138340778, 0.7027883532664657, 0.6920782368275147]"
37,"[0.6962821021198683, 0.6930463557413338, 0.7004069016889634, 0.7024842672873681, 0.6948980092764264, 0.6997645200764819, 0.7005438638085421, 0.7047783066991744, 0.6920300862466621, 0.697545850133003]"
38,"[0.6892369023324307, 0.6997650528631058, 0.6978796547903123, 0.6948962788735564, 0.7023052848899725, 0.6908568477324718, 0.7015551719044532, 0.7006131333100616, 0.7040521436275935, 0.7001859822229635]"
39,"[0.6925122409033745, 0.7011426867661729, 0.6952676466793953, 0.707901974764804, 0.6988030708241676, 0.7053906887666007, 0.6994072654183556, 0.6902047705357502, 0.7018185451985552, 0.6888198683310819]"
40,"[0.6995671082053105, 0.6973132366059908, 0.6999411881643889, 0.7027698864094437, 0.6969100583781112, 0.6970764439817128, 0.7083329628270622, 0.6935172587462921, 0.6898522639881508, 0.6961203672383013]"
41,"[0.6906893519033436, 0.7053623004573314, 0.690503077617505, 0.7010412634573198, 0.6939072605105153, 0.6973556040050558, 0.7046984121262279, 0.6992029475129562, 0.6982346748724594, 0.6993784413312659]"
42,"[0.7011156302902446, 0.6994425556104218, 0.6982257646061014, 0.6895451523407232, 0.6954065008046494, 0.7053170565548658, 0.6947272844991638, 0.6883681941654466, 0.7091068286018617, 0.7002329481471967]"
43,"[0.7021593740406126, 0.6917435376201262, 0.6949448650975526, 0.6990843679814268, 0.7044166457422306, 0.7031299606332732, 0.6903429011789959, 0.6967345495304579, 0.692797375763766, 0.7060196933620309]"
44,"[0.702924085773245, 0.6912442392628487, 0.7005252904804792, 0.6909726160662661, 0.6968042203074889, 0.6947925815193191, 0.6976497186577962, 0.7021557418403223, 0.6996757831055223, 0.7050220684665784]"
45,"[0.6942301071708711, 0.7054648265132286, 0.7039170538191166, 0.6976433973064385, 0.6953165632856879, 0.6953627112190579, 0.6926839485343042, 0.7076392102810842, 0.69674298418629, 0.6925680640205365]"
46,"[0.6978961226130603, 0.6965142523161617, 0.7050879817348119, 0.6914283115288838, 0.7068296097417207, 0.6944866544368298, 0.692330375735236, 0.6945934718062666, 0.6997834766411334, 0.7027549104898794]"
47,"[0.7045859536329382, 0.7022548577166076, 0.6894854811722384, 0.6868159171627097, 0.6918272202730827, 0.7001135569358962, 0.7159853347715538, 0.6991740205659028, 0.6987366679656376, 0.6928780068153624]"
48,"[0.7013221892713978, 0.698926305954065, 0.6962000808893615, 0.7015885244482388, 0.6910658066706642, 0.7047667531071357, 0.6919420178715103, 0.7052419271369749, 0.6992445413438263, 0.6917439676597757]"
49,"[0.698202335300629, 0.7100771804692182, 0.6929175702697494, 0.7037705826943582, 0.693549584975801, 0.6996144038478023, 0.6947351221876811, 0.6889305905990094, 0.7013067900350316, 0.6987399483879627]"
50,"[0.7006544479088695, 0.6937291161990878, 0.7035049487819279, 0.6958861194936024, 0.7014755364641491, 0.6906682307341829, 0.7033423970664604, 0.6964225837152053, 0.7041317274200005, 0.6919082039747757]"
51,"[0.6969615771757315, 0.6957880811650876, 0.702214274101082, 0.7031028167130424, 0.6907504947750391, 0.7065479301648873, 0.696219408033819, 0.6998156901666454, 0.6923633658081741, 0.6983540728864566]"
52,"[0.699398141003149, 0.7033781865493682, 0.7008668040067931, 0.6983522722227966, 0.6901454437305253, 0.7054838642627914, 0.6884529450400729, 0.7027786436204095, 0.6959218520776825, 0.6967327168294127]"
53,"[0.6924297509080158, 0.6917377807733699, 0.7007175409557032, 0.6954807514146036, 0.7013745126941279, 0.6953712296646923, 0.7068417696412469, 0.6978060197606281, 0.7019043524324602, 0.6979033568443125]"
54,"[0.7002321137008513, 0.6977024094476756, 0.6987719360453409, 0.7066709828007285, 0.6896305413306788, 0.7016767655317389, 0.6882049427710766, 0.6999085387913461, 0.696473468727804, 0.7022053159609845]"
55,"[0.6961754972259173, 0.6988316205978556, 0.7021457929815647, 0.6943986862715859, 0.6934539268029891, 0.7091601068330781, 0.6945669748891885, 0.6995856007857364, 0.6984813849202134, 0.6950006063519828]"
56,"[0.6916271203166089, 0.7022446980611327, 0.6925593375326714, 0.6958739581756953, 0.7027609408656004, 0.7054828142781139, 0.6978606129942146, 0.6966450430908212, 0.6976179972267876, 0.6982670524661119]"
57,"[0.6875862113893022, 0.7012591166228431, 0.7096790187648756, 0.6943140986143865, 0.7069288609418173, 0.698875228589324, 0.6958847181342722, 0.6968061573837588, 0.6850580924715265, 0.7047813722211358]"
58,"[0.7023515191126608, 0.7061303794911493, 0.6930065743559077, 0.6996789692431621, 0.7083227085068193, 0.6930098669053258, 0.6882812653740025, 0.6973936198472357, 0.6986934082098036, 0.6935424729559072]"
59,"[0.7035886326829832, 0.6909841389499025, 0.6907107163281258, 0.6941560597780574, 0.7069706574350341, 0.7054545320106002, 0.7001420084893193, 0.6952872353138623, 0.6993362231453817, 0.6947061225536826]"
60,"[0.6966276015959789, 0.700068638520091, 0.6984416911147415, 0.6993843615854006, 0.7012641666288363, 0.7028618910525974, 0.696147401314537, 0.6940576709070491, 0.6906157060253247, 0.7021624853338855]"
61,"[0.7011624694398275, 0.6955438164471724, 0.695088349604241, 0.69718989252938, 0.6983987748884235, 0.6920521861925714, 0.7023931511678808, 0.6995144136265057, 0.7011728549159275, 0.6997097631635786]"
62,"[0.6931768220286629, 0.69645356635562, 0.702524620681856, 0.7056203799258342, 0.6952550399390007, 0.6967316103767724, 0.6989354375657135, 0.6986151070202669, 0.696062370142782, 0.6984581991526971]"
63,"[0.6983330348100129, 0.6971969312146318, 0.7114543629243525, 0.695540336863207, 0.6930504971944803, 0.6957104231381519, 0.694878011891377, 0.7048390936956797, 0.6936546372853548, 0.6963633159051554]"
64,"[0.6966417426626947, 0.7014743652347055, 0.7016630942495693, 0.6846446491415661, 0.6985125594453645, 0.7026797989778351, 0.7036183074857544, 0.6991932534930767, 0.6928756302554637, 0.7000259786653377]"
65,"[0.6954255116546465, 0.6998555493885243, 0.6966011443334836, 0.691475551290948, 0.7036246558337871, 0.6993266698829835, 0.7060377936462428, 0.6986437986128514, 0.6996545196027234, 0.6907129591181443]"
66,"[0.6971808622130918, 0.6949235965289433, 0.6969223071200992, 0.6929068834366618, 0.7019829902980704, 0.6976336170962558, 0.7061640940481414, 0.7037881538787248, 0.6958231357209247, 0.6939141593218575]"
67,"[0.6933869806716969, 0.698820564060123, 0.7023685725690547, 0.6953446155456591, 0.702488687721879, 0.686689729870663, 0.7005683426140781, 0.7012674912923599, 0.69778446074763, 0.7030902028365508]"
68,"[0.6979240999991574, 0.6992840900334081, 0.7010143235621974, 0.6981884503798111, 0.7004874105599015, 0.7027555922390148, 0.6896761063613511, 0.6986520145845813, 0.7034796408667456, 0.6898351724662686]"
69,"[0.6974530872675674, 0.696429243907648, 0.6952323570409368, 0.703270026586478, 0.7020374558277, 0.6964149292729219, 0.7037293176058049, 0.6899320986341696, 0.6964441560335195, 0.7004988907552061]"
70,"[0.6961276479085127, 0.6959938156435775, 0.7047045023020305, 0.6958107694622928, 0.702850694758598, 0.6982955314009816, 0.6983257742171953, 0.6905071947690617, 0.696108461958542, 0.702936104365081]"
71,"[0.7008729492922642, 0.7054332294022156, 0.6935274776398799, 0.7063161753600801, 0.681802028238781, 0.7047341999479547, 0.7048933672644258, 0.7011912361805337, 0.6940414036597834, 0.688349520748883]"
72,"[0.7052222491012615, 0.7019868877715657, 0.7020846300252598, 0.6914348821422015, 0.7013604901420026, 0.6897894682331939, 0.6995133665973466, 0.6984546020639564, 0.6866921824554115, 0.7046407575383606]"
73,"[0.696764810147968, 0.7000145666625354, 0.7069149502827563, 0.6993711725193206, 0.6981473591973156, 0.701570534459906, 0.6952954194461426, 0.6945752312328983, 0.6878744489693136, 0.7005377397493062]"
74,"[0.6949639654909282, 0.6986519771666281, 0.6884048298491858, 0.6971270546448892, 0.6957118330365388, 0.6997658468865953, 0.6985193121274008, 0.7029582406809369, 0.6994273236973839, 0.7059480514146395]"
75,"[0.6888148143551905, 0.6993751979369235, 0.6902417821220922, 0.70302899089409, 0.6932625341442353, 0.7037875068133105, 0.7019830148171946, 0.7018716610691833, 0.7006967533130236, 0.6984798983725664]"
76,"[0.7015458348944957, 0.7037311294413952, 0.6968137277810034, 0.6978675961892241, 0.6975487052706143, 0.696336550022232, 0.6956732251838433, 0.6991936477443994, 0.700642331131104, 0.6926462378779719]"
77,"[0.7031617249781439, 0.6987358605027575, 0.6976192249187785, 0.6939623765093791, 0.6922908814961054, 0.7031203752813718, 0.6988613337206987, 0.6858072803694791, 0.7017294543463608, 0.7054811387393292]"
78,"[0.695438367888319, 0.7052603615473909, 0.7157943390265901, 0.7067472507856286, 0.6925930476629855, 0.6925748433588139, 0.690361043321924, 0.6981894046309673, 0.6947753334307026, 0.6886967172602301]"
79,"[0.6930385488095578, 0.6935914512076241, 0.7058540695397215, 0.6985976469409511, 0.6923971541718894, 0.6969612932344329, 0.6982377440059038, 0.7010198047410142, 0.6981856083727351, 0.7028638507077755]"
80,"[0.7030422198924619, 0.6882037729608597, 0.6978919726897873, 0.7105893475761038, 0.6989830562945957, 0.7007153621114217, 0.700596508508841, 0.6915426636441443, 0.7004425243259199, 0.6901262332054275]"
81,"[0.6999641898769041, 0.6999043434325057, 0.700119479466605, 0.693724255585168, 0.703155011376743, 0.6889446782710976, 0.6991036720231293, 0.6993199404566037, 0.696270675623203, 0.7012237489728474]"
82,"[0.6986280385777746, 0.6939356974072223, 0.6925390094473308, 0.7043530996000293, 0.6999942647320727, 0.6992260086736455, 0.7015683675430134, 0.690844221584542, 0.7048642781554744, 0.6962281769069436]"
83,"[0.7052011123041427, 0.6921619951046702, 0.7008486772551049, 0.6978365754313263, 0.6963373863157094, 0.6960363844094737, 0.7039364723549584, 0.6994168284770098, 0.6932612533551582, 0.6968151917206961]"
84,"[0.70149589683254, 0.6909987653087706, 0.6924187532600796, 0.7032592089911824, 0.6985564099592153, 0.702323524191903, 0.6956604238091554, 0.6879957482668958, 0.7080363105036768, 0.7016761959586609]"
