,roc_auc
0,"[0.6697093238411622, 0.6733471930717837, 0.6751321142184649, 0.6742062033111018, 0.6776135407572605]"
1,"[0.668999679561324, 0.6720628881239916, 0.6723645614527236, 0.6740913840217336, 0.6826190229049658]"
2,"[0.6722098069234402, 0.6778185994131392, 0.6759844302958625, 0.6686663394677902, 0.6753540817651195]"
3,"[0.6732966637369087, 0.6671346737146711, 0.6772805376414751, 0.6763070212492651, 0.676072902189104]"
4,"[0.6772071264773415, 0.67394943541796, 0.6739701358635652, 0.6701269173838273, 0.6747196038214613]"
5,"[0.6751564782990507, 0.6760657668512818, 0.6769313403389056, 0.6692992611053846, 0.6725008165214817]"
6,"[0.6779612836952045, 0.6745869748669555, 0.6721575955851445, 0.6739450424398192, 0.6710771563193768]"
7,"[0.67391967803086, 0.6761813779149981, 0.6801990428369997, 0.675560668624502, 0.6642858612080121]"
8,"[0.6687057432213356, 0.6728688844148859, 0.6766433398139571, 0.6763293328434886, 0.6755048822603947]"
9,"[0.6754484273327036, 0.6748929326510941, 0.6729652205365707, 0.67352060111056, 0.6731898764231686]"
10,"[0.6664778161953512, 0.6747750505422734, 0.6755050479714638, 0.6759016528992041, 0.6773677567801705]"
11,"[0.6697786241980158, 0.6742389896964056, 0.66778931012691, 0.6794876397514031, 0.6783930162519219]"
12,"[0.6759318092387849, 0.6745118533255247, 0.6757637643855783, 0.6780905275652793, 0.6658999174646963]"
13,"[0.6678305464496345, 0.6776328299665328, 0.6745898587878002, 0.6751077143151506, 0.6746470795048317]"
14,"[0.675539277081558, 0.6687173889953556, 0.6778960192385962, 0.6725649463207221, 0.6753958579691702]"
15,"[0.6752484777573956, 0.6771778310169566, 0.6693728051217309, 0.6760691629679708, 0.6722688588083267]"
16,"[0.6700162259079226, 0.6722951192264858, 0.6824742418767952, 0.6764198017890412, 0.6686399764830916]"
17,"[0.6749143152046989, 0.67409538610073, 0.6730539479194358, 0.6744400124722437, 0.6735123723267122]"
18,"[0.670580250911873, 0.6778487131761329, 0.6786377486983926, 0.6713267067614698, 0.6718542161909138]"
19,"[0.6708497312399144, 0.6741260514518899, 0.6783065336240248, 0.6716472013757429, 0.6751990198745392]"
20,"[0.6674526302438579, 0.6732283156073627, 0.6760037460962767, 0.6730732783361333, 0.6803340931648626]"
21,"[0.6794531526319, 0.665981072463177, 0.6755547726231913, 0.6697783604484759, 0.6793650196339759]"
22,"[0.6758657162649723, 0.6774756386887044, 0.6732763366915232, 0.6680698882905983, 0.6753959873775518]"
23,"[0.6695846830748726, 0.6727892105686509, 0.6711972749129405, 0.6768828227082923, 0.6797222128760614]"
24,"[0.6694805691060617, 0.6795718746074757, 0.6751175016718796, 0.6711924943774329, 0.6748156418680704]"
25,"[0.671112316715878, 0.6702943557285876, 0.674463555312326, 0.6814397072954951, 0.672766228571618]"
26,"[0.6794297839069144, 0.6775508986946545, 0.6718534106008326, 0.670232100289407, 0.6708480308335221]"
27,"[0.6709999822674618, 0.668361614628129, 0.6751002310605099, 0.6753540091147999, 0.6803806325054875]"
28,"[0.6774533720050965, 0.6733737339962028, 0.6710376117029594, 0.6789906218880973, 0.6692324035136783]"
29,"[0.6738140579766649, 0.674941665352086, 0.6711756301847132, 0.6755974784981162, 0.6748743444614097]"
30,"[0.6690160183745776, 0.6708832748371435, 0.6736698006468662, 0.6777618018968363, 0.6788838429458105]"
31,"[0.6694598368817143, 0.6725635202122515, 0.6779212072965662, 0.6746534681923051, 0.6756017750834196]"
32,"[0.6755440518375567, 0.6742192812015357, 0.6714442604314038, 0.6742600701175477, 0.6746205110559483]"
33,"[0.6720404738962239, 0.6731913444458085, 0.6754426515463291, 0.6769508461105948, 0.6720654220213925]"
34,"[0.6810967366881889, 0.6763905160865901, 0.6723550596088392, 0.669495091176832, 0.670828716064979]"
35,"[0.6703101985664737, 0.6746079386221381, 0.673118420177402, 0.6779326618264299, 0.6741939753541965]"
36,"[0.6791529048067416, 0.6658449050931499, 0.676053427619711, 0.6781269185643951, 0.6710388968448557]"
37,"[0.674668857335766, 0.6742073732528934, 0.674580100444069, 0.6768199529380311, 0.6698846989482006]"
38,"[0.6704470605290063, 0.6724245699323816, 0.6698147986211076, 0.6787058984749018, 0.67858163918464]"
39,"[0.6746263487284027, 0.6717473876375862, 0.6779607184875774, 0.6759824105403264, 0.669709222317833]"
40,"[0.6782785252026944, 0.6664844477378522, 0.6759970509962917, 0.6731103924329607, 0.6763264665613509]"
41,"[0.6767654507653855, 0.6756192925492706, 0.6750933362084318, 0.6744200540672759, 0.668023566900932]"
42,"[0.6719722460719159, 0.6681465814998798, 0.6757683654934507, 0.6761226040889508, 0.677919538227304]"
43,"[0.6732131117491837, 0.675533584146904, 0.6789362214538143, 0.6614225111918952, 0.6811292043704797]"
44,"[0.6619517379330987, 0.6735213984611352, 0.6811351742116998, 0.6744127493046796, 0.6792077714228425]"
45,"[0.6731031016887605, 0.6729686095124234, 0.6751078239099587, 0.6768435166151053, 0.6720770369912269]"
46,"[0.6726498085766612, 0.6702667513512639, 0.674631681882298, 0.67638061942843, 0.6759409385594886]"
47,"[0.6731270378912833, 0.6681796711150793, 0.6740672721285779, 0.6752512895091167, 0.6793099711246764]"
48,"[0.6718883921861412, 0.6801043035971049, 0.6708800356753607, 0.6754480038711723, 0.6718325414221473]"
49,"[0.6795046262493972, 0.6731682378954454, 0.6741624324368054, 0.6700898328011924, 0.6732316912227017]"
50,"[0.6777115504505055, 0.6827084705002205, 0.6721428706780073, 0.6647409711885633, 0.6727740157777422]"
51,"[0.6751810773153368, 0.6728712848448686, 0.675924975674281, 0.6699513476702382, 0.6759952389975291]"
