,r2
0,"[0.1842062142019607, 0.16885921639586554, 0.09826117791166189, 0.16915715237933893, 0.15587734009744014]"
1,"[0.1674854369592449, 0.18419873686948673, 0.1493659472304113, 0.15543098211705342, 0.12085554000658383]"
2,"[0.12435231885444031, 0.17566083830533263, 0.16833996079424363, 0.17600973653659102, 0.1378818276136784]"
3,"[0.10245837961544502, 0.17100942276466724, 0.12009688929788365, 0.16952011326146954, 0.2098515644972747]"
4,"[0.1741841834491762, 0.10213061092203557, 0.16759209974550815, 0.15380823235348529, 0.18036809824499433]"
5,"[0.1824880301012638, 0.16326535138291298, 0.12559657319522544, 0.11562889453110714, 0.1905513474838173]"
6,"[0.16097155004530017, 0.15818326144362083, 0.14878047356257995, 0.13040565023150852, 0.17719000118637607]"
7,"[0.17887171947318625, 0.09456981830110311, 0.15129135699431695, 0.14867223225768422, 0.20237518049281134]"
8,"[0.10954161898107462, 0.13048207058887928, 0.1979110157559505, 0.1332305356446557, 0.19575098962815407]"
9,"[0.18781676713303863, 0.19537285482720257, 0.15601801863674047, 0.11502145886996096, 0.12415550023641653]"
10,"[0.15232122394365655, 0.1647173480387072, 0.15498200994815392, 0.11358859707755287, 0.18147270201380128]"
11,"[0.16774094164431919, 0.1263158586802604, 0.1364710916375339, 0.1449338481795801, 0.1976370981031239]"
12,"[0.1859675542339424, 0.13705172666464083, 0.1442072665099533, 0.13433092253234413, 0.1725209951495471]"
13,"[0.1485325673505471, 0.15154296035005443, 0.17218825171778795, 0.1344251903751954, 0.17241619802639474]"
14,"[0.17460373850618627, 0.15481341586989816, 0.15711141412287966, 0.1870977883792585, 0.1003910922250395]"
15,"[0.20391065439566225, 0.13606389253774964, 0.16474593126604664, 0.11963644630306491, 0.14831265877299493]"
16,"[0.18799424659046537, 0.1512202299263491, 0.18220627652354238, 0.13503934584704647, 0.12088629824671704]"
17,"[0.1711253842164524, 0.14838856760589847, 0.13067534489651367, 0.16206416276693947, 0.16326229890469945]"
18,"[0.12904380615710676, 0.15752792020826378, 0.19245650405397918, 0.12570350817069187, 0.1717660033178865]"
19,"[0.15031192271331384, 0.14513995201502994, 0.15867986853370564, 0.18826013547403087, 0.1421805165424127]"
20,"[0.18105836158126565, 0.22493493091627925, 0.12009620183645053, 0.10509898097498893, 0.14213903587690124]"
21,"[0.13419280844548176, 0.1700033030844027, 0.15922769521648128, 0.13988162281459948, 0.1774846532793093]"
22,"[0.16313879377105311, 0.14665316708070208, 0.15273526116867064, 0.17009733527214155, 0.1422551434102557]"
23,"[0.13040233851682237, 0.12989575545862153, 0.1742269481616423, 0.1608959000422775, 0.17730069873360588]"
24,"[0.16842194208064787, 0.13109041375622477, 0.13172957686976317, 0.18834195383629826, 0.16012000025272466]"
25,"[0.1534038364376451, 0.18166584979332012, 0.10696341971235479, 0.15807478560522936, 0.17690428874443453]"
26,"[0.09958680516080953, 0.14766024632579455, 0.19328500933398418, 0.15162647256213424, 0.17842226961471186]"
27,"[0.1538676437251476, 0.10447002566451802, 0.16280826659662484, 0.17485189119896216, 0.1864702430600622]"
28,"[0.16770092464993902, 0.13614775650233968, 0.1712245106705319, 0.14776901128641706, 0.15695300487484554]"
29,"[0.19584067816172102, 0.1491072181798364, 0.1141445735659794, 0.1732804913180077, 0.1472411023847272]"
30,"[0.16696994868144277, 0.19381410198375648, 0.15789787296321167, 0.1372613427799363, 0.11574558834968551]"
31,"[0.1258538266903958, 0.17373967154341163, 0.14455816597973203, 0.15680926844504095, 0.18171332295843612]"
32,"[0.173505483411603, 0.15568050438409553, 0.15193936393061602, 0.16957361939419413, 0.13059092346170786]"
33,"[0.12202442082171927, 0.13727428036719425, 0.1859417124211622, 0.2009455698365451, 0.12855984118320274]"
