,imv
0,"[0.13786042214797978, 0.13087330834831645, 0.09408982323215044, 0.11431231769471328, 0.12210049759613689]"
1,"[0.12072812633027181, 0.14357557026026221, 0.10984466335288612, 0.1168458856079152, 0.10633745838846197]"
2,"[0.10689205747467327, 0.12318861985042379, 0.12731175486961024, 0.13033364467409195, 0.11356878721442934]"
3,"[0.08929701946542767, 0.1325186970622746, 0.10478296843013676, 0.12449012425113441, 0.1456412861952453]"
4,"[0.12445870968151661, 0.09722330518966246, 0.11693870772356871, 0.12621066521742041, 0.12954091512107763]"
5,"[0.13489419482909348, 0.126628461889968, 0.09753012360284868, 0.10410056616196714, 0.14031867976356668]"
6,"[0.12963440365718737, 0.12098556211295475, 0.11085048493886923, 0.10122179558365071, 0.13568087109277524]"
7,"[0.13634712656023448, 0.08605459090076968, 0.12611979224525466, 0.1077257074088841, 0.14196062583311905]"
8,"[0.09091255905855279, 0.10921594837502652, 0.1409147779830321, 0.11411561823392066, 0.14046339326906224]"
9,"[0.13648988189952685, 0.1427359033464992, 0.11412441161402474, 0.1027761446491337, 0.10485603122841629]"
10,"[0.11916368892285864, 0.10943117079179725, 0.12485655633931628, 0.10114635189033826, 0.13552769908082132]"
11,"[0.1330237558943164, 0.09405712190844505, 0.11119294238111302, 0.11025055207711619, 0.1445388708997624]"
12,"[0.13647683265660523, 0.1135084976073644, 0.1179706412384745, 0.10394178029565308, 0.11922471407398774]"
13,"[0.11545961142936108, 0.1161160453062338, 0.13148984603712907, 0.11195425276644688, 0.12879628111433913]"
14,"[0.13636968600454158, 0.12164050965590648, 0.11661936843399255, 0.1268053784316576, 0.08688612564324841]"
15,"[0.1499348964915664, 0.10689177549063845, 0.12624095836679622, 0.07592509434534353, 0.1257544904535623]"
16,"[0.14114779245405473, 0.11963083607013222, 0.13549628674745678, 0.09409992323836226, 0.10705621619403437]"
17,"[0.1289289129789938, 0.11867849169866114, 0.10879003295109795, 0.11786101785006242, 0.12476211345810755]"
18,"[0.1098456132947156, 0.1294823199212845, 0.1298899093285857, 0.1030538955150442, 0.12443613580299048]"
19,"[0.12274347361749967, 0.11913227890302097, 0.11908778862609, 0.12892713166807585, 0.11392398770752651]"
20,"[0.13471261072243515, 0.15540829433290462, 0.09292207542011151, 0.0918496222675588, 0.11837402513164186]"
21,"[0.10596958804400826, 0.12325770853144424, 0.13335044989781422, 0.10767807234226058, 0.13189481433994812]"
22,"[0.11619797746174472, 0.11829596529070781, 0.11464519543536968, 0.1316864953798037, 0.11482653331001866]"
23,"[0.1153266303432727, 0.10639608746748275, 0.13233229836894958, 0.11105136097824432, 0.13114310396664716]"
24,"[0.12819375183645007, 0.10748779948859967, 0.10925434081682041, 0.13466210377995375, 0.1235736236595932]"
25,"[0.12560847897808264, 0.13375183163263937, 0.08168366944353343, 0.12665519905826172, 0.12638768557576677]"
26,"[0.08471331809691149, 0.10333902360236284, 0.15029943378773125, 0.12147458878874046, 0.13265500874368885]"
27,"[0.11877960908774451, 0.09598453366551817, 0.1288600403207169, 0.11503123049185285, 0.1408683203693366]"
28,"[0.1208497698516361, 0.10314790127010547, 0.13223941224385607, 0.1170002065719503, 0.1234717842916879]"
29,"[0.13952762040525415, 0.1128427077929245, 0.08842515853507679, 0.13022258861569602, 0.12320237720112112]"
30,"[0.13408711539533835, 0.12533008433858528, 0.1192777246922809, 0.11970917562908014, 0.09747040329717122]"
31,"[0.10093086381581355, 0.1292499967030365, 0.11630484947966227, 0.11976370251531586, 0.13655449310301368]"
32,"[0.13607603946684796, 0.11166467744025867, 0.12547927725202865, 0.11897015108097993, 0.10737301810775694]"
33,"[0.09075637751759412, 0.11237142035033791, 0.14169002483820406, 0.13884510612582038, 0.10951634681517164]"
34,"[0.12019837581132643, 0.11826588776976278, 0.12893938512542397, 0.11199483604388939, 0.12702762038621895]"
35,"[0.11170687471344598, 0.12714512982083953, 0.13592063085764197, 0.10008077973491572, 0.12136121227058011]"
36,"[0.12953737386760822, 0.1247552053656148, 0.10529232681044486, 0.10526401578075767, 0.12854364533173004]"
37,"[0.11890559694554517, 0.12688185567135132, 0.09409742505068419, 0.1391514883662592, 0.11999882797249953]"
38,"[0.09936107309555262, 0.12788540932027936, 0.153026726459728, 0.10596434110636262, 0.10700382337823694]"
39,"[0.11794714246492866, 0.09227628455421161, 0.14173064994140014, 0.13198754296927337, 0.11495095722594621]"
40,"[0.10100146338964279, 0.15023284914577553, 0.10054666378875961, 0.12254326773110187, 0.12338466301796469]"
41,"[0.11927308149125826, 0.10506585565493576, 0.1245638412362672, 0.12196212221821684, 0.12855576999830878]"
42,"[0.11511441865478987, 0.1371731366948177, 0.11645958041407581, 0.11736009769712348, 0.11733511080832866]"
43,"[0.11548799110992741, 0.11036003670412156, 0.12113165756043015, 0.121595663907249, 0.13085837646133086]"
44,"[0.12099765184114922, 0.10011654803198784, 0.12054278181423042, 0.12458241617701252, 0.13311247971610102]"
45,"[0.11511341568347049, 0.13862646629796238, 0.12497575201197703, 0.12011989843812566, 0.10513483126240525]"
46,"[0.10730588842278878, 0.1403532318797174, 0.1179853098074712, 0.10849137475073967, 0.11753167033053405]"
47,"[0.1113055903824292, 0.11235917402582465, 0.09886422916415835, 0.13990238846709357, 0.13533188111856137]"
48,"[0.12536796343753145, 0.12317299920692469, 0.1309037090306055, 0.11567766144227955, 0.10889432540671083]"
49,"[0.10482429985932543, 0.10839168134191013, 0.12958374652485302, 0.13184044085822552, 0.12033456216996166]"
50,"[0.09020251748682467, 0.14375578799329083, 0.10629084007036298, 0.09626471759663187, 0.15158277779323906]"
51,"[0.11556009342404763, 0.12845544430400646, 0.12311637544380481, 0.14659683523398093, 0.08573783942008618]"
52,"[0.1277034196865762, 0.123343858460973, 0.10463105841728328, 0.09427218150709332, 0.1373323006021505]"
53,"[0.1315526592740757, 0.10856365959053625, 0.10126276468704103, 0.12984935918430657, 0.12602920642615556]"
54,"[0.13726323448823669, 0.11634940990227674, 0.09702864471609608, 0.1506840349297998, 0.08477181791233965]"
55,"[0.10356786492571728, 0.13235263027065325, 0.12355273932109086, 0.13205055979916022, 0.10746643459932542]"
56,"[0.11782007111190737, 0.11940804392758148, 0.1305180377824235, 0.11039059521316269, 0.11487363198209956]"
57,"[0.0840584774833936, 0.1321604909173744, 0.1400546753303701, 0.10213742057757604, 0.12865590446521738]"
58,"[0.13334191914999063, 0.10572561950167038, 0.13236872076530629, 0.1133028747948626, 0.11411812923833572]"
59,"[0.11616559854203701, 0.12423126581247149, 0.13014812019779984, 0.11104027599767793, 0.11836708996473672]"
60,"[0.10749098235578099, 0.13425200265247664, 0.08201850378822631, 0.12089856867122603, 0.1494316552099591]"
61,"[0.13231915978778322, 0.11610642909151345, 0.10436809882718111, 0.11985118341101406, 0.1229896745054897]"
62,"[0.13047382176818104, 0.12090785770991079, 0.12132912719412525, 0.12009393505084753, 0.09514825957146632]"
63,"[0.10957838838090918, 0.11426975792021837, 0.11313068286071078, 0.12830440489037728, 0.13559162540880088]"
64,"[0.14308593162791247, 0.06329429451521579, 0.10898590944208283, 0.12943011900059778, 0.14683054023425332]"
65,"[0.12012166867117906, 0.10771101004536353, 0.12148607712371268, 0.13064259075546536, 0.11776316628004217]"
