,imv
0,"[0.12574889299379002, 0.117406683520826, 0.07456555659482099, 0.11684750441992887, 0.10655756092504856]"
1,"[0.11754199262665516, 0.12619303623207215, 0.10386685093046406, 0.1083977458669157, 0.08615641475553984]"
2,"[0.09214676140723434, 0.12094563645639142, 0.11320947833261917, 0.12023124736627913, 0.09958870201751184]"
3,"[0.07467680985650331, 0.11924638382171412, 0.08772776710775015, 0.1170718314794899, 0.13809459421080658]"
4,"[0.12023838262625094, 0.07651958665354623, 0.11573976937542978, 0.1086364110108132, 0.12175453497041458]"
5,"[0.12242071162970193, 0.11333730401967068, 0.09094776124764162, 0.08492071244780171, 0.12985452704522465]"
6,"[0.11298383704382617, 0.11156095815952576, 0.10391498096432825, 0.09439343974206861, 0.11977214456531304]"
7,"[0.12420088658673219, 0.07074581463340959, 0.10840547424009447, 0.10209241287784475, 0.1342357190622227]"
8,"[0.08118292778651925, 0.09406504631582174, 0.13222387199996696, 0.09601264094168882, 0.13110603299592816]"
9,"[0.12811083095745585, 0.13199914236799357, 0.10781723083436158, 0.08467715072450861, 0.08804789455849125]"
10,"[0.10671019654981795, 0.11433287548198065, 0.10795749134209057, 0.08264072688305997, 0.1249228044160855]"
11,"[0.11743498090132602, 0.09000017173062744, 0.09816939732655956, 0.10108408113860629, 0.13246496872827618]"
12,"[0.12726053657996883, 0.0979594776735294, 0.10028903538662243, 0.09730552334342282, 0.11772545127948181]"
13,"[0.10456665377642925, 0.106027607639313, 0.11824944679930097, 0.09757702738140009, 0.11861659414588961]"
14,"[0.12100283236861785, 0.10874733576858377, 0.10913202514602866, 0.12698588405524952, 0.07203667073234234]"
15,"[0.1354739572404124, 0.10023248126613812, 0.11295866523787276, 0.08572823518389516, 0.10460781399018267]"
16,"[0.12833257449236024, 0.10573493177802054, 0.12333121122134895, 0.09638726689715707, 0.08799152542097015]"
17,"[0.11641191849702837, 0.104655346802734, 0.09468462040952799, 0.11323744645352585, 0.11395293870009852]"
18,"[0.09369553941288339, 0.10919847740575166, 0.12896999380544702, 0.09078171670803094, 0.12008826444486949]"
19,"[0.10429134512311304, 0.10236296336188963, 0.11142256732907083, 0.12863727460894378, 0.10067596196370122]"
20,"[0.12397506089256681, 0.1472056220555173, 0.08797069251687997, 0.07560957463430147, 0.10136206878406434]"
21,"[0.0950347930419765, 0.1163668545116508, 0.11207798347474471, 0.09941617223110871, 0.12227170077638123]"
22,"[0.11314194257107935, 0.10214604467774674, 0.10779272964915203, 0.11735964170056794, 0.10226894689746167]"
23,"[0.09531438295228126, 0.09474432511433276, 0.12059732966005655, 0.1081722519597342, 0.12169638230133323]"
24,"[0.1160356240383448, 0.09337686666839609, 0.09473009063168525, 0.12757246037047537, 0.11251413416673059]"
25,"[0.10766123958512479, 0.12522425855287828, 0.07656567134290625, 0.11009798216527998, 0.12144348460915638]"
26,"[0.07305627340346586, 0.10349235770607987, 0.13166083792189734, 0.10544977087730249, 0.1227382729094807]"
27,"[0.10763238218927595, 0.07732132128551839, 0.1141631503761287, 0.11939498535609591, 0.12686896049097462]"
28,"[0.11537347428087955, 0.0964275888038474, 0.11888544647395571, 0.10443145304079558, 0.110217856633232]"
29,"[0.13254735043678517, 0.10494124096410842, 0.08145568609360877, 0.11989007647564252, 0.10415499704169696]"
30,"[0.11502963840338801, 0.13231511586999561, 0.10978826456668517, 0.09783517015332445, 0.08324314564740333]"
31,"[0.08914509249673577, 0.1201524111046675, 0.10365252605957054, 0.11083713109065484, 0.1227738290179426]"
32,"[0.12056089258558995, 0.10823595984736506, 0.10747462923741595, 0.11879802777896238, 0.09096580753082471]"
33,"[0.08753280609171969, 0.09698459327219154, 0.1249731002620826, 0.1358504538936778, 0.09419297315198012]"
34,"[0.10498959037783338, 0.10995724042052657, 0.11964096104616058, 0.10675788554868754, 0.10726507194397371]"
35,"[0.10868459549637825, 0.1168481166005376, 0.12790423265686318, 0.0905871095166242, 0.10031623050070433]"
36,"[0.12435686894100459, 0.11287420354457438, 0.10130734648331279, 0.08826917697339201, 0.11499495111870461]"
