,r2
0,"[0.03508762026634038, 0.037628410686367686, 0.043994426861651004, 0.039794865663741574, 0.03915195288221096, 0.0385691998468517, 0.036070559416337966, 0.03743962644781973, 0.032087290398053914, 0.04439127196783088]"
1,"[0.043880679347174656, 0.037084882850447975, 0.04084736237254516, 0.035484471444752974, 0.03736819013942094, 0.04331825745389084, 0.03756322145063118, 0.03430968390513445, 0.03864012362298552, 0.03622059765346142]"
2,"[0.033530245429684524, 0.034689404368170806, 0.035835511885400684, 0.04097067956992129, 0.04063302340374453, 0.04071857426584402, 0.04248562033470993, 0.03705492561982149, 0.03892242819875569, 0.04007116891854068]"
3,"[0.038858374642015026, 0.039971860201341136, 0.04298335580478485, 0.03647230180332617, 0.03477388997899589, 0.04168958002265355, 0.03757245603848203, 0.038451001008585006, 0.03609203755325474, 0.03798771193603023]"
4,"[0.03706952060957924, 0.039661256167973, 0.034321925100576633, 0.042864131484044554, 0.033723332559125296, 0.03931261597184721, 0.03928351130781671, 0.04307796239976436, 0.03725834192470978, 0.03823294305861391]"
5,"[0.04415268974826747, 0.03981402698266345, 0.032133433306320236, 0.0361285744970119, 0.03894879559992548, 0.039239452597907176, 0.03878956406348577, 0.04363519160652507, 0.03462664142481875, 0.03602314659620842]"
6,"[0.04109956883484378, 0.031014712259736732, 0.03932086621170516, 0.03817977192919941, 0.04028711181197542, 0.04186937889864739, 0.040600036035298825, 0.035930524562595156, 0.04011154292921704, 0.0362627484742003]"
7,"[0.03534391062310149, 0.0344666320228304, 0.036670340232661136, 0.04308079511172325, 0.038695860806491233, 0.037114934359918084, 0.04212753874838904, 0.034068365867562345, 0.0380644873776681, 0.045101177699795714]"
8,"[0.0395038088990336, 0.046400340672515195, 0.041098215594786436, 0.037081965385376336, 0.04114209044542805, 0.036290539281745415, 0.03543606996370052, 0.0378910711523649, 0.03486659620149879, 0.034791587616890385]"
9,"[0.03967127949092075, 0.03750878456622597, 0.04635749184860738, 0.03613334549128511, 0.035451337683080064, 0.03703661258670232, 0.034577762134940127, 0.036411728410819966, 0.04001605802420605, 0.040991331325623936]"
