,roc_auc
30,"[0.6698780916607515, 0.6682110605675767, 0.6695248936415442, 0.6721835713019364, 0.6737046063141383, 0.6735222190336542, 0.6805526982431023, 0.6749687919133234, 0.6763287741577136, 0.6813203764348138]"
31,"[0.6630721928216398, 0.6757548981165357, 0.6738286342046876, 0.6712463390208141, 0.6782095471730819, 0.6776350238346922, 0.6778049266093558, 0.6715182243186589, 0.6736483486415991, 0.6777510217580734]"
32,"[0.6744647674443458, 0.6766351556529144, 0.6769141003713228, 0.6716472233124349, 0.6666847911425711, 0.6761194048281062, 0.6723156800726168, 0.6758810370235239, 0.6719086522922725, 0.6775799264194673]"
33,"[0.6763793367791054, 0.6678592562732009, 0.6696777357715269, 0.6767549705902269, 0.6696443862516155, 0.6813005564603013, 0.673354699664647, 0.6808617101913466, 0.6766168441376236, 0.66793096497008]"
34,"[0.6851538923720106, 0.6770959791919334, 0.6755693375016633, 0.6771107699264654, 0.6738333737770792, 0.6708822363532503, 0.6679720390288715, 0.6706700042941253, 0.6760689612037845, 0.6657907336791923]"
35,"[0.6753805082161759, 0.6653382713624559, 0.6801165985654277, 0.6693201886044736, 0.6752779491358172, 0.6708215117169402, 0.683835855424447, 0.6722290784606065, 0.6754451903072098, 0.6730331838305651]"
36,"[0.6832886527246121, 0.6750320406897192, 0.6612352725732623, 0.6704753912775779, 0.6759936472660231, 0.676027418989222, 0.6782130428347118, 0.6781785628995461, 0.6742669831356692, 0.6676949811089382]"
37,"[0.6766845034995567, 0.6727677780770226, 0.6772221544174839, 0.6711827769968178, 0.6812735853879092, 0.6678683359137975, 0.673004366272048, 0.6804761750321543, 0.6721580153238643, 0.6681113612391282]"
38,"[0.6662193960045114, 0.6749421295487116, 0.6682420584605734, 0.6765568119740266, 0.6646396928945948, 0.675000865743731, 0.6810288300561672, 0.6766026823183208, 0.6796711052935083, 0.6775600574884696]"
39,"[0.678673516807568, 0.6706151541852812, 0.6785040089972699, 0.6650604207407393, 0.684212211066996, 0.6718698288609415, 0.6743608282586162, 0.6776884484399625, 0.6783705418387824, 0.6609474921421671]"
40,"[0.6708515880264165, 0.6856709461252444, 0.6692385989540727, 0.6637041040284204, 0.6775943788235614, 0.6743833639265769, 0.6809459919551841, 0.6652914249567978, 0.678842972791, 0.6738092620045946]"
41,"[0.6815912593132825, 0.6718975807824249, 0.6781226368532914, 0.6731002245776465, 0.6687597659479303, 0.681435212070169, 0.6750935325556597, 0.6734038795379386, 0.6627538663531863, 0.6736839265171272]"
42,"[0.6674811210210949, 0.6765615606260587, 0.6648871811981563, 0.6713855843890034, 0.6641617860117932, 0.6874880046598169, 0.6748183104898958, 0.6775051849741609, 0.6794052885163155, 0.6765137164381738]"
43,"[0.6791747810658042, 0.667186005462784, 0.6718178433787056, 0.6792442766349305, 0.6871662812147376, 0.6705653977548118, 0.6648511895028314, 0.657919841809417, 0.6820500998251424, 0.680355958960807]"
44,"[0.6634315786159138, 0.660509101077628, 0.6775586685970951, 0.6693745665720063, 0.6761164857236542, 0.6861631988401886, 0.6761087589495065, 0.6726378665793665, 0.6724159526507071, 0.6859476347443232]"
45,"[0.6715579795250111, 0.6748112238304101, 0.6758243573670997, 0.6701949892768537, 0.6780283266264148, 0.6721423043354249, 0.667674390250834, 0.686066291836101, 0.6656748081174452, 0.6785167226732851]"
46,"[0.6740565513429435, 0.6713798006579434, 0.666672769698421, 0.6739626814786355, 0.6724751911986178, 0.677073797629956, 0.6776904822794562, 0.67506523131592, 0.6771611756419675, 0.6748882425993659]"
47,"[0.6800862044685307, 0.6661017511013014, 0.6744579940324609, 0.6621953810088674, 0.6721737879891936, 0.6760438531387021, 0.6756319824819594, 0.6748902167036006, 0.6756207272034195, 0.6829514680719403]"
48,"[0.680659229666222, 0.6631724411334666, 0.6817231955707914, 0.6783765717016766, 0.6692883326854405, 0.6727177492573354, 0.6781508518364453, 0.6726448034247823, 0.6780756414880792, 0.665671819830223]"
49,"[0.6753958755078857, 0.6835888438020166, 0.6791762201888388, 0.6671781334143867, 0.6734833354727993, 0.6748457491637787, 0.6654307702010336, 0.6747512074060666, 0.6747368254500196, 0.6717520805745419]"
50,"[0.6772352835777865, 0.6780586163074448, 0.6796535595941031, 0.6859329709334011, 0.6707688634209409, 0.6732252466888411, 0.6543659479047631, 0.6751259377929492, 0.6712562247203617, 0.6742538582875359]"
51,"[0.6767374832024379, 0.673598433536822, 0.6770743787269541, 0.6687395228892201, 0.6710717783905243, 0.6807795712226893, 0.6697264344238665, 0.6703440361170669, 0.673376895900208, 0.6786142007841266]"
52,"[0.6856114109218524, 0.6756897834739972, 0.6715531945544164, 0.6739656187423685, 0.6778960271832818, 0.6741946163578552, 0.6629427171467324, 0.6664457196658423, 0.676694644059205, 0.6751733787896931]"
53,"[0.6711506441487465, 0.6728540528219713, 0.6760708105916332, 0.6665399118573914, 0.6756767087915381, 0.6741623518549951, 0.6682906027590231, 0.6781670226763481, 0.6739257325427348, 0.6831659026582056]"
54,"[0.6687158885847472, 0.673228106775629, 0.6801136340627728, 0.6712223733094594, 0.6685591739880501, 0.6743579227736255, 0.6787761258259499, 0.6733524706128807, 0.6770030961562161, 0.6751150481497543]"
55,"[0.6746564023387773, 0.6654979867803702, 0.6754303781421527, 0.6742498977496274, 0.6731895500818357, 0.6795935295502986, 0.6596326978486827, 0.6742359559614914, 0.6809817326456263, 0.682765199682257]"
