,roc_auc
0,"[0.7603469899665553, 0.731825994054255, 0.7528799702712745, 0.7277832145020737, 0.6976792954005313, 0.6977608462649704, 0.7524581760566661, 0.7002073721981452, 0.7426138217065101, 0.6731324852043431]"
1,"[0.7511728911185434, 0.7334401709401709, 0.741905890003716, 0.764434503005732, 0.7036092082576075, 0.7218300013980148, 0.7017218882520155, 0.7370101123071905, 0.6833729437532039, 0.702863600354164]"
2,"[0.6746910999628392, 0.7525780379041248, 0.7612760126347082, 0.7187660189198006, 0.6891630551283843, 0.7377324199636517, 0.7347849387203504, 0.7350994920546158, 0.6831399412833776, 0.7513980148189571]"
3,"[0.6844458379784467, 0.6805439427722036, 0.7546218877740619, 0.7428235239293535, 0.6773148795377231, 0.7225406589309846, 0.7060091336968172, 0.7467729157929075, 0.7382450253972692, 0.768663497833077]"
4,"[0.7266815310293571, 0.7593366778149386, 0.7029566146413972, 0.6804604128803765, 0.7354489957593551, 0.7236474206626591, 0.714373922363577, 0.7325364648865278, 0.7335150752597976, 0.7297404352486137]"
5,"[0.7626579338535859, 0.7054533630620587, 0.7163577666295058, 0.7388974323127826, 0.7074886993802134, 0.7015471363996457, 0.6900717647607065, 0.7040752131972599, 0.756256116314833, 0.7521669229693835]"
6,"[0.7319769602378298, 0.7394439799331103, 0.7356582125603865, 0.7320937601938582, 0.7325597651335105, 0.6943007595880516, 0.744722494058437, 0.6762896686704879, 0.7412507572580269, 0.714595274709912]"
7,"[0.7353446674098848, 0.77936872909699, 0.6774201040505388, 0.6917027820494899, 0.7472389207325596, 0.7322918122932103, 0.6881494943846403, 0.7098303742019667, 0.7227853115243021, 0.7637937462137099]"
8,"[0.7128042549238202, 0.6801723337049423, 0.7230815681902638, 0.6927978936576727, 0.7320238594529102, 0.7734866489584789, 0.7087702129642575, 0.7159000885409386, 0.7674984854839462, 0.7256978423971294]"
9,"[0.775722315124489, 0.7302698810850985, 0.7602657004830918, 0.7586560417540426, 0.7379188219395127, 0.695069667738478, 0.7224358078195628, 0.678934246703015, 0.6840486509156997, 0.7014073349177502]"
10,"[0.7268208844295801, 0.7328479189892233, 0.7476658305462655, 0.715503984342234, 0.7014073349177502, 0.7324432638985974, 0.6776993336129363, 0.7059508830793606, 0.774430308961275, 0.730054988582879]"
11,"[0.7628553511705686, 0.7207125603864735, 0.7275873281308065, 0.6706859592711683, 0.7579220839740901, 0.6775012815135839, 0.7143855724870684, 0.7000675707162496, 0.7266065520294516, 0.7737895521692529]"
