,r2
0,"[0.030368321981797064, 0.031063684711015727, 0.03252847769146738, 0.028243535603871273, 0.033667070699777035, 0.03590791801924831, 0.03224463688676149, 0.034407713866600576, 0.0338457205963153, 0.031271562009115406]"
1,"[0.03298168304124449, 0.030972994985514424, 0.0312355852288545, 0.02852795704154687, 0.03178683817052985, 0.03520476243690096, 0.03352937093707842, 0.028266242267527053, 0.03434173094577786, 0.03659810836194144]"
2,"[0.03333861397832616, 0.0316808925720784, 0.03704712707142077, 0.03256588065014976, 0.03327226403648176, 0.03553699604222993, 0.030771538635267603, 0.025941631912668517, 0.029974159552695223, 0.03314385419702326]"
3,"[0.03351720824208837, 0.028553154334138853, 0.0328710435988232, 0.029320702711486457, 0.028380240417170355, 0.03635163311632783, 0.03370088303390706, 0.03186967094288329, 0.03617235224473314, 0.03254284015310316]"
4,"[0.028099761198156936, 0.033716761305570775, 0.033273979680879306, 0.02952654396460641, 0.03644820480130462, 0.0315167264790458, 0.032767484313135364, 0.03164358410949497, 0.035292047714621244, 0.031327555157256604]"
5,"[0.031783706023545966, 0.03548040104871897, 0.032805900735611515, 0.031289571908778235, 0.03394619047617986, 0.02972464617946391, 0.029984066844166435, 0.030464475296769655, 0.032883797815027704, 0.03502112358099285]"
6,"[0.030627491314690447, 0.03360577493838923, 0.03256927772905016, 0.0349567954114417, 0.03061004842144799, 0.030328034387692937, 0.034394125150395194, 0.0319798982773396, 0.028148516184330008, 0.03599622221530252]"
7,"[0.02965945784118118, 0.03207176145958979, 0.03670171036489922, 0.0307321240527052, 0.035513409416305874, 0.03151864311889163, 0.03681490462968173, 0.03100841450622238, 0.03020148356110841, 0.02910760471478646]"
8,"[0.030834670775184536, 0.03075281793020268, 0.02941939094570778, 0.03156239703240893, 0.033145877593476314, 0.03167049623279983, 0.03520391619909513, 0.03368077818154347, 0.03484961009779619, 0.03227152286424673]"
9,"[0.03201908185340396, 0.03315343859838171, 0.034998943937985194, 0.0270945249225224, 0.029606455313668234, 0.03829314362088876, 0.03095151246014627, 0.029314132065027088, 0.0299832289820402, 0.03776040729119012]"
10,"[0.028130104908486553, 0.03127962895284886, 0.034351706515623914, 0.030179653194459477, 0.030866414126837438, 0.032693140041123114, 0.033775749417315204, 0.03226479465285215, 0.03556867939023589, 0.03408997343296627]"
11,"[0.032630218960827184, 0.02852852721967114, 0.031483599237377424, 0.029202268932545294, 0.0300400656901737, 0.03065006836902484, 0.03367032957198368, 0.03748392519369481, 0.035159090547378535, 0.034538898700062326]"
12,"[0.03365878981203452, 0.03233150745289315, 0.033017839767583435, 0.03335121920611961, 0.03483893645772396, 0.03294982574892369, 0.03175547062549955, 0.03310305189373541, 0.030578041074842854, 0.027979689693069854]"
13,"[0.03205252533448477, 0.029357325601550466, 0.03193861148879107, 0.035846459620769155, 0.033693505993359074, 0.027836413113601854, 0.03305224543983176, 0.03602340483963129, 0.03239522392014138, 0.03106509201765273]"
14,"[0.03563561966203166, 0.029574285266326883, 0.032885593985744865, 0.03268774463056712, 0.030040963066889526, 0.03366118184821487, 0.03322278418819247, 0.03299737605401942, 0.034473152078909886, 0.02820258282926591]"
15,"[0.03564728862147171, 0.03335073518440712, 0.03477540971568771, 0.032494485493280156, 0.029920168229302324, 0.03152439202597579, 0.0296278459061724, 0.03311134658763859, 0.031919587086484014, 0.03111021434401462]"
16,"[0.029531746877179965, 0.029744418618661173, 0.02902602153114897, 0.035444628692150704, 0.03965945918541669, 0.03004985388273307, 0.03145920354672371, 0.034975152826980715, 0.030146409086572956, 0.03313208887641095]"
17,"[0.0343050438826894, 0.03143984776888675, 0.031780789928087416, 0.032906480381460934, 0.03085727006054395, 0.03348020462714041, 0.029929398603945723, 0.03276755129521158, 0.030869350610273183, 0.03516273851399643]"
18,"[0.03505089082654167, 0.028017162682732466, 0.03330838405688319, 0.03480004045621088, 0.028202224941965226, 0.037960831996349476, 0.029602139842388353, 0.033536605897454, 0.028187547335835506, 0.03464795557316336]"
19,"[0.03137535601569552, 0.03050468696571773, 0.032349122520807905, 0.02708834426332618, 0.03769855250395748, 0.03098624312937681, 0.03176713937770237, 0.03472266986729966, 0.03600135834705731, 0.031013488754420004]"
20,"[0.02949110631325136, 0.030938794127565505, 0.03539687236459654, 0.032237357207498984, 0.03376498315064169, 0.02883363114138604, 0.03567630627373197, 0.030681609715940583, 0.03538843400557168, 0.031057241105074018]"
21,"[0.037510409642663944, 0.03581737931075146, 0.031298138283116894, 0.027927255449137434, 0.027739139177810124, 0.030643425302678384, 0.02845315297376161, 0.033013494309803604, 0.03419889080352223, 0.03688484192737629]"
22,"[0.03792605975743335, 0.03224897766107626, 0.03321749861222789, 0.0299989259408745, 0.03171329235350662, 0.031396637526824756, 0.028170266247571574, 0.03197717404587286, 0.03405609986031233, 0.032602411854571245]"
23,"[0.02860845342949836, 0.027124733071802076, 0.03381428087604432, 0.03453063245761323, 0.02830539699481749, 0.0329901873172922, 0.03563597903328786, 0.029293565198454496, 0.036541647487833506, 0.03633594510965166]"
